nct,status,start_date,phases,sponsor,sponsor_class,intervention_names,intervention_other_names,n_sites,countries,has_us_or_eu_site,fetched_date
NCT00494195,COMPLETED,2008-03,PHASE1,Nationwide Children's Hospital,OTHER,rAAV1.tMCK.human-alpha-sarcoglycan- First cohort|Genetic: rAAV1.tMCK.human-alpha-sarcoglycan- Second cohort,LGMD2D Gene therapy-First cohort|LGMD2D Gene therapy- Second cohort,1,United States,True,2026-09-07
NCT01414985,COMPLETED,2010-04-15,PHASE1|PHASE2,Weill Medical College of Cornell University,OTHER,AAVrh.10CUCLN2,AAVrh.10,1,United States,True,2026-09-07
NCT00876863,COMPLETED,2008-11,PHASE2,Sangamo Therapeutics,INDUSTRY,CERE-110: Adeno-Associated Virus injection Surgery|Placebo Surgery,|,10,United States,True,2026-09-07
NCT01937455,UNKNOWN,2014-09,PHASE1,International AIDS Vaccine Initiative,NETWORK,rAAV1-PG9DP|rAAV1-PG9DP|rAAV1-PG9DP|rAAV1-PG9DP,|||,2,United Kingdom,True,2026-09-07
NCT00924326,COMPLETED,2009-02-17,PHASE1|PHASE2,National Cancer Institute (NCI),NIH,Fludarabine|Cyclophosphamide|Anti-cluster of differentiation 19 (CD19)-CAR PBL|Aldesleukin|Fludarabine|Cyclophosphamide,Fludara|Cytoxan||Interleukin-2;IL-2|Fludara|Cytoxan,1,United States,True,2026-09-07
NCT01747486,COMPLETED,2013-01-02,PHASE2,University of Pennsylvania,OTHER,CART-19,,1,United States,True,2026-09-07
NCT00430768,COMPLETED,2006-02,PHASE1,"University of Massachusetts, Worcester",OTHER,rAAV1-CB-hAAT,,2,United States,True,2026-09-07
NCT00004533,COMPLETED,1999-08,PHASE1,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),NIH,Adeno-associated virus-CFTR vector,,0,,False,2026-09-07
NCT00482027,COMPLETED,2003-12,PHASE1,International AIDS Vaccine Initiative,NETWORK,tgAAC09,AAV-2 HIV Vaccine,5,Belgium|Germany|India,True,2026-09-07
NCT01381003,WITHDRAWN,2011-11,PHASE1|PHASE2,Great Ormond Street Hospital for Children NHS Foundation Trust,OTHER,pCCLchimGp91s lentiviral vector transduced CD34+ cells infusion,,1,United Kingdom,True,2026-09-07
NCT01054339,COMPLETED,2010-06,PHASE2,Beacon Therapeutics,INDUSTRY,rAAV1-CB-hAAT,,4,Ireland|United States,True,2026-09-07
NCT01960348,COMPLETED,2013-11,PHASE3,Alnylam Pharmaceuticals,INDUSTRY,patisiran (ALN-TTR02)|Sterile Normal Saline (0.9% NaCl),|,52,Argentina|Australia|Brazil|Bulgaria|Canada|Cyprus|France|Germany|Italy|Japan|Malaysia|Mexico|Netherlands|Portugal|South Korea|Spain|Sweden|Taiwan|Turkey (Türkiye)|United Kingdom|United States,True,2026-09-07
NCT00569985,COMPLETED,2007-06,PHASE1,City of Hope Medical Center,OTHER,lentivirus vector rHIV7-shI-TAR-CCR5RZ-transduced hematopoietic progenitor cells|carmustine|cyclophosphamide|etoposide|autologous hematopoietic stem cell transplantation,lentivirus-transduced hematopoietic progenitor cells|BCNU;BiCNU;bis-chloronitrosourea|CPM;CTX;Cytoxan;Endoxan;Endoxana|EPEG;VP-16;VP-16-213|,1,United States,True,2026-09-07
NCT01475058,COMPLETED,2012-04,PHASE1|PHASE2,Fred Hutchinson Cancer Center,OTHER,allogeneic cytomegalovirus-specific cytotoxic T lymphocytes,allogeneic CMV-specific CTLs,1,United States,True,2026-09-07
NCT01482195,COMPLETED,2011-08,PHASE1,King Khaled Eye Specialist Hospital,OTHER_GOV,Subretinal administration of rAAV2-VMD2-hMERTKRecombinant Adeno-Associated Virus,,1,Saudi Arabia,False,2026-09-07
NCT01218867,TERMINATED,2010-11-10,PHASE1|PHASE2,National Cancer Institute (NCI),NIH,Anti-VEGFR2 CAR CD8 plus PBL|Cyclophosphamide|Aldesleukin|Fludarabine,|Cytoxan|Proleukin|Fludara,1,United States,True,2026-09-07
NCT01801709,COMPLETED,2014-06,PHASE1|PHASE2,"Institut National de la Santé Et de la Recherche Médicale, France",OTHER_GOV,intracerebral administration of AAVrh.10cuARSA,,1,France,True,2026-09-07
NCT01637805,UNKNOWN,2012-05,PHASE1,Tianjin Medical University Cancer Institute and Hospital,OTHER,Antigen-specific cytotoxic T lymphocytes induced by dendritic cells infected by recombinant adeno-associated virus with CEA gene,,1,China,False,2026-09-07
NCT01087294,COMPLETED,2010-08-04,PHASE1,National Cancer Institute (NCI),NIH,Allogeneic stem cell transplant|Anti-CD19-chimeric-antigen-receptor-transduced T cells|Leukapheresis,||,2,United States,True,2026-09-07
NCT00999609,ACTIVE_NOT_RECRUITING,2012-10,PHASE3,"Spark Therapeutics, Inc.",INDUSTRY,"AAV2-hRPE65v2,voretigene neparvovec-rzyl",AAV2-hRPE65v2;voretigene neparvovec-rzyl;gene therapy vector,2,United States,True,2026-09-07
NCT01109498,UNKNOWN,2007-08,PHASE2|PHASE3,Amsterdam Molecular Therapeutics,INDUSTRY,"Alipogene Tiparvovec (AMT-011), Human LPL [S447X]|Mycophenolate mofetil|Alipogene Tiparvovec (AMT-011), Human LPL [S447X]|cyclosporine","Glybera, AMT-011|CellCept|Glybera, AMT 011|Neoral",1,Canada,False,2026-09-07
NCT01815749,ACTIVE_NOT_RECRUITING,2013-10-08,PHASE1,City of Hope Medical Center,OTHER,autologous CD19CAR-CD28-CD3zeta-EGFRt-expressing Tcm-enriched T cells|autologous hematopoietic stem cell transplantation|laboratory biomarker analysis,CD19-CAR-specific/truncated EGFR lentiviral vector-transduced autologous T cells||,1,United States,True,2026-09-07
NCT00643890,TERMINATED,2008-08,PHASE2,"Neurologix, Inc.",INDUSTRY,Bilateral surgical infusion of AAV-GAD into the subthalamic nucleus,,7,United States,True,2026-09-07
NCT01454596,COMPLETED,2012-05-16,PHASE1|PHASE2,National Cancer Institute (NCI),NIH,Epidermal growth factor receptor(EGFRv)III Chimeric antigen receptor (CAR) transduced PBL|Aldesleukin|Fludarabine|Cyclophosphamide,|Proleukin|Fludara|Cytoxan,1,United States,True,2026-09-07
NCT01621581,COMPLETED,2013-03-13,PHASE1,National Institute of Neurological Disorders and Stroke (NINDS),NIH,Convection enhanced delivery/AAV2-GDNF,,1,United States,True,2026-09-07
NCT01687608,ACTIVE_NOT_RECRUITING,2013-02-11,PHASE1|PHASE2,Baxalta now part of Shire,INDUSTRY,AskBio009,BAX 335,15,United States,True,2026-09-07
NCT00126724,COMPLETED,2005-08,PHASE1|PHASE2,Targeted Genetics Corporation,INDUSTRY,tgAAC94 gene therapy vector|tgAAC94 gene therapy vector|tgAAC94 placebo|tgAAC94 gene therapy vector|tgAAC94 gene therapy vector|tgAAC94 gene therapy vector|tgAAC94 gene therapy vector,||||||,22,United States,True,2026-09-07
NCT01380990,COMPLETED,2012-11-15,PHASE1|PHASE2,Great Ormond Street Hospital for Children NHS Foundation Trust,OTHER,Infusion of autologous EFS-ADA LV CD34+ cells|Haematopoietic Stem Cell Transplantation (HSCT)|Busulfan|Peg-Ada,OTL-101*|||,1,United Kingdom,True,2026-09-07
NCT01347242,COMPLETED,2011-03,PHASE1|PHASE2,Genethon,OTHER,Autologous CD34 positive cells transduced with a lentiviral vector containing human WAS gene,,2,United Kingdom,True,2026-09-07
NCT01306019,RECRUITING,2012-09-25,PHASE1|PHASE2,National Institute of Allergy and Infectious Diseases (NIAID),NIH,Ex vivo culture and transduction of the patient's autologous CD34+ HSC with lentivirus vector VSV-G pseudotyped CL20- 4i-EF1alpha-hgammac-OPT vector|Busulfan|Palifermin,||,1,United States,True,2026-09-07
NCT01560182,COMPLETED,2010-04-09,PHASE1|PHASE2,Orchard Therapeutics,INDUSTRY,OTL-200 Gene Therapy,Previously GSK2696274,1,Italy,True,2026-09-07
NCT01551043,TERMINATED,2010-09,PHASE1,University of Pennsylvania,OTHER,CART-19,,1,United States,True,2026-09-07
NCT01683279,ACTIVE_NOT_RECRUITING,2012-03-25,PHASE1,Seattle Children's Hospital,OTHER,Autologous CD19 CAR+ EGFTt + T cells,,1,United States,True,2026-09-07
NCT00749957,COMPLETED,2009-06-17,PHASE1|PHASE2,Beacon Therapeutics,INDUSTRY,rAAV2-CB-hRPE65,,2,United States,True,2026-09-07
NCT01734850,COMPLETED,2013-04,PHASE1|PHASE2,"Calimmune, Inc.",INDUSTRY,Busulfan|Cal-1 modified HSPC|Cal-1 modified CD4+ T lymphocytes,Busulfex|LVsh5/C46 modified HSPC|LVsh5/C46 modified CD4+ T lymphocytes,2,United States,True,2026-09-07
NCT01153646,TERMINATED,2010-04,EARLY_PHASE1,City of Hope Medical Center,OTHER,pHIV7-shI-TAR-CCR5RZ treated CD4 cells,,1,United States,True,2026-09-07
NCT01519349,COMPLETED,2012-01,PHASE1,Nationwide Children's Hospital,OTHER,rAAV1.CMV.huFollistatin344,,1,United States,True,2026-09-07
NCT01620801,TERMINATED,2012-10,PHASE1,"Spark Therapeutics, Inc.",INDUSTRY,AAV8-hFIX19,,3,Australia|United States,True,2026-09-07
NCT01716364,UNKNOWN,2010-01,PHASE1,"Peter MacCallum Cancer Centre, Australia",OTHER,"Anti-LeY- scFv-CD28-ζ vector,.",,1,Australia,False,2026-09-07
NCT01593696,COMPLETED,2012-06-29,PHASE1,National Cancer Institute (NCI),NIH,Anti-Cluster of Differentiation (CD)19-Chimeric antigen receptor (CAR),,1,United States,True,2026-09-07
NCT01090102,COMPLETED,2010-06,PHASE4,"University of California, San Francisco",OTHER,"Mesalamine (5-aminosalicylic acid, Apriso)|Placebo",|,1,United States,True,2026-09-07
NCT01722149,COMPLETED,2015-02-19,EARLY_PHASE1,University of Zurich,OTHER,Adoptive Transfer of re-directed T cells,,1,Switzerland,True,2026-09-07
NCT01515462,COMPLETED,2010-04-20,PHASE1|PHASE2,Fondazione Telethon,OTHER,TLT003,Previously GSK2696275;Previously OTL-103,1,Italy,True,2026-09-07
NCT00985517,COMPLETED,2009-10-29,PHASE1|PHASE2,Sangamo Therapeutics,INDUSTRY,CERE-120: Adeno-Associated Virus Delivery of Neurturin|Sham Surgery,AAV2-Neurturin|,11,United States,True,2026-09-07
NCT01161576,COMPLETED,2010-08-19,PHASE1,Weill Medical College of Cornell University,OTHER,AAVrh.10CUhCLN2 vector 9.0x10^11 genome copies|AAVrh.10CUhCLN2 vector 2.85x10^11 genome copies,|,1,United States,True,2026-09-07
NCT01822652,ACTIVE_NOT_RECRUITING,2013-08,PHASE1,Baylor College of Medicine,OTHER,iC9-GD2 T Cells - frozen|iC9-GD2 T Cells - fresh|Cytoxan|Fludara|Keytruda|iC9-GD2 T cells,||Cyclophosphamide|Fludarabine|Pembrolizumab|,2,United States,True,2026-09-07
NCT01347346,COMPLETED,2011-05,PHASE1|PHASE2,Genethon,OTHER,Autologous CD34 positive cells transduced with a lentiviral vector containing human WAS gene,,1,France,True,2026-09-07
NCT01864889,UNKNOWN,2013-04,NA,Chinese PLA General Hospital,OTHER,anti-CD19-CAR vector-transduced T cells,genetically engineered lymphocyte therapy,1,China,False,2026-09-07
NCT01460901,COMPLETED,2012-10,PHASE1,Children's Mercy Hospital Kansas City,OTHER,GD2 CAR modified Tri-virus specific cytotoxic t-cells,,1,United States,True,2026-09-07
NCT01865617,COMPLETED,2013-05-22,PHASE1|PHASE2,Fred Hutchinson Cancer Center,OTHER,Autologous Anti-CD19CAR-4-1BB-CD3zeta-EGFRt-expressing T Lymphocytes,,1,United States,True,2026-09-07
NCT01953900,ACTIVE_NOT_RECRUITING,2014-04,PHASE1,Baylor College of Medicine,OTHER,GD2 T cells|VZV vaccine|Fludarabine|Cyclophosphamide,iC9-GD2-CAR-VZV-CTL|zostavax|Fludara|Cytoxan,2,United States,True,2026-09-07
NCT00087789,COMPLETED,2004-06,PHASE1,Sangamo Therapeutics,INDUSTRY,CERE-110: Adeno-Associated Virus Delivery of NGF,,2,United States,True,2026-09-07
NCT00336362,COMPLETED,2006-07,NA,University of Washington,OTHER,Hydroxyurea,hydrea,1,Greece,True,2026-09-07
NCT01855685,TERMINATED,2013-06-24,PHASE1|PHASE2,Genethon,OTHER,X vivo gene therapy,,2,United Kingdom,True,2026-09-07
NCT00151216,COMPLETED,2004-06,PHASE1,Weill Medical College of Cornell University,OTHER,AAV2CUhCLN2 (3x10^12 particle units),,1,United States,True,2026-09-07
NCT01852071,COMPLETED,2013-08-02,PHASE1|PHASE2,"University of California, Los Angeles",OTHER,Infusion of autologous EFS-ADA LV CD34+ (OTL-101)|busulfan|PEG-ADA ERT,OTL-101||,2,United States,True,2026-09-07
NCT00888446,COMPLETED,2005-10,PHASE2,International AIDS Vaccine Initiative,NETWORK,tgAAC09|tgAAC09|tgAAC09|Formulation buffer,|||,5,South Africa|Uganda|Zambia,False,2026-09-07
NCT01026727,TERMINATED,2009-11,PHASE2,Myrexis Inc.,INDUSTRY,MPC-4326 plus a 2-3 drug optimized background regimen (OBR)|3-4 commercially available antiretroviral drugs,|,25,Canada|United States,True,2026-09-07
NCT01639690,ACTIVE_NOT_RECRUITING,2012-07,PHASE1,San Rocco Therapeutics,OTHER,Autologous CD34+ cells transduced with TNS9.3.55,Patient treatment with Filgrastim will last for up to 6 days with apheresis;collection on days 4 and 5 or days 5 or 6 if required. Reduced Intensity Conditioning will;consist of two days of busulfan treatment with an interval of two days prior to transplantation.;Intravenous infusion of autologous CD34+ cells transduced with TNS9.3.55 will;be administered over 15-30 minutes in a volume of approximately 50 to 250 mL;on day 0. Subsequent infusions of autologous CD34+ cells transduced with TNS9.3.55;may be administered on day +1 or thereafter.,1,Italy,True,2026-09-07
NCT01344798,COMPLETED,2006-11,PHASE1,Genethon,OTHER,AAV1-gamma-sarcoglycan vector injection,in vivo gene therapy - Intramuscular route,1,France,True,2026-09-07
NCT00821340,COMPLETED,2009-02-01,PHASE1,Hadassah Medical Organization,OTHER,rAAV2-hRPE65,,1,Israel,False,2026-09-07
NCT00481546,COMPLETED,2007-07,PHASE1,University of Pennsylvania,OTHER,rAAV2-CBSB-hRPE65,,2,United States,True,2026-09-07
NCT01512888,SUSPENDED,2016-08-17,PHASE1|PHASE2,St. Jude Children's Research Hospital,OTHER,CL20-i4-EF1α-hγc-OPT|Busulfan|CliniMacs,self inactivating lentiviral vector;IND 14570|Busulfex®;Myleran®|,3,United States,True,2026-09-07
NCT01864902,UNKNOWN,2013-04,PHASE1|PHASE2,Chinese PLA General Hospital,OTHER,CART33 cells|anti-CD33 CART|anti-CD33 CAR T cells,chimeric antigen receptor T cells with specificity for CD33|CART33|,1,China,False,2026-09-07
NCT00428935,COMPLETED,2006-03,PHASE1,Nationwide Children's Hospital,OTHER,rAAV2.5-CMV-minidystrophin (d3990),,1,United States,True,2026-09-07
NCT01437007,COMPLETED,2011-08-26,PHASE1,National Cancer Institute (NCI),NIH,TKM-080301,,1,United States,True,2026-09-07
NCT01961063,ACTIVE_NOT_RECRUITING,2015-12-31,PHASE1,City of Hope Medical Center,OTHER,busulfan|lentivirus vector rHIV7-shI-TAR-CCR5RZ-transduced hematopoietic progenitor cells|pharmacological study|laboratory biomarker analysis,BSF;BU;Misulfan;Mitosan;Myeloleukon|lentivirus-transduced hematopoietic progenitor cells||,1,United States,True,2026-09-07
NCT01123915,TERMINATED,2010-05,PHASE1,Medicines Development for Global Health,OTHER,Opal-HIV-Gag(c) Low Dose|Opal-HIV-Gag(c) Medium dose|Opal-HIV-Gag(c) High dose|Dimethyl Sulfoxide,|||,1,United Kingdom,True,2026-09-07
NCT00377416,COMPLETED,2004-03,EARLY_PHASE1,"University of Massachusetts, Worcester",OTHER,rAAV2-CB-hAAT Gene Vector,,2,United States,True,2026-09-07
NCT00195143,COMPLETED,2003-08,PHASE1,"Neurologix, Inc.",INDUSTRY,Surgical infusion of AAV-GAD into the subthalamic nucleus,,1,United States,True,2026-09-07
NCT01316146,WITHDRAWN,2011-10-03,PHASE1,UNC Lineberger Comprehensive Cancer Center,OTHER,CAR.CD30 T cells,,3,United States,True,2026-09-07
NCT01886976,UNKNOWN,2013-06,PHASE1|PHASE2,Chinese PLA General Hospital,OTHER,CART-138 cells,chimeric antigen receptor T cells with specificity for CD138 genetically modified lymphocyte therapy,1,China,False,2026-09-07
NCT00252850,COMPLETED,2005-06,PHASE1,Sangamo Therapeutics,INDUSTRY,CERE-120: AAV2-NTN,,2,United States,True,2026-09-07
NCT02022696,COMPLETED,2013-12-16,PHASE1,National Human Genome Research Institute (NHGRI),NIH,Lentiviral Gene Transfer,,1,United States,True,2026-09-07
NCT01745120,COMPLETED,2013-08,PHASE1|PHASE2,Genetix Biotherapeutics Inc.,INDUSTRY,LentiGlobin BB305 Drug Product,,6,Australia|Thailand|United States,True,2026-09-07
NCT00643747,COMPLETED,2007-01,PHASE1|PHASE2,"University College, London",OTHER,tgAAG76 (rAAV 2/2.hRPE65p.hRPE65),rAAV 2/2.hRPE65p.hRPE65,1,United Kingdom,True,2026-09-07
NCT01583686,TERMINATED,2012-05-04,PHASE1|PHASE2,National Cancer Institute (NCI),NIH,Fludarabine|Anti-mesothelin chimeric T cell receptor (CAR) transduced peripheral blood lymphocytes (PBL)|Cyclophosphamide|Aldesleukin,Fludara||Cytoxan|Proleukin,1,United States,True,2026-09-07
NCT01840566,ACTIVE_NOT_RECRUITING,2013-04,PHASE1,Memorial Sloan Kettering Cancer Center,OTHER,Carmustine|Etoposide|Cytarabine|Melphalan|Pegfilgrastim|19-28z T CELLS|Autologous Stem Cell Transplantation,||||||,7,United States,True,2026-09-07
NCT01837602,COMPLETED,2013-04,PHASE1,University of Pennsylvania,OTHER,cMet RNA CAR T cells,,1,United States,True,2026-09-07
NCT01680094,COMPLETED,2012-09,PHASE1|PHASE2,University of Aarhus,OTHER,Panobinostat,LBH589,1,Denmark,True,2026-09-07
NCT01626495,COMPLETED,2011-08-17,PHASE1|PHASE2,University of Pennsylvania,OTHER,CART-19,,1,United States,True,2026-09-07
NCT00073463,TERMINATED,2003-06,PHASE2|PHASE3,Targeted Genetics Corporation,INDUSTRY,tgAAVCF,,11,United States,True,2026-09-07
NCT01897415,COMPLETED,2013-07,PHASE1,University of Pennsylvania,OTHER,Autologous T cells transfected with chimeric anti-mesothelin immunoreceptor SS1,,1,United States,True,2026-09-07
NCT00076557,TERMINATED,2004-01,PHASE1|PHASE2,Avigen,INDUSTRY,Adeno-Associated Viral with Human Factor IX,,3,United States,True,2026-09-07
NCT01899092,COMPLETED,2014-01,PHASE1|PHASE2,"Tacere Therapeutics, Inc.",INDUSTRY,TT-034,,4,United States,True,2026-09-07
NCT00400634,COMPLETED,2006-11,PHASE2,Sangamo Therapeutics,INDUSTRY,CERE-120 (Adeno-Associated Virus Serotype 2 [AAV2]-Neurturin [NTN])|Sham Surgery,|,9,United States,True,2026-09-07
NCT00976352,COMPLETED,2010-09,PHASE1|PHASE2,University of Florida,OTHER,rAAV1-CMV-GAA (study agent) Administration|RMST,Gene transfer;study agent (rAAV1-CMV-GAA)|Respiratory Muscle Strength Training,1,United States,True,2026-09-07
NCT01896102,COMPLETED,2013-08-21,PHASE2|PHASE3,Genetix Biotherapeutics Inc.,INDUSTRY,Lenti-D Drug Product (eli-cel),elivaldogene autotemcel;eli-cel,8,Argentina|Australia|France|Germany|United Kingdom|United States,True,2026-09-07
NCT01418235,COMPLETED,2011-12-19,PHASE1,HIV Vaccine Trials Network,NETWORK,MVA-C + gp140/MF59|MVA-C + gp140/MF59|DNA-C2 + MVA-C|DNA-C2 + MVA-C + gp140/MF59,|||,3,South Africa,False,2026-09-07
NCT02624258,TERMINATED,2015-11,EARLY_PHASE1,University of Pennsylvania,OTHER,CD19 RNA redirected autologous T-cells (RNA CART19 cells),,1,United States,True,2026-09-07
NCT02186418,TERMINATED,2014-07,PHASE1|PHASE2,"Children's Hospital Medical Center, Cincinnati",OTHER,ARU-1801,,1,United States,True,2026-09-07
NCT02194374,WITHDRAWN,2015-01,PHASE1,M.D. Anderson Cancer Center,OTHER,ROR1R-CAR-T Cell Infusion|Fludarabine|Cyclophosphamide|Rituximab|Bendamustine,|Fludarabine Phosphate;Fludara|Cytoxan;Neosar|Rituxan|Bendamustine Hydrochloride;Bendamustine HCL;CEP-18083;SDX-105;Treanda,0,,False,2026-09-07
NCT02395250,COMPLETED,2015-03,PHASE1,RenJi Hospital,OTHER,anti-GPC3 CAR T,CAR T cells redirected to Glypican-3 in cancer cells,1,China,False,2026-09-07
NCT02547961,WITHDRAWN,2015-09,PHASE1|PHASE2,"Fuda Cancer Hospital, Guangzhou",OTHER,HER-2-targeting CAR T Cells infusion,,1,China,False,2026-09-07
NCT02341807,COMPLETED,2015-01-15,PHASE1|PHASE2,"Spark Therapeutics, Inc.",INDUSTRY,AAV2-hCHM,,3,United States,True,2026-09-07
NCT02416622,COMPLETED,2015-05,PHASE1|PHASE2,Beacon Therapeutics,INDUSTRY,rAAV2tYF-CB-hRS1,,9,United States,True,2026-09-07
NCT02484092,COMPLETED,2015-11-18,PHASE2,Pfizer,INDUSTRY,SPK-9001,,10,Australia|United States,True,2026-09-07
NCT02028455,ACTIVE_NOT_RECRUITING,2014-02-11,PHASE1|PHASE2,Seattle Children's Hospital,OTHER,Patient Derived CD19 specific CAR T cells also expressing an EGFRt,,3,United States,True,2026-09-07
NCT02587689,UNKNOWN,2015-10,PHASE1|PHASE2,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",INDUSTRY,anti-MUC1 CAR T Cells,anti-MUC1-CAR transduced autologous T cells,1,China,False,2026-09-07
NCT02247843,COMPLETED,2014-12,PHASE1|PHASE2,"Donald B. Kohn, M.D.",OTHER,βAS3-FB vector transduced peripheral blood CD34+ cells,Lenti/βAS3-FB,1,United States,True,2026-09-07
NCT02135406,COMPLETED,2014-05,PHASE1,University of Pennsylvania,OTHER,CART-19 T cells,,1,United States,True,2026-09-07
NCT02650999,COMPLETED,2016-01,PHASE1|PHASE2,Abramson Cancer Center at Penn Medicine,OTHER,Pembrolizumab,,1,United States,True,2026-09-07
NCT02209376,TERMINATED,2014-11-18,PHASE1,University of Pennsylvania,OTHER,CART-EGFRvIII T cells,,2,United States,True,2026-09-07
NCT02456350,UNKNOWN,2015-04,PHASE1,Shenzhen Second People's Hospital,OTHER,Fludarabine|Cyclophosphamide|Anti-CD19-CAR transduced T cells,||,1,China,False,2026-09-07
NCT02439788,WITHDRAWN,2017-08,PHASE1,Baylor College of Medicine,OTHER,cyclophosphamide|Fludarabine|GINAKIT Cells,Cytoxan||iC9-GD2.CD28.OX40.zeta Natural Killer T cells,1,United States,True,2026-09-07
NCT02446457,ACTIVE_NOT_RECRUITING,2015-07-31,PHASE2,M.D. Anderson Cancer Center,OTHER,Laboratory Biomarker Analysis|Lenalidomide|Pembrolizumab|Rituximab,|CC-5013;CC5013;CDC 501;Revlimid|Keytruda;Lambrolizumab;MK-3475;SCH 900475|ABP 798;BI 695500;C2B8 Monoclonal Antibody;Chimeric Anti-CD20 Antibody;CT-P10;IDEC-102;IDEC-C2B8;IDEC-C2B8 Monoclonal Antibody;MabThera;Monoclonal Antibody IDEC-C2B8;PF-05280586;Rituxan;Rituximab ABBS;Rituximab Biosimilar ABP 798;Rituximab Biosimilar BI 695500;Rituximab Biosimilar CT-P10;Rituximab Biosimilar GB241;Rituximab Biosimilar IBI301;Rituximab Biosimilar JHL1101;Rituximab Biosimilar PF-05280586;Rituximab Biosimilar RTXM83;Rituximab Biosimilar SAIT101;rituximab biosimilar TQB2303;rituximab-abbs;RTXM83;Truxima,1,United States,True,2026-09-07
NCT02575261,WITHDRAWN,2015-09,PHASE1|PHASE2,"Fuda Cancer Hospital, Guangzhou",OTHER,CAR-T cell immunotherapy,,1,China,False,2026-09-07
NCT02416466,COMPLETED,2015-04,PHASE1,Roger Williams Medical Center,OTHER,anti-CEA CAR-T cells|Sir-Spheres,Designer T cells|Selective Internal Radiation Therapy (SIRT);Yttrium-90 microspheres,1,United States,True,2026-09-07
NCT02658929,COMPLETED,2015-12-22,PHASE1,Celgene,INDUSTRY,bb2121,,9,United States,True,2026-09-07
NCT02546167,COMPLETED,2015-09-03,PHASE1,University of Pennsylvania,OTHER,CART-BCMA,,1,United States,True,2026-09-07
NCT02559830,UNKNOWN,2015-01,PHASE1|PHASE2,Shenzhen Second People's Hospital,OTHER,transduced CD34+ hematopoietic stem cell,,1,China,False,2026-09-07
NCT02414269,ACTIVE_NOT_RECRUITING,2015-05,PHASE1|PHASE2,Memorial Sloan Kettering Cancer Center,OTHER,iCasp9M28z T cell infusions|cyclophosphamide|pembrolizumab,||,6,United States,True,2026-09-07
NCT02234934,COMPLETED,2015-10-29,PHASE1|PHASE2,"University of California, Los Angeles",OTHER,Lentiviral G1XCGD Gene Therapy,G1XCGD (pCCLChimGp91/VSVg lentiviral vector),3,United States,True,2026-09-07
NCT02054286,COMPLETED,2012-12,PHASE1|PHASE2,Theravectys S.A.,INDUSTRY,THV01-1|THV01-2|Placebo,lentiviral vector ancoding an HIV antigen|lentiviral vector encoding an HIV antigen|Placebo matching THV01-1 and THV01-2,11,Belgium|France,True,2026-09-07
NCT02030847,COMPLETED,2014-02-27,PHASE2,University of Pennsylvania,OTHER,CART-19|CART-19|CART-19|CART-19,|||,1,United States,True,2026-09-07
