sample_id,raw_file,row_index,source_url,reachable,values_checked,verdict,discrepancy_note,fetched_date
A041,data/uptake/raw/lenmeldy_revenue.csv,4,https://www.sec.gov/Archives/edgar/data/1748907/000156459022019670/ortx-ex991_18.htm,reached,"Libmeldy product sales $5.1M for first two commercial patients Q1 2022; net product sales 5,059 thousand; release 2022-05-12",agree,Fetched via WebFetch (curl 403).,2026-09-07
A045,data/uptake/raw/cart_country_supplement.csv,287,https://www.sanidad.gob.es/areas/farmacia/infoMedicamentos/terapiasAvanzadas/docs/INFORME_ANUAL_FINAL_TA_2025.pdf,reached,"Tabla 4 LBDCG row: Kymriah 204, Yescarta 890, Kymriah/Yescarta 721, total 1.834; grand total 2.742; period March 2019 to 30 June 2025",agree,,2026-09-07
A049,data/access/raw/governance_singapore.csv,17,https://www.moh.gov.sg/newsroom/government-accepts-medishield-life-council-s-recommendations-to-enhance-medishield-life-scheme---government-support-more-than-offsets-premium-increases/,reached,Press release dated 15 Oct 2024; CTGTP coverage from October 2025; pilot financing framework; all three quoted passages present verbatim,agree,,2026-09-07
A053,data/uptake/raw/abecma_revenue.csv,48,https://www.sec.gov/Archives/edgar/data/14272/000001427225000089/a2025q1ex991-filing.htm,reached,"Abecma Q1 2025 worldwide $103M (US 59, Intl 45); release 2025-04-24",agree,Fetched via WebFetch (curl 403).,2026-09-07
A057,data/uptake/raw/cart_country_supplement.csv,23,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,France 2024 CAR-T total 1102 (first 1093); 69 centres,agree,,2026-09-07
A061,data/uptake/raw/tecelra_revenue.csv,3,https://www.sec.gov/Archives/edgar/data/1621227/000155837025007493/adap-20250513xex99d1.htm,reached,Tecelra net sales $4.0 million Q1 2025; 6 patients invoiced in Q1; release 2025-05-13,agree,Fetched via WebFetch (curl 403).,2026-09-07
A065,data/cohort/raw/projections_S16_S17.csv,146,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,reached,Table 3 Cardiovascular row 0 0 1 0 0 0 0 0 total 1 (2025 = 1),agree,,2026-09-07
A069,data/access/raw/decisions_gba.csv,6,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/991/,reached,"Beschlussfassung 15.02.2024; rating Anhaltspunkt fuer einen nicht quantifizierbaren Zusatznutzen; Jahrestherapiekosten 239 000,00 EUR (Lauer-Taxe 15.01.2024); document 2024-02-15 D-977",agree,Price and rating read from the Tragende Gruende PDF linked from the source page.,2026-09-07
A073,data/uptake/raw/tecartus_revenue.csv,89,https://s29.q4cdn.com/585078350/files/doc_financials/2026/q1/GILD-Q126-Earnings-Press-Release-7-May-2026.pdf,reached,"Tecartus Q1 2026 Europe $37M (US 30, RoW 8, total 75); release 7 May 2026",agree,,2026-09-07
A077,data/uptake/raw/eligible_E1b.csv,48,https://seer.cancer.gov/statfacts/html/melan.html,reached,"Estimated new cases 2026 = 112,000; deaths 8,510; regional 10%; distant 5%",agree,,2026-09-07
A081,data/cohort/raw/s06_success_rates.csv,70,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,reached,Supplementary table: Approval 12 (orphan gene therapy) / 10 (CAR-T/TCR); Full Approval 10/7; AAP 2/3; AAP with full approval 1/0,agree,,2026-09-07
A085,data/uptake/raw/aucatzyl_revenue.csv,9,https://www.sec.gov/Archives/edgar/data/1730463/000173046326000119/autlex-991pr110826a01.htm,reached,"AUCATZYL net product revenue six months ended 2026-06-30 = $71,890 thousand (Q2 45,672); release 2026-08-11",agree,Fetched via WebFetch (curl 403).,2026-09-07
A089,data/uptake/raw/abecma_revenue.csv,50,https://www.sec.gov/Archives/edgar/data/14272/000001427225000129/a2025q2ex991-filing.htm,reached,"Abecma Q2 2025 International $40M (US 47, total 87); release 2025-07-31",agree,Fetched via WebFetch (curl 403).,2026-09-07
A093,data/uptake/raw/aucatzyl_disclosures.csv,3,https://www.sec.gov/Archives/edgar/data/1730463/000173046325000032/autlex-991pr080525.htm,reached,Quote: coverage secured for approximately 90% of total U.S. medical lives; release 2025-05-08,agree,Fetched via WebFetch (curl 403).,2026-09-07
A097,data/uptake/raw/cart_registry_counts.csv,87,https://drst.de/wp-content/uploads/2026/07/DRST_JB_2025_final.pdf,reached,"Tabelle 3.9 Gesamt 2021: autolog 433, allogen 4 (sum 437); 2025 total 1820",agree,"Count 437 is the sum of the two 2021 cells, as the verbatim states.",2026-09-07
A101,data/access/raw/governance_singapore.csv,43,https://www.ace-hta.gov.sg/healthcare-professionals/ace-technology-guidance/drug-guidance/axicabtagene-ciloleucel--for-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more-lines-of-systemic-therapy/,reached,Page last updated 4 Jun 2025; listing from 1 August 2025; updated recommendation November 2024; cost impact SG$1-3m year 1 to SG$5-10m year 5; recommendation quote,agree,Budget impact and November 2024 update read from the guidance PDF linked from the page (page body is JS-rendered).,2026-09-07
A105,data/uptake/raw/lyfgenia_disclosures.csv,9,https://www.sec.gov/Archives/edgar/data/1293971/000129397124000076/exhibit99120241114.htm,reached,Quote on Q3 2024 revenue including LYFGENIA after first infusion; release 2024-11-14,agree,Fetched via WebFetch (curl 403). Release does not break out the LYFGENIA $2.632M given in the row notes; the row value (floor of 1 patient) is supported.,2026-09-07
A109,data/uptake/raw/tecartus_revenue.csv,110,https://investors.gilead.com/news/news-details/2024/Gilead-Sciences-Announces-Fourth-Quarter-and-Full-Year-2023-Financial-Results/default.aspx,reached,"Tecartus FY2023 Other International $15M (US 245, Europe 110, total 370); release 2024-02-06",agree,Fetched via WebFetch (curl 403).,2026-09-07
A113,data/uptake/raw/yescarta_revenue.csv,148,https://www.gilead.com/news-and-press/press-room/press-releases/2020/2/gilead-sciences-announces-fourth-quarter-and-full-year-2019-financial-results,reached,"Yescarta FY2019 U.S. $373M (Europe 83, total 456); release 4 Feb 2020",agree,,2026-09-07
A117,data/cohort/raw/projections_S16_S17.csv,101,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,reached,Table 3 Solid tumor row 0 1 0 0 3 1 3 0 total 8 (2028 = 1),agree,,2026-09-07
A121,data/cohort/raw/projections_S16_S17.csv,165,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC10910012/fullTextXML,reached,"Table 4 total row 2028 = 36,862; 2030 = 69,400",agree,,2026-09-07
A125,data/uptake/raw/luxturna_disclosures.csv,6,https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,reached,12 vials shipped in Q2 2018; six treatment centers; release 2018-08-07,agree,Fetched via WebFetch (curl 403).,2026-09-07
A129,data/uptake/raw/eligible_E2.csv,23,https://www1.wfh.org/publications/files/pdf-2399.pdf,reached,Age-distribution table: Spain 286 2% 6% 6% 34% 45% 6%,agree,,2026-09-07
A133,data/access/raw/decisions_has.csv,70,https://ansm.sante.fr/tableau-atu-rtu/vyjuvek,reached,"AAP octroyee le 02/10/2025, en cours; indication text incl. COL7A1 and des la naissance",agree,,2026-09-07
A137,data/uptake/raw/elevidys_disclosures.csv,5,https://www.sarepta.com/community-letter-update-regarding-elevidys,reached,"Letter dated July 19, 2025; quote almost 1000 patients have been treated",agree,,2026-09-07
A141,data/uptake/raw/zevaskyn_disclosures.csv,2,https://www.sec.gov/Archives/edgar/data/318306/000164117225010514/ex99-1.htm,reached,Quote: approximately 30 patients and caregivers have started registering in Abeona Assist; release 2025-05-15,agree,Fetched via WebFetch (curl 403).,2026-09-07
A145,data/cohort/raw/s06_success_rates.csv,18,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,reached,Supplementary table Phase III + II/III row: 68.4% 75.0% 57.8% 47.7% 60.0% 56%; BIO All Oncology column = 47.7%,agree,,2026-09-07
A149,data/uptake/raw/breyanzi_disclosures.csv,4,https://hmpi.org/2026/02/18/car-t-therapy-escalating-costs-in-an-expanding-market/,reached,"Table 1 Breyanzi: market date 02/05/2021; WAC $410,300 $410,300 $447,227 $487,477 $531,350; CAGR 6.85%",agree,,2026-09-07
A153,data/access/raw/decisions_gba.csv,15,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1097/,reached,Beschlussfassung 19.12.2024; Anhaltspunkt fuer einen geringen Zusatznutzen; Jahrestherapiekosten 272 000 EUR (Lauer-Taxe 01.12.2024); document D-1078,agree,Price and rating read from the Tragende Gruende PDF linked from the source page.,2026-09-07
A157,data/uptake/raw/ryoncil_disclosures.csv,4,https://www.sec.gov/Archives/edgar/data/1345099/000134509925000068/exhibit991.htm,reached,Quote: over 250 million US lives insured by commercial and government payers; release 2025-08-29 (Melbourne),agree,Fetched via WebFetch (curl 403).,2026-09-07
A161,data/diagnostics/raw/medicare_partb_volumes_check.csv,7,https://www.cms.gov/files/zip/2024-part-b-national-summary-data-file.zip,reached,"Y2024_04 Path.Lab workbook, HCPCS 81228 TOTAL: allowed services 21; allowed charges 18749.52; payment 18374.52",agree,Zip downloaded and workbook read directly.,2026-09-07
A165,data/access/raw/governance_us.csv,12,https://www.federalregister.gov/documents/2022/08/10/2022-16472,reached,"Quote: maximum NTAP for CARVYKTI or ABECMA is $289,532.75 for FY 2023; FR Doc 2022-16472 published 2022-08-10",agree,Document page returns 404/unblock redirect to curl and WebFetch and Wayback has no capture; verified through the Federal Register API and its full-text XML for the same document number.,2026-09-07
A169,data/uptake/raw/vyjuvek_revenue.csv,2,https://www.sec.gov/Archives/edgar/data/1711279/000171127924000009/krys12312023ex991pressrele.htm,reached,VYJUVEK full year 2023 net product revenue $50.7 million; Q4 2023 $42.1 million; release 2024-02-26,agree,Fetched via WebFetch (curl 403).,2026-09-07
