sample_id,raw_file,row_index,source_url,reachable,values_checked,verdict,discrepancy_note,fetched_date
A124,data/uptake/raw/country_population.csv,81,https://api.worldbank.org/v2/country/CAN/indicator/SP.POP.TOTL?format=json&date=2017:2025,reached,"Canada 2017 population 36,545,075; lastupdated 2026-07-13",agree,,2026-09-07
A128,data/uptake/raw/provenge_disclosures.csv,7,https://www.sec.gov/Archives/edgar/data/1107332/000119312511292830/d237118d10q.htm,reached,2011-09-02 Board approved RIF of ~25% / ~500 employees; $38.5m charge; 10-Q quarter ended 2011-09-30,agree,,2026-09-07
A132,data/cohort/raw/projections_S16_S17.csv,58,https://newdigs.tuftsmedicalcenter.org/wp-content/uploads/2022/06/NEWDIGS-Research-Brief-2020F207v51-PipelineAnalysis.pdf,reached,Table 4 Total 2030 = 23.4; full row 3.0/5.5/8.1/11.0/16.5/23.4; class rows match verbatim,agree,Tables are embedded images; read from extracted PNG,2026-09-07
A136,data/uptake/raw/zolgensma_revenue.csv,26,https://www.sec.gov/Archives/edgar/data/1114448/000137036824000022/a241029-99_2.htm,reached,Zolgensma Q3 2024 USD 308m; 0% USD +1% cc; 9M 952m,agree,,2026-09-07
A140,data/uptake/raw/carvykti_disclosures.csv,5,https://www.sec.gov/Archives/edgar/data/1801198/000180119826000022/a991earningsreleaseq22026.htm,reached,348 global sites; 19 global markets; release 2026-08-11,agree,,2026-09-07
A144,data/access/raw/decisions_cda_amc.csv,32,https://www.ncbi.nlm.nih.gov/books/NBK602912/,reached,"indication text; CDEC meeting 2023-12-20; reimburse with conditions; price $4,773,595/patient; at least 12 years; ~$127m 3-yr budget impact",minor-discrepancy,The quoted 'at least 57% and 17%' price-reduction figures are not on the Bookshelf page (economic thresholds not shown); NOC date 2023-12-27 not on page (row notes attribute it to Health Canada dhpp),2026-09-07
A148,data/uptake/raw/imlygic_disclosures.csv,4,https://efts.sec.gov/LATEST/search-index?q=%22IMLYGIC%22%20%22Product%20Sales%20Detail%22&ciks=0000318154&forms=8-K&dateRange=custom&startdt=2016-01-01&enddt=2026-09-04,reached,43 hits; all 8-K; file dates 2016-01-28 to 2026-08-04,agree,Verified by direct JSON query; WebFetch summary misreported the latest date as 2026-02-03,2026-09-07
A152,data/access/raw/governance_us.csv,104,https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,reached,release 2018-05-08; three patients treated at three named centres (MEE Boston; Bascom Palmer Miami; CHLA),agree,,2026-09-07
A156,data/access/raw/decisions_aifa.csv,2,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-12&atto.codiceRedazionale=22A06867,reached,"Determina 846/2022 GU n.289 2022-12-12; classe H; ex factory EUR 320.000,00; al pubblico EUR 528.128,00; payment at results at infusion/6/12 months; sconto obbligatorio DLBCL; novativo of Determina 1264/2019; domanda 23 Dec 2020",agree,Act body loads dynamically; retrieved via the site's caricaArticoloDefault endpoint,2026-09-07
A160,data/uptake/raw/ryoncil_revenue.csv,4,https://www.sec.gov/Archives/edgar/data/1345099/000134509926000007/exhibit991ryoncilsalesde.htm,reached,gross revenue US$35.1m quarter ended 2025-12-31; 60% increase on prior quarter,agree,"Gross not net revenue, as the row notes state",2026-09-07
A164,data/uptake/raw/cart_country_supplement.csv,61,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,reached,Russia line: 15 centres; 21 (26) 13/8; all CAR-T = 26; verbatim exact,agree,,2026-09-07
A168,data/uptake/raw/eligible_E3a.csv,72,https://www.globenewswire.com/news-release/2025/12/16/3206511/0/en/Orchard-Therapeutics-Celebrates-Addition-of-Metachromatic-Leukodystrophy-to-the-U-S-Recommended-Uniform-Screening-Panel.html,reached,release 2025-12-16; indication wording PSLI / PSEJ / ESEJ MLD,agree,,2026-09-07
