family,subfamily,ctgov_query,pubmed_query,modality,stage_n,stage,n_trials,n_interventional,n_interventional_tech_as_intervention,n_ph3plus_tech_as_intervention,first_year,first_int_year,first_ph3_year,max_phase,n_ph1,n_ph2,n_ph3plus,industry_share,n_industry_sponsors,n_2016_2020,n_2021_2025,n_2025,share_trials_since_2021,term_share,n_completed,n_terminated_withdrawn,median_enroll_int,inflection_year,peak_year,pubs_total,pubs_2025,pub_cagr_20_25,literature_predates_2012_window
Precision medicine infrastructure,Pharmacogenomics,"""pharmacogenomic"" OR ""pharmacogenetic""","(""pharmacogenomics""[tiab] OR ""pharmacogenetics""[tiab] OR ""pharmacogenomic""[tiab])",Diagnostic/analytic,5,Assay-guided Phase 3+ at scale,1113,705,341.0,107.0,1997,1999,1999.0,Phase 4,103,157,232,0.121,69,227,187,40,0.168,0.103,631,115,96.0,2012,2025,15126,1328,0.021,True
Precision medicine infrastructure,Clinical WGS/WES,"""whole genome sequencing"" OR ""whole exome sequencing""","(""whole genome sequencing""[tiab] OR ""whole exome sequencing""[tiab])",Diagnostic/analytic,4,Assay-guided randomized trials,650,217,78.0,2.0,2000,2009,2016.0,Phase 4,9,46,15,0.038,19,215,293,45,0.451,0.046,190,30,105.0,2013,2025,67828,9812,0.107,False
Precision medicine infrastructure,N-of-1 / individualized genetic therapy,"""n-of-1"" OR ""individualized antisense""","(""n-of-1""[tiab] AND (""antisense""[tiab] OR ""gene therapy""[tiab] OR ""genomic""[tiab]))",Therapeutic,4,First pivotal (Phase 3) trial reached,126,116,43.0,15.0,2000,2000,2000.0,Phase 4,4,17,31,0.048,5,27,68,17,0.54,0.063,64,8,24.5,2015,2025,69,18,0.351,False
Precision medicine infrastructure,Polygenic risk scores,"""polygenic risk score"" OR ""polygenic score""","(""polygenic risk score""[tiab] OR ""polygenic score""[tiab])",Diagnostic/analytic,3,Interventional utility testing,76,44,19.0,1.0,2015,2016,2023.0,Phase 4,0,1,5,0.105,7,16,47,16,0.618,0.039,13,3,831.0,2017,2025,5967,1224,0.211,False
Precision medicine infrastructure,Companion diagnostics,"""companion diagnostic""","(""companion diagnostic""[tiab] OR ""companion diagnostics""[tiab])",Diagnostic/analytic,2,Observational validation at scale,23,13,5.0,1.0,2014,2014,2020.0,Phase 3,1,8,1,0.391,7,5,12,2,0.522,0.087,7,2,148.0,2012,2021,1676,148,0.034,True
Precision medicine infrastructure,Biobank-linked genomic cohorts,"""biobank"" AND ""genomic""","(""biobank""[tiab] AND (""genomic""[tiab] OR ""genotype""[tiab] OR ""sequencing""[tiab]))",Diagnostic/analytic,2,Observational validation at scale,112,16,3.0,0.0,2003,2012,,Phase 2,0,2,0,0.009,1,30,52,11,0.464,0.009,22,1,345.0,2017,2025,3435,741,0.242,False
Proteomics & multi-omics dx,Liquid biopsy / ctDNA,"""circulating tumor DNA"" OR ""liquid biopsy""","(""circulating tumor DNA""[tiab] OR ""ctDNA""[tiab] OR ""liquid biopsy""[tiab])",Diagnostic/analytic,5,Assay-guided Phase 3+ at scale,1368,586,278.0,23.0,1996,2010,2014.0,Phase 4,19,237,54,0.116,96,401,766,162,0.56,0.062,215,85,74.5,2015,2025,20204,3472,0.128,False
Proteomics & multi-omics dx,Mass-spec / general proteomics,"""proteomics"" OR ""proteomic profiling""","(""proteomics""[tiab] OR ""proteomic""[tiab])",Diagnostic/analytic,5,Assay-guided Phase 3+ at scale,1363,516,108.0,11.0,1996,2000,2000.0,Phase 4,24,91,65,0.045,51,267,532,112,0.39,0.071,455,97,50.0,2012,2025,119444,15195,0.116,True
Proteomics & multi-omics dx,Single-cell omics,"""single-cell RNA sequencing"" OR ""single cell RNA sequencing"" OR ""scRNA-seq""","(""single-cell RNA sequencing""[tiab] OR ""scRNA-seq""[tiab] OR ""single cell transcriptomics""[tiab])",Diagnostic/analytic,4,Assay-guided randomized trials,142,64,3.0,1.0,2016,2016,2020.0,Phase 4,3,14,8,0.021,3,20,97,22,0.683,0.007,22,1,45.0,2020,2025,32265,9842,0.41,False
Proteomics & multi-omics dx,Spatial omics,"""spatial transcriptomics"" OR ""spatial proteomics""","(""spatial transcriptomics""[tiab] OR ""spatial proteomics""[tiab] OR ""spatial omics""[tiab])",Diagnostic/analytic,2,Observational validation at scale,54,15,3.0,1.0,2015,2024,2025.0,Phase 4,1,5,1,0.0,0,4,36,16,0.667,0.0,5,0,40.0,2022,2025,6007,2888,1.001,False
Proteomics & multi-omics dx,Affinity proteomics platforms,"""SomaScan"" OR ""Olink"" OR ""proximity extension assay""","(""SomaScan""[tiab] OR ""Olink""[tiab] OR ""proximity extension assay""[tiab])",Diagnostic/analytic,2,Observational validation at scale,41,22,1.0,0.0,2009,2009,2019.0,Phase 4,0,3,4,0.024,1,7,26,6,0.634,0.049,7,2,40.0,2018,2025,2185,625,0.349,False
