platform,probe,nct,title,phase,status,start,sponsor,condition,interventions
Insilico Medicine,ISM6331,NCT06566079,Study of ISM6331 in Participants With Advanced/Metastatic Malignant Mesothelioma or Other Solid Tumors,PHASE1,RECRUITING,2024-12-27,InSilico Medicine Hong Kong Limited,Malignant Mesothelioma; Metastatic Malignant Solid Tumor; Advanced Solid Tumor,ISM6331
Insilico Medicine,ISM5411,NCT07265570,Study Evaluating ISM5411 Administered Orally to Subjects With Active Ulcerative Colitis (BETHESDA),PHASE2,RECRUITING,2025-12-10,InSilico Medicine Hong Kong Limited,Ulcerative Colitis,ISM5411 tablets / ISM5411 tablets / ISM5411 tablets / Placebo
Insilico Medicine,rentosertib,NCT07687459,Study Evaluation Rentosertib (INS018_055) Administered Orally in Patients With Idiopathic Pulmonary Fibrosis (IPF),PHASE3,NOT_YET_RECRUITING,2026-08-30,InSilico Medicine Hong Kong Limited,Idiopathic Pulmonary Fibrosis,INS018_055 tablets / Placebo
Insilico Medicine,ISM5939,NCT06724042,Study of ISM5939 in Patients With Advanced and/or Metastatic Solid Tumors,PHASE1,NOT_YET_RECRUITING,2026-12-30,InSilico Medicine Hong Kong Limited,Advanced Solid Tumor; Metastatic Solid Tumor; Advanced and/or Metastatic Solid Tumors,ISM5939 / Cisplatin / Docetaxel / Pembrolizumab
Recursion,REC-994,NCT05085561,The Symptomatic Cerebral Cavernous Malformation Trial of REC-994,PHASE2,COMPLETED,2022-03-17,Recursion Pharmaceuticals Inc.,Cerebral Cavernous Malformation,REC-994 / Placebo
Recursion,REC-2282,NCT05130866,Efficacy and Safety of REC-2282 in Patients With Progressive Neurofibromatosis Type 2 (NF2) Mutated Meningiomas,PHASE2|PHASE3,TERMINATED,2022-06-20,Recursion Pharmaceuticals Inc.,Neurofibromatosis Type 2,REC-2282 / Placebo
Recursion,REC-4881,NCT05552755,Evaluate REC-4881 in Participants With Familial Adenomatous Polyposis (FAP),PHASE1|PHASE2,RECRUITING,2023-07-10,Recursion Pharmaceuticals Inc.,Familial Adenomatous Polyposis,REC-4881 / Placebo
Recursion,REC-4881,NCT06005974,A Study of REC-4881 in Participants With Cancers Which Have an AXIN1 or APC Mutation,PHASE2,TERMINATED,2024-01-15,Recursion Pharmaceuticals Inc.,AXIN1 Gene Mutation; APC Gene Mutation; Solid Tumor,REC-4881
Recursion,REC-3964,NCT06536465,The Clostridioides Difficile Trial of REC-3964,PHASE2,TERMINATED,2024-10-14,Recursion Pharmaceuticals Inc.,Recurrent Clostridioides Difficile Infection,REC-3964
Recursion,REC-1245,NCT06678659,"A Study of REC-1245 in Participants With Unresectable, Locally Advanced, or Metastatic Cancer",PHASE1|PHASE2,RECRUITING,2024-11-21,Recursion Pharmaceuticals Inc.,Unresectable; Locally Advanced; Metastatic Cancers; Relapsed/Refractory Lymphomas,REC-1245
Schrodinger,SGR-1505,NCT05544019,Study of SGR-1505 in Mature B-Cell Neoplasms,PHASE1,RECRUITING,2023-04-10,"Schrödinger, Inc.","Mature B-Cell Neoplasm; Non Hodgkin Lymphoma; DLBCL; Waldenstrom Macroglobulinemia; MALT Lymphoma; Follicular Lymphoma; Pediatric-Type Follicular Lymphoma; IRF4 Gene Rearrangement; EBV-Positive DLBCL, Nos; Burkitt Lymphoma; Plasmablastic Lymphoma; High-grade B-cell Lymphoma; Primary Cutaneous Follicle Center Lymphoma; Primary Effusion Lymphoma; Mantle Cell Lymphoma; DLBCL Germinal Center B-Cell Type; Primary Mediastinal Large B Cell Lymphoma; T-Cell/Histiocyte Rich Lymphoma; ALK-Positive Large B-Cell Lymphoma; Primary Cutaneous Diffuse Large B-Cell Lymphoma; Splenic Marginal Zone Lymphoma; Chronic Lymphocytic Leukemia; Nodal Marginal Zone Lymphoma; HHV8-Positive DLBCL, Nos; Lymphoplasmacytic Lymphoma; Duodenal-Type Follicular Lymphoma",SGR-1505
Schrodinger,SGR-2921,NCT05961839,Study of SGR-2921 in Relapsed/Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome,PHASE1,TERMINATED,2023-09-27,"Schrödinger, Inc.",Acute Myeloid Leukemia; High-Risk and Very High-Risk Myelodysplastic Syndromes,SGR-2921
Schrodinger,SGR-3515,NCT06463340,Study of SGR-3515 In Participants With Advanced Solid Tumors.,PHASE1,RECRUITING,2024-06-18,"Schrödinger, Inc.",Advanced Solid Tumor,SGR-3515
Verge Genomics,VRG50635,NCT06215755,A Study of VRG50635 in Participants With Amyotrophic Lateral Sclerosis (ALS),PHASE1,TERMINATED,2024-01-15,Verge Genomics,Amyotrophic Lateral Sclerosis,VRG50635
Verge Genomics,VRG50635,NCT06286475,A Study of VRG50635 in Healthy Volunteers,PHASE1,COMPLETED,2024-02-29,Verge Genomics,Healthy Volunteers,VRG50635 / Placebo
