comparison,source,geography,year,projected,realised_genetic_only,realised_incl_nongenetic_cell,ratio_realised_genetic_to_projected,ratio_realised_all_to_projected,caveat,realised_us_cart_patients_cibmtr,projected_oncology_component,ratio_cart_to_oncology_component
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2028,7.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2029,7.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
France approvals_per_year,"Lee et al. 2024 (S17), most expected scenario, pipeline Dec 2022",France,2030,2.0,,,,,realised French counts to come from the access layer (launches) and DESCAR-T (CAR-T patients),,,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2023,7820.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,4903,6160.0,0.8
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2024,10659.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,5266,6938.0,0.76
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2025,13982.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,8130.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2026,25697.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,11069.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2027,41149.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,13346.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2028,56896.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,15129.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2029,72703.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,17163.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2030,84727.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,17858.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2031,92417.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,18321.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2032,98195.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,18713.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2033,101020.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,19066.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2034,101968.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,19386.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2035,101530.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,19658.0,
US patients treated per year with durable CGT,"Tufts NEWDIGS pipeline deep dive (S20), figure 2 read from image, pipeline Dec 2023",US,2036,100313.0,,,,,realised column is CAR-T only (CIBMTR-reported patients); gene therapy patients (a few hundred per year in the US) would add to it,,19884.0,
