system,scenario,year,products_with_funded_access_p10,p50,p90,funded_today,share_funded_by_60_months,share_funded_plateau
England,baseline,2028,15.0,17.0,20.0,13,0.53,0.53
England,baseline,2029,17.0,21.0,25.0,13,0.53,0.53
England,baseline,2030,20.0,24.0,30.0,13,0.53,0.53
England,baseline,2031,22.0,28.0,34.0,13,0.53,0.53
England,baseline,2032,24.0,31.0,37.0,13,0.53,0.53
England,baseline,2033,26.0,33.0,41.0,13,0.53,0.53
England,baseline,2034,28.0,35.0,44.0,13,0.53,0.53
England,baseline,2035,30.0,37.0,46.0,13,0.53,0.53
England,baseline,2036,31.0,39.0,49.0,13,0.53,0.53
France,baseline,2027,12.0,14.0,16.0,12,0.48,0.48
France,baseline,2028,14.0,17.0,20.0,12,0.48,0.48
France,baseline,2029,16.0,20.0,25.0,12,0.48,0.48
France,baseline,2030,19.0,23.0,29.0,12,0.48,0.48
France,baseline,2031,21.0,26.0,33.0,12,0.48,0.48
France,baseline,2032,22.0,29.0,36.0,12,0.48,0.48
France,baseline,2033,24.0,31.0,38.0,12,0.48,0.48
France,baseline,2034,25.0,33.0,41.0,12,0.48,0.48
France,baseline,2035,27.0,35.0,43.0,12,0.48,0.48
France,baseline,2036,28.0,36.0,45.0,12,0.48,0.48
Canada,baseline,2027,7.0,7.0,7.0,7,0.42,0.63
Canada,baseline,2028,7.0,8.0,10.0,7,0.42,0.63
Canada,baseline,2029,8.0,11.0,15.0,7,0.42,0.63
Canada,baseline,2030,10.0,14.0,20.0,7,0.42,0.63
Canada,baseline,2031,12.0,17.0,24.0,7,0.42,0.63
Canada,baseline,2032,13.0,20.0,28.0,7,0.42,0.63
Canada,baseline,2033,15.0,23.0,32.0,7,0.42,0.63
Canada,baseline,2034,17.0,27.0,37.0,7,0.42,0.63
Canada,baseline,2035,19.0,30.0,42.0,7,0.42,0.63
Canada,baseline,2036,21.0,33.0,46.0,7,0.42,0.63
Australia,baseline,2027,9.0,11.0,14.0,7,0.88,0.88
Australia,baseline,2028,13.0,17.0,21.0,7,0.88,0.88
Australia,baseline,2029,18.0,24.0,29.0,7,0.88,0.88
Australia,baseline,2030,23.0,29.0,35.0,7,0.88,0.88
Australia,baseline,2031,27.0,34.0,41.0,7,0.88,0.88
Australia,baseline,2032,31.0,39.0,46.0,7,0.88,0.88
Australia,baseline,2033,34.0,43.0,51.0,7,0.88,0.88
Australia,baseline,2034,37.0,46.0,55.0,7,0.88,0.88
Australia,baseline,2035,40.0,49.0,59.0,7,0.88,0.88
Australia,baseline,2036,42.0,52.0,62.0,7,0.88,0.88
United States,compressed access,2027,27.0,29.0,32.0,25,1.0,1.0
United States,compressed access,2028,33.0,37.0,41.0,25,1.0,1.0
United States,compressed access,2029,39.0,44.0,49.0,25,1.0,1.0
United States,compressed access,2030,45.0,50.0,56.0,25,1.0,1.0
United States,compressed access,2031,50.0,56.0,62.0,25,1.0,1.0
United States,compressed access,2032,55.0,61.0,68.0,25,1.0,1.0
United States,compressed access,2033,59.0,66.0,73.0,25,1.0,1.0
United States,compressed access,2034,63.0,70.0,77.0,25,1.0,1.0
United States,compressed access,2035,66.0,73.0,81.0,25,1.0,1.0
United States,compressed access,2036,68.0,77.0,85.0,25,1.0,1.0
Germany,compressed access,2027,22.0,24.0,27.0,20,0.83,0.83
Germany,compressed access,2028,28.0,32.0,36.0,20,0.83,0.83
Germany,compressed access,2029,34.0,39.0,44.0,20,0.83,0.83
Germany,compressed access,2030,40.0,45.0,51.0,20,0.83,0.83
Germany,compressed access,2031,45.0,51.0,57.0,20,0.83,0.83
Germany,compressed access,2032,50.0,56.0,63.0,20,0.83,0.83
Germany,compressed access,2033,54.0,61.0,68.0,20,0.83,0.83
Germany,compressed access,2034,58.0,65.0,72.0,20,0.83,0.83
Germany,compressed access,2035,61.0,68.0,76.0,20,0.83,0.83
Germany,compressed access,2036,63.0,72.0,80.0,20,0.83,0.83
Italy,compressed access,2027,18.0,20.0,23.0,16,0.7,0.7
Italy,compressed access,2028,24.0,28.0,32.0,16,0.7,0.7
Italy,compressed access,2029,30.0,35.0,40.0,16,0.7,0.7
Italy,compressed access,2030,36.0,41.0,47.0,16,0.7,0.7
Italy,compressed access,2031,41.0,47.0,53.0,16,0.7,0.7
Italy,compressed access,2032,46.0,52.0,59.0,16,0.7,0.7
Italy,compressed access,2033,50.0,57.0,64.0,16,0.7,0.7
Italy,compressed access,2034,54.0,61.0,68.0,16,0.7,0.7
Italy,compressed access,2035,57.0,64.0,72.0,16,0.7,0.7
Italy,compressed access,2036,59.0,68.0,76.0,16,0.7,0.7
England,compressed access,2027,15.0,17.0,20.0,13,0.53,0.53
England,compressed access,2028,21.0,25.0,29.0,13,0.53,0.53
England,compressed access,2029,27.0,32.0,37.0,13,0.53,0.53
England,compressed access,2030,33.0,38.0,44.0,13,0.53,0.53
England,compressed access,2031,38.0,44.0,50.0,13,0.53,0.53
England,compressed access,2032,43.0,49.0,56.0,13,0.53,0.53
England,compressed access,2033,47.0,54.0,61.0,13,0.53,0.53
England,compressed access,2034,51.0,58.0,65.0,13,0.53,0.53
England,compressed access,2035,54.0,61.0,69.0,13,0.53,0.53
England,compressed access,2036,56.0,65.0,73.0,13,0.53,0.53
France,compressed access,2027,14.0,16.0,19.0,12,0.48,0.48
France,compressed access,2028,20.0,24.0,28.0,12,0.48,0.48
France,compressed access,2029,26.0,31.0,36.0,12,0.48,0.48
France,compressed access,2030,32.0,37.0,43.0,12,0.48,0.48
France,compressed access,2031,37.0,43.0,49.0,12,0.48,0.48
France,compressed access,2032,42.0,48.0,55.0,12,0.48,0.48
France,compressed access,2033,46.0,53.0,60.0,12,0.48,0.48
France,compressed access,2034,50.0,57.0,64.0,12,0.48,0.48
France,compressed access,2035,53.0,60.0,68.0,12,0.48,0.48
France,compressed access,2036,55.0,64.0,72.0,12,0.48,0.48
Canada,compressed access,2027,9.0,11.0,14.0,7,0.42,0.63
Canada,compressed access,2028,15.0,19.0,23.0,7,0.42,0.63
Canada,compressed access,2029,21.0,26.0,31.0,7,0.42,0.63
Canada,compressed access,2030,27.0,32.0,38.0,7,0.42,0.63
Canada,compressed access,2031,32.0,38.0,44.0,7,0.42,0.63
Canada,compressed access,2032,37.0,43.0,50.0,7,0.42,0.63
Canada,compressed access,2033,41.0,48.0,55.0,7,0.42,0.63
Canada,compressed access,2034,45.0,52.0,59.0,7,0.42,0.63
Canada,compressed access,2035,48.0,55.0,63.0,7,0.42,0.63
Canada,compressed access,2036,50.0,59.0,67.0,7,0.42,0.63
Australia,compressed access,2027,9.0,11.0,14.0,7,0.88,0.88
Australia,compressed access,2028,15.0,19.0,23.0,7,0.88,0.88
Australia,compressed access,2029,21.0,26.0,31.0,7,0.88,0.88
Australia,compressed access,2030,27.0,33.0,38.0,7,0.88,0.88
Australia,compressed access,2031,32.0,38.0,44.0,7,0.88,0.88
Australia,compressed access,2032,37.0,43.0,50.0,7,0.88,0.88
Australia,compressed access,2033,41.0,48.0,55.0,7,0.88,0.88
Australia,compressed access,2034,45.0,52.0,59.0,7,0.88,0.88
Australia,compressed access,2035,48.0,55.0,63.0,7,0.88,0.88
Australia,compressed access,2036,50.0,59.0,67.0,7,0.88,0.88
