cls,sponsor,ph,as_of
CAR-T,CytoMed Therapeutics Pte Ltd,1.0,2026-09
CAR-T,Dispatch Biotherapeutics,1.0,2026-09
CAR-T,EdiGene Inc.,1.0,2026-09
CAR-T,FamiCordTx,1.0,2026-09
CAR-T,Fate Therapeutics,2.0,2026-09
CAR-T,"GenomeFrontier Therapeutics TW Co., Ltd.",1.0,2026-09
CAR-T,"Gracell Biotechnologies (Shanghai) Co., Ltd.",2.0,2026-09
CAR-T,"Guangzhou Bio-gene Technology Co., Ltd",2.0,2026-09
CAR-T,"Guangzhou FineImmune Biotechnology Co., LTD.",1.0,2026-09
CAR-T,Gyala Therapeutics,2.0,2026-09
CAR-T,"Hangzhou Qihan Biotech Co., Ltd.",1.0,2026-09
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",2.0,2026-09
CAR-T,Hemogenyx Pharmaceuticals LLC,1.0,2026-09
CAR-T,"Hrain Biotechnology Co., Ltd.",2.0,2026-09
CAR-T,"ImmunoVaccine Technologies, Inc. (IMV Inc.)",2.0,2026-09
CAR-T,Imugene Limited,1.0,2026-09
CAR-T,Imviva Bio,2.0,2026-09
CAR-T,"Janssen Research & Development, LLC",3.0,2026-09
CAR-T,"Jiangsu Topcel-KH Pharmaceutical Co., Ltd.",1.0,2026-09
CAR-T,"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company",3.0,2026-09
CAR-T,Juventas Cell Therapy Ltd.,2.0,2026-09
CAR-T,Karyopharm Therapeutics Inc,3.0,2026-09
CAR-T,"Kelonia Therapeutics, Inc.",1.0,2026-09
CAR-T,"Kite, A Gilead Company",3.0,2026-09
CAR-T,"Kure Cells, INC",2.0,2026-09
CAR-T,Kyverna Therapeutics,3.0,2026-09
CAR-T,Lakefront Biotherapeutics NV,3.0,2026-09
CAR-T,Legend Biotech USA Inc,1.0,2026-09
CAR-T,Leucid Bio,2.0,2026-09
CAR-T,Luminary Therapeutics,2.0,2026-09
CAR-T,"Lyell Immunopharma, Inc.",3.0,2026-09
CAR-T,March Biosciences Inc,2.0,2026-09
CAR-T,Merck Sharp & Dohme LLC,2.0,2026-09
CAR-T,Miltenyi Biomedicine GmbH,2.0,2026-09
CAR-T,Minerva Biotechnologies Corporation,1.0,2026-09
CAR-T,"Moonlight Bio, Inc",1.0,2026-09
CAR-T,Myeloid Therapeutics,2.0,2026-09
CAR-T,"Nanjing Bioheng Biotech Co., Ltd.",1.0,2026-09
CAR-T,"Nanjing IASO Biotechnology Co., Ltd.",3.0,2026-09
CAR-T,Nanjing Legend Biotech Co.,1.0,2026-09
CAR-T,Nexcella Inc.,2.0,2026-09
CAR-T,"Nkarta, Inc.",1.0,2026-09
CAR-T,Novartis Pharmaceuticals,3.0,2026-09
CAR-T,"Novatim Immune Therapeutics (Zhejiang) Co., Ltd.",1.0,2026-09
CAR-T,"O&D BioTech Group CO., Limited",1.0,2026-09
CAR-T,OneChain Immunotherapeutics,1.0,2026-09
CAR-T,"OriCell Therapeutics Co., Ltd.",2.0,2026-09
CAR-T,"Outpace Bio, Inc.",1.0,2026-09
CAR-T,"Pell Bio-Med Technology Co., Ltd.",2.0,2026-09
CAR-T,"PeproMene Bio, Inc.",1.0,2026-09
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",2.0,2026-09
CAR-T,"Poseida Therapeutics, Inc.",1.0,2026-09
CAR-T,"Precigen, Inc",1.0,2026-09
CAR-T,Quell Therapeutics Limited,2.0,2026-09
CAR-T,Regeneron Pharmaceuticals,1.0,2026-09
CAR-T,RiboX Therapeutics Ltd.,1.0,2026-09
CAR-T,Sana Biotechnology,1.0,2026-09
CAR-T,"Shandong Qilu Cell Therapy Engineering Technology Co., Ltd",1.0,2026-09
CAR-T,Shanghai AbelZeta Ltd.,2.0,2026-09
CAR-T,"Shanghai Cell Therapy Group Co.,Ltd",1.0,2026-09
CAR-T,Shanghai Exuma Biotechnology Ltd.,1.0,2026-09
CAR-T,"Shanghai First Song Biotechnology Co., LTD",1.0,2026-09
CAR-T,"Shanghai Ming Ju Biotechnology Co., Ltd.",2.0,2026-09
CAR-T,"Shanghai PerHum Therapeutics Co., Ltd.",1.0,2026-09
CAR-T,"Shanghai Simnova Biotechnology Co.,Ltd.",1.0,2026-09
CAR-T,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",2.0,2026-09
CAR-T,"Shenzhen Celconta Life Science Co., Ltd.",1.0,2026-09
CAR-T,"Shenzhen Fosun Kairos Biotechnology Co., Ltd.",2.0,2026-09
CAR-T,"Shenzhen Genocury Biotech Co., Ltd.",1.0,2026-09
CAR-T,"Shenzhen MagicRNA Biotechnology Co., Ltd",1.0,2026-09
CAR-T,"Sonoma Biotherapeutics, Inc.",1.0,2026-09
CAR-T,"Suzhou Immunofoco Biotechnology Co., Ltd",3.0,2026-09
CAR-T,"Suzhou Maximum Bio-tech Co., Ltd.",1.0,2026-09
CAR-T,Synthekine,1.0,2026-09
CAR-T,T-MAXIMUM Pharmaceutical Inc,2.0,2026-09
CAR-T,TCRCure Biopharma Ltd.,1.0,2026-09
CAR-T,"TICAROS Co., Ltd.",2.0,2026-09
CAR-T,Takara Bio Inc.,2.0,2026-09
CAR-T,Takeda,2.0,2026-09
CAR-T,"Tasly Pharmaceutical Group Co., Ltd",2.0,2026-09
CAR-T,Tcelltech Inc.,1.0,2026-09
CAR-T,Tessa Therapeutics,2.0,2026-09
CAR-T,Therorna,1.0,2026-09
CAR-T,TriArm Therapeutics (Taiwan) Limited,1.0,2026-09
CAR-T,UTC Therapeutics Inc.,1.0,2026-09
CAR-T,Umoja Biopharma,2.0,2026-09
CAR-T,Vitruviae,2.0,2026-09
CAR-T,Vittoria Biotherapeutics,1.0,2026-09
CAR-T,iCell Gene Therapeutics,2.0,2026-09
CRISPR ex vivo,Arbor Biotechnologies,2.0,2026-09
CRISPR ex vivo,Bioray Laboratories,2.0,2026-09
CRISPR ex vivo,CRISPR Therapeutics,1.0,2026-09
CRISPR ex vivo,CRISPR Therapeutics AG,2.0,2026-09
CRISPR ex vivo,"Caribou Biosciences, Inc.",1.0,2026-09
CRISPR ex vivo,"Editas Medicine, Inc.",2.0,2026-09
CRISPR ex vivo,Excision BioTherapeutics,1.0,2026-09
CRISPR ex vivo,"HuidaGene Therapeutics Co., Ltd.",1.0,2026-09
CRISPR ex vivo,Intellia Therapeutics,3.0,2026-09
CRISPR ex vivo,Kamau Therapeutics,2.0,2026-09
CRISPR ex vivo,"Shanghai BDgene Co., Ltd.",1.0,2026-09
CRISPR ex vivo,Vertex Pharmaceuticals Incorporated,3.0,2026-09
CRISPR ex vivo,"YolTech Therapeutics Co., Ltd",2.0,2026-09
in vivo editing and LNP,Beam Therapeutics Inc.,2.0,2026-09
in vivo editing and LNP,"CorrectSequence Therapeutics Co., Ltd",2.0,2026-09
in vivo editing and LNP,"Epicrispr Biotechnologies, Inc.",2.0,2026-09
in vivo editing and LNP,"Genprex, Inc.",2.0,2026-09
in vivo editing and LNP,"Immunomic Therapeutics, Inc.",1.0,2026-09
in vivo editing and LNP,"IntraAb, Inc.",2.0,2026-09
in vivo editing and LNP,Klothea Bio Inc,1.0,2026-09
in vivo editing and LNP,Myeloid Therapeutics,1.0,2026-09
in vivo editing and LNP,"Prime Medicine, Inc.",2.0,2026-09
in vivo editing and LNP,"Sanofi Pasteur, a Sanofi Company",2.0,2026-09
in vivo editing and LNP,Therorna,1.0,2026-09
in vivo editing and LNP,"Verve Therapeutics, Inc.",1.0,2026-09
lentiviral ex vivo,Altheia Science,2.0,2026-09
lentiviral ex vivo,Autolus Limited,2.0,2026-09
lentiviral ex vivo,"Expression Therapeutics, LLC",1.0,2026-09
lentiviral ex vivo,Genetix Biotherapeutics Inc.,3.0,2026-09
lentiviral ex vivo,"Kanglin Biotechnology (Hangzhou) Co., Ltd.",2.0,2026-09
lentiviral ex vivo,"Kite, A Gilead Company",1.0,2026-09
lentiviral ex vivo,"Kure Cells, INC",2.0,2026-09
lentiviral ex vivo,Lakefront Biotherapeutics NV,3.0,2026-09
lentiviral ex vivo,Lantu Biopharma,2.0,2026-09
lentiviral ex vivo,Miltenyi Biomedicine GmbH,2.0,2026-09
lentiviral ex vivo,Minerva Biotechnologies Corporation,1.0,2026-09
lentiviral ex vivo,"Nanjing IASO Biotechnology Co., Ltd.",2.0,2026-09
lentiviral ex vivo,Novartis Pharmaceuticals,3.0,2026-09
lentiviral ex vivo,Orchard Therapeutics,3.0,2026-09
lentiviral ex vivo,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",1.0,2026-09
lentiviral ex vivo,Rocket Pharmaceuticals Inc.,2.0,2026-09
lentiviral ex vivo,"Shanghai BDgene Co., Ltd.",2.0,2026-09
lentiviral ex vivo,Shenzhen Hemogen,1.0,2026-09
lentiviral ex vivo,"Suzhou Immunofoco Biotechnology Co., Ltd",1.0,2026-09
lentiviral ex vivo,TCRx Therapeutics Co.Ltd,1.0,2026-09
lentiviral ex vivo,Theravectys S.A.,2.0,2026-09
lentiviral ex vivo,"USWM CT, LLC",1.0,2026-09
AAV,2A Pharma AB,1.0,2019-12
AAV,"Abeona Therapeutics, Inc",2.0,2019-12
AAV,"Adverum Biotechnologies, Inc.",2.0,2019-12
AAV,Amsterdam Molecular Therapeutics,3.0,2019-12
AAV,Arthrogen,1.0,2019-12
AAV,AskBio Inc,1.0,2019-12
AAV,Astellas Gene Therapies,3.0,2019-12
AAV,Audentes Therapeutics,1.0,2019-12
AAV,Avigen,2.0,2019-12
AAV,Baxalta now part of Shire,2.0,2019-12
AAV,Bayer,2.0,2019-12
AAV,Beacon Therapeutics,2.0,2019-12
AAV,BioMarin Pharmaceutical,2.0,2019-12
AAV,Biogen,2.0,2019-12
AAV,CSL Behring,3.0,2019-12
AAV,Celladon Corporation,2.0,2019-12
AAV,"Genzyme, a Sanofi Company",1.0,2019-12
AAV,LYSOGENE,2.0,2019-12
AAV,MeiraGTx UK II Ltd,2.0,2019-12
AAV,"MeiraGTx, LLC",1.0,2019-12
AAV,Nanoscope Therapeutics Inc.,2.0,2019-12
AAV,"Neurologix, Inc.",2.0,2019-12
AAV,Pfizer,3.0,2019-12
AAV,REGENXBIO Inc.,2.0,2019-12
AAV,Rocket Pharmaceuticals Inc.,1.0,2019-12
AAV,Sangamo Therapeutics,2.0,2019-12
AAV,"Sarepta Therapeutics, Inc.",2.0,2019-12
AAV,"Spark Therapeutics, Inc.",3.0,2019-12
AAV,"Tacere Therapeutics, Inc.",2.0,2019-12
AAV,Targeted Genetics Corporation,3.0,2019-12
AAV,Ultragenyx Pharmaceutical Inc,2.0,2019-12
AAV,UniQure Biopharma B.V.,2.0,2019-12
AAV,"VegaVect, Inc.",2.0,2019-12
AAV,eyeDNA Therapeutics,2.0,2019-12
CAR-T,AGC Biologics S.p.A.,2.0,2019-12
CAR-T,"Aeon Therapeutics (Shanghai) Co., Ltd.",1.0,2019-12
CAR-T,"Allife Medical Science and Technology Co., Ltd.",1.0,2019-12
CAR-T,Allogene Therapeutics,1.0,2019-12
CAR-T,Amgen,1.0,2019-12
CAR-T,Autolus Limited,2.0,2019-12
CAR-T,"Beijing Biohealthcare Biotechnology Co.,Ltd",2.0,2019-12
CAR-T,"Beijing Doing Biomedical Co., Ltd.",1.0,2019-12
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",2.0,2019-12
CAR-T,"Beijing Sanwater Biological Technology Co., Ltd.",1.0,2019-12
CAR-T,"Bioceltech Therapeutics, Ltd.",1.0,2019-12
CAR-T,Bioray Laboratories,2.0,2019-12
CAR-T,"CARsgen Therapeutics Co., Ltd.",2.0,2019-12
CAR-T,CRISPR Therapeutics AG,2.0,2019-12
CAR-T,Cartesian Therapeutics,2.0,2019-12
CAR-T,Celgene,3.0,2019-12
CAR-T,Cellectis S.A.,2.0,2019-12
CAR-T,Celyad Oncology SA,1.0,2019-12
CAR-T,"Chongqing Precision Biotech Co., Ltd",2.0,2019-12
CAR-T,CytoMed Therapeutics Pte Ltd,1.0,2019-12
CAR-T,"Hebei Senlang Biotechnology Inc., Ltd.",2.0,2019-12
CAR-T,"Hrain Biotechnology Co., Ltd.",1.0,2019-12
CAR-T,"Immune Cell, Inc.",1.0,2019-12
CAR-T,Imugene Limited,1.0,2019-12
CAR-T,"Janssen Research & Development, LLC",2.0,2019-12
CAR-T,Jazz Pharmaceuticals,2.0,2019-12
CAR-T,"Juno Therapeutics, a Subsidiary of Celgene",2.0,2019-12
CAR-T,"Kite, A Gilead Company",2.0,2019-12
CAR-T,Miltenyi Biomedicine GmbH,2.0,2019-12
CAR-T,Nanjing Legend Biotech Co.,2.0,2019-12
CAR-T,Nektar Therapeutics,1.0,2019-12
CAR-T,Ningbo Cancer Hospital,2.0,2019-12
CAR-T,Novartis Pharmaceuticals,3.0,2019-12
CAR-T,"PersonGen BioTherapeutics (Suzhou) Co., Ltd.",2.0,2019-12
CAR-T,Pinze Lifetechnology Co. Ltd.,1.0,2019-12
CAR-T,"Poseida Therapeutics, Inc.",2.0,2019-12
CAR-T,"Precigen, Inc",1.0,2019-12
CAR-T,Regeneron Pharmaceuticals,1.0,2019-12
CAR-T,Shanghai AbelZeta Ltd.,1.0,2019-12
CAR-T,"Shanghai GeneChem Co., Ltd.",2.0,2019-12
CAR-T,Shanghai International Medical Center,2.0,2019-12
CAR-T,"Shanghai Ming Ju Biotechnology Co., Ltd.",2.0,2019-12
CAR-T,"Shanghai PerHum Therapeutics Co., Ltd.",2.0,2019-12
CAR-T,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",2.0,2019-12
CAR-T,Shenzhen BinDeBio Ltd.,2.0,2019-12
CAR-T,"Sinobioway Cell Therapy Co., Ltd.",1.0,2019-12
CAR-T,"Sorrento Therapeutics, Inc.",1.0,2019-12
CAR-T,Takara Bio Inc.,2.0,2019-12
CAR-T,"Tceleron Therapeutics, Inc.",1.0,2019-12
CAR-T,"The Pregene (ShenZhen) Biotechnology Company, Ltd.",1.0,2019-12
CAR-T,"Tianjin Mycure Medical Technology Co., Ltd",1.0,2019-12
CAR-T,Timmune Biotech Inc.,2.0,2019-12
CAR-T,"Wuhan Sian Medical Technology Co., Ltd",2.0,2019-12
CAR-T,iCell Gene Therapeutics,1.0,2019-12
CRISPR ex vivo,"Allife Medical Science and Technology Co., Ltd.",1.0,2019-12
CRISPR ex vivo,CRISPR Therapeutics AG,2.0,2019-12
CRISPR ex vivo,"Editas Medicine, Inc.",2.0,2019-12
CRISPR ex vivo,GlaxoSmithKline,2.0,2019-12
CRISPR ex vivo,Vertex Pharmaceuticals Incorporated,3.0,2019-12
in vivo editing and LNP,Alnylam Pharmaceuticals,3.0,2019-12
lentiviral ex vivo,AVROBIO,2.0,2019-12
lentiviral ex vivo,Autolus Limited,2.0,2019-12
lentiviral ex vivo,"CARsgen Therapeutics Co., Ltd.",1.0,2019-12
lentiviral ex vivo,CSL Behring,1.0,2019-12
lentiviral ex vivo,"Calimmune, Inc.",2.0,2019-12
lentiviral ex vivo,"Castle Creek Biosciences, LLC.",2.0,2019-12
lentiviral ex vivo,Genenta Science,2.0,2019-12
lentiviral ex vivo,Genetix Biotherapeutics Inc.,3.0,2019-12
lentiviral ex vivo,Myrexis Inc.,2.0,2019-12
lentiviral ex vivo,Novartis Pharmaceuticals,3.0,2019-12
lentiviral ex vivo,Orchard Therapeutics,2.0,2019-12
lentiviral ex vivo,Rocket Pharmaceuticals Inc.,2.0,2019-12
lentiviral ex vivo,SPP Pharmaclon Ltd.,2.0,2019-12
lentiviral ex vivo,Theravectys S.A.,2.0,2019-12
lentiviral ex vivo,Timmune Biotech Inc.,1.0,2019-12
lentiviral ex vivo,"USWM CT, LLC",1.0,2019-12
