product_key,platform_class,first_in_human,first_approval,earliest_phase2_or_1_2_start,earliest_phase3_start,years_fih_to_approval,years_phase2_start_to_approval,years_phase3_start_to_approval,share_remaining_at_phase2,share_remaining_at_phase3,note
zevaskyn,gene-modified keratinocyte sheets,2010-10-05,2025-04-28,2010-10-01,2020-01-01,14.56,14.57,5.32,1.0,0.37,
papzimeos,adenoviral immunotherapy,2021-03-16,2025-08-14,2021-03-01,,4.41,4.45,,1.01,,
adstiladrin,adenoviral intravesical,2006-03-01,2022-12-16,2012-09-01,2016-09-01,16.79,10.29,6.29,0.61,0.37,
imlygic,oncolytic HSV,2005-12-01,2015-10-27,2005-12-01,2009-04-01,9.9,9.9,6.57,1.0,0.66,
tudriqev,oncolytic HSV,2017-09-20,2026-08-06,2017-09-01,2024-07-01,8.88,8.93,2.1,1.01,0.24,
tecelra,TCR-T,2017-05-15,2024-08-01,,,7.21,,,,,
amtagvi,tumour-infiltrating lymphocytes,2015-09-24,2024-02-16,2015-09-01,2023-03-01,8.4,8.46,0.96,1.01,0.11,
provenge,autologous cellular immunotherapy,1999-11-01,2010-04-29,1999-11-01,1999-11-01,10.49,10.49,10.49,1.0,1.0,
ryoncil,mesenchymal stromal cells,2005-04-27,2024-12-19,2005-04-01,2006-08-01,19.65,19.72,18.38,1.0,0.94,
omisirge,expanded cord blood,2010-11-01,2023-04-17,2010-11-01,2016-12-01,12.46,12.46,6.37,1.0,0.51,
lantidra,allogeneic islet cells,2004-11-01,2023-06-28,2004-11-01,,18.65,18.65,,1.0,,
tregzi,allogeneic Treg cell therapy,2019-11-21,2026-07-01,2022-06-01,2022-06-01,6.61,4.08,4.08,0.62,0.62,
waskyra,lentiviral ex vivo,2010-04-20,2025-12-09,2010-04-01,2019-01-01,15.64,15.69,6.94,1.0,0.44,
kresladi,lentiviral ex vivo,2019-04-15,2026-03-26,2019-08-01,,6.95,6.65,,0.96,,
otarmeni,"AAV dual vector, intracochlear",2023-06-27,2026-04-23,2023-06-01,,2.82,2.89,,1.03,,
genglycos,AAV systemic,2018-05-18,2026-08-19,2018-05-01,2021-11-01,8.25,8.3,4.8,1.01,0.58,
encelto,encapsulated cell,2003-06-01,2025-03-05,2007-01-01,2017-11-01,21.76,18.17,7.34,0.84,0.34,
strimvelis,gammaretroviral ex vivo,2002-10-02,2016-05-26,2002-10-01,,13.65,13.65,,1.0,,
glybera,AAV intramuscular,2007-08-01,2012-10-25,2007-08-01,2007-08-01,5.23,5.23,5.23,1.0,1.0,
zalmoxis,gene-modified T cells,2002-07-01,2016-08-18,2002-07-01,2010-04-01,14.13,14.13,6.38,1.0,0.45,
alofisel,allogeneic MSC,2009-06-01,2018-03-23,2009-06-01,2012-07-01,8.81,8.81,5.72,1.0,0.65,
ebvallo,allogeneic EBV-specific T cells,1995-03-01,2022-12-16,1995-03-01,2017-12-01,27.79,27.79,5.04,1.0,0.18,
