scenario,class,region,year,patients_p10,patients_p50,patients_p90
baseline,AAV,US,2035,922,1538,2441
baseline,AAV,US,2036,896,1512,2381
baseline,AAV,Europe,2027,476,656,876
baseline,AAV,Europe,2028,259,397,613
baseline,AAV,Europe,2029,318,522,909
baseline,AAV,Europe,2030,400,712,1270
baseline,AAV,Europe,2031,493,897,1580
baseline,AAV,Europe,2032,562,1009,1714
baseline,AAV,Europe,2033,582,1030,1745
baseline,AAV,Europe,2034,587,1016,1721
baseline,AAV,Europe,2035,572,994,1672
baseline,AAV,Europe,2036,552,972,1626
baseline,AAV,rest of world,2027,84,112,184
baseline,AAV,rest of world,2028,45,68,114
baseline,AAV,rest of world,2029,56,91,171
baseline,AAV,rest of world,2030,70,125,239
baseline,AAV,rest of world,2031,86,158,294
baseline,AAV,rest of world,2032,98,177,321
baseline,AAV,rest of world,2033,101,181,323
baseline,AAV,rest of world,2034,100,179,325
baseline,AAV,rest of world,2035,99,174,315
baseline,AAV,rest of world,2036,98,172,304
baseline,AAV,worldwide,2027,1463,1681,1990
baseline,AAV,worldwide,2028,845,1161,1729
baseline,AAV,worldwide,2029,1038,1588,2628
baseline,AAV,worldwide,2030,1306,2164,3628
baseline,AAV,worldwide,2031,1586,2623,4296
baseline,AAV,worldwide,2032,1749,2840,4516
baseline,AAV,worldwide,2033,1756,2858,4493
baseline,AAV,worldwide,2034,1735,2806,4432
baseline,AAV,worldwide,2035,1688,2760,4298
baseline,AAV,worldwide,2036,1644,2686,4184
baseline,lentiviral ex vivo,US,2027,68,81,190
baseline,lentiviral ex vivo,US,2028,29,64,390
baseline,lentiviral ex vivo,US,2029,14,109,655
baseline,lentiviral ex vivo,US,2030,10,176,959
baseline,lentiviral ex vivo,US,2031,16,238,1118
baseline,lentiviral ex vivo,US,2032,19,272,1156
baseline,lentiviral ex vivo,US,2033,22,269,1143
baseline,lentiviral ex vivo,US,2034,22,264,1107
baseline,lentiviral ex vivo,US,2035,20,259,1046
baseline,lentiviral ex vivo,US,2036,21,249,1050
baseline,lentiviral ex vivo,Europe,2027,43,59,83
baseline,lentiviral ex vivo,Europe,2028,17,30,169
baseline,lentiviral ex vivo,Europe,2029,8,37,304
baseline,lentiviral ex vivo,Europe,2030,3,67,495
baseline,lentiviral ex vivo,Europe,2031,2,104,666
baseline,lentiviral ex vivo,Europe,2032,3,134,737
baseline,lentiviral ex vivo,Europe,2033,4,142,752
baseline,lentiviral ex vivo,Europe,2034,5,143,727
baseline,lentiviral ex vivo,Europe,2035,5,145,681
baseline,lentiviral ex vivo,Europe,2036,5,136,665
baseline,lentiviral ex vivo,rest of world,2027,7,10,17
baseline,lentiviral ex vivo,rest of world,2028,3,5,29
baseline,lentiviral ex vivo,rest of world,2029,1,7,56
baseline,lentiviral ex vivo,rest of world,2030,1,12,91
baseline,lentiviral ex vivo,rest of world,2031,0,19,119
baseline,lentiviral ex vivo,rest of world,2032,1,24,130
baseline,lentiviral ex vivo,rest of world,2033,1,26,133
baseline,lentiviral ex vivo,rest of world,2034,1,25,134
baseline,lentiviral ex vivo,rest of world,2035,1,25,128
baseline,lentiviral ex vivo,rest of world,2036,1,25,121
baseline,lentiviral ex vivo,worldwide,2027,127,161,288
baseline,lentiviral ex vivo,worldwide,2028,51,103,575
baseline,lentiviral ex vivo,worldwide,2029,26,170,982
baseline,lentiviral ex vivo,worldwide,2030,16,277,1522
baseline,lentiviral ex vivo,worldwide,2031,26,390,1881
baseline,lentiviral ex vivo,worldwide,2032,33,458,1963
baseline,lentiviral ex vivo,worldwide,2033,37,470,2009
baseline,lentiviral ex vivo,worldwide,2034,40,457,1918
baseline,lentiviral ex vivo,worldwide,2035,40,455,1819
baseline,lentiviral ex vivo,worldwide,2036,38,437,1791
baseline,CRISPR ex vivo,US,2027,460,534,645
baseline,CRISPR ex vivo,US,2028,205,248,742
baseline,CRISPR ex vivo,US,2029,57,133,978
baseline,CRISPR ex vivo,US,2030,11,167,1393
baseline,CRISPR ex vivo,US,2031,5,233,1782
baseline,CRISPR ex vivo,US,2032,9,292,1871
baseline,CRISPR ex vivo,US,2033,13,326,1968
baseline,CRISPR ex vivo,US,2034,16,345,1992
baseline,CRISPR ex vivo,US,2035,15,350,1958
baseline,CRISPR ex vivo,US,2036,13,361,1935
baseline,CRISPR ex vivo,Europe,2027,291,401,534
baseline,CRISPR ex vivo,Europe,2028,128,178,338
baseline,CRISPR ex vivo,Europe,2029,33,59,443
baseline,CRISPR ex vivo,Europe,2030,7,54,683
baseline,CRISPR ex vivo,Europe,2031,1,91,920
baseline,CRISPR ex vivo,Europe,2032,0,126,1112
baseline,CRISPR ex vivo,Europe,2033,2,158,1185
baseline,CRISPR ex vivo,Europe,2034,2,173,1239
baseline,CRISPR ex vivo,Europe,2035,2,177,1274
baseline,CRISPR ex vivo,Europe,2036,3,185,1274
baseline,CRISPR ex vivo,rest of world,2027,51,68,113
baseline,CRISPR ex vivo,rest of world,2028,22,32,62
baseline,CRISPR ex vivo,rest of world,2029,6,11,80
baseline,CRISPR ex vivo,rest of world,2030,1,10,122
baseline,CRISPR ex vivo,rest of world,2031,0,16,168
baseline,CRISPR ex vivo,rest of world,2032,0,22,207
baseline,CRISPR ex vivo,rest of world,2033,0,28,217
baseline,CRISPR ex vivo,rest of world,2034,0,31,227
baseline,CRISPR ex vivo,rest of world,2035,0,32,233
baseline,CRISPR ex vivo,rest of world,2036,0,33,232
baseline,CRISPR ex vivo,worldwide,2027,859,963,1162
baseline,CRISPR ex vivo,worldwide,2028,386,490,1159
baseline,CRISPR ex vivo,worldwide,2029,101,217,1488
baseline,CRISPR ex vivo,worldwide,2030,22,266,2147
baseline,CRISPR ex vivo,worldwide,2031,8,386,2806
baseline,CRISPR ex vivo,worldwide,2032,16,482,3098
baseline,CRISPR ex vivo,worldwide,2033,25,556,3261
baseline,CRISPR ex vivo,worldwide,2034,29,594,3396
baseline,CRISPR ex vivo,worldwide,2035,31,606,3386
baseline,CRISPR ex vivo,worldwide,2036,27,619,3391
baseline,in vivo editing and LNP,US,2027,0,0,24
baseline,in vivo editing and LNP,US,2028,0,0,225
baseline,in vivo editing and LNP,US,2029,0,6,548
baseline,in vivo editing and LNP,US,2030,0,46,944
baseline,in vivo editing and LNP,US,2031,0,103,1314
baseline,in vivo editing and LNP,US,2032,0,171,1608
baseline,in vivo editing and LNP,US,2033,3,238,1840
baseline,in vivo editing and LNP,US,2034,6,297,1993
baseline,in vivo editing and LNP,US,2035,9,338,2086
baseline,in vivo editing and LNP,US,2036,12,373,2131
baseline,in vivo editing and LNP,Europe,2027,0,0,0
baseline,in vivo editing and LNP,Europe,2028,0,0,45
baseline,in vivo editing and LNP,Europe,2029,0,0,205
baseline,in vivo editing and LNP,Europe,2030,0,6,416
baseline,in vivo editing and LNP,Europe,2031,0,29,698
baseline,in vivo editing and LNP,Europe,2032,0,62,929
baseline,in vivo editing and LNP,Europe,2033,0,99,1114
baseline,in vivo editing and LNP,Europe,2034,0,132,1256
baseline,in vivo editing and LNP,Europe,2035,1,164,1304
baseline,in vivo editing and LNP,Europe,2036,2,183,1373
baseline,in vivo editing and LNP,rest of world,2027,0,0,0
baseline,in vivo editing and LNP,rest of world,2028,0,0,8
baseline,in vivo editing and LNP,rest of world,2029,0,0,34
baseline,in vivo editing and LNP,rest of world,2030,0,1,72
baseline,in vivo editing and LNP,rest of world,2031,0,5,123
baseline,in vivo editing and LNP,rest of world,2032,0,11,165
baseline,in vivo editing and LNP,rest of world,2033,0,17,196
baseline,in vivo editing and LNP,rest of world,2034,0,24,220
baseline,in vivo editing and LNP,rest of world,2035,0,29,242
baseline,in vivo editing and LNP,rest of world,2036,0,32,250
baseline,in vivo editing and LNP,worldwide,2027,0,0,28
baseline,in vivo editing and LNP,worldwide,2028,0,0,310
baseline,in vivo editing and LNP,worldwide,2029,0,8,805
baseline,in vivo editing and LNP,worldwide,2030,0,66,1486
baseline,in vivo editing and LNP,worldwide,2031,0,163,2139
baseline,in vivo editing and LNP,worldwide,2032,0,278,2695
baseline,in vivo editing and LNP,worldwide,2033,5,392,3097
baseline,in vivo editing and LNP,worldwide,2034,12,506,3449
baseline,in vivo editing and LNP,worldwide,2035,17,566,3608
baseline,in vivo editing and LNP,worldwide,2036,21,637,3762
baseline,all classes,US,2027,5711,7074,9093
baseline,all classes,US,2028,5543,7605,10728
baseline,all classes,US,2029,6292,9266,13971
baseline,all classes,US,2030,7404,11425,17624
baseline,all classes,US,2031,8495,13490,20965
baseline,all classes,US,2032,9269,15139,23822
baseline,all classes,US,2033,9958,16650,26291
baseline,all classes,US,2034,10572,17894,28317
baseline,all classes,US,2035,11067,18840,30081
baseline,all classes,US,2036,11369,19680,31632
baseline,all classes,Europe,2027,6176,7739,9864
baseline,all classes,Europe,2028,6001,8181,11187
baseline,all classes,Europe,2029,6467,9638,14425
baseline,all classes,Europe,2030,7349,11611,18295
baseline,all classes,Europe,2031,8304,13799,22401
baseline,all classes,Europe,2032,9297,15878,26255
baseline,all classes,Europe,2033,9979,17752,29452
baseline,all classes,Europe,2034,10697,19568,32649
baseline,all classes,Europe,2035,11529,21106,35304
baseline,all classes,Europe,2036,12159,22223,37506
baseline,all classes,rest of world,2027,1597,2367,3613
baseline,all classes,rest of world,2028,1658,2597,4154
baseline,all classes,rest of world,2029,1831,3065,5280
baseline,all classes,rest of world,2030,2052,3642,6790
baseline,all classes,rest of world,2031,2334,4283,8190
baseline,all classes,rest of world,2032,2588,4871,9657
baseline,all classes,rest of world,2033,2821,5387,10863
baseline,all classes,rest of world,2034,3006,5860,11984
baseline,all classes,rest of world,2035,3178,6279,12881
baseline,all classes,rest of world,2036,3346,6645,13698
baseline,all classes,worldwide,2027,14653,17536,20759
baseline,all classes,worldwide,2028,14543,18569,24249
baseline,all classes,worldwide,2029,16106,21933,31891
baseline,all classes,worldwide,2030,18330,26791,41008
baseline,all classes,worldwide,2031,20844,31763,49951
baseline,all classes,worldwide,2032,22869,36071,57565
baseline,all classes,worldwide,2033,24904,40135,64780
baseline,all classes,worldwide,2034,26089,43455,70955
baseline,all classes,worldwide,2035,27509,46671,75589
baseline,all classes,worldwide,2036,28940,48927,79779
compressed access,CAR-T,US,2027,4162,5421,7511
compressed access,CAR-T,US,2028,4362,6256,9289
compressed access,CAR-T,US,2029,4702,7317,11773
compressed access,CAR-T,US,2030,5129,8639,14576
compressed access,CAR-T,US,2031,5632,10215,17406
compressed access,CAR-T,US,2032,6215,11712,20234
compressed access,CAR-T,US,2033,6798,12984,22579
compressed access,CAR-T,US,2034,7311,14117,24620
compressed access,CAR-T,US,2035,7716,15072,26139
compressed access,CAR-T,US,2036,8029,15986,27558
compressed access,CAR-T,Europe,2027,5164,6835,9046
compressed access,CAR-T,Europe,2028,5473,8033,11717
compressed access,CAR-T,Europe,2029,5961,9648,15974
compressed access,CAR-T,Europe,2030,6769,11708,20014
compressed access,CAR-T,Europe,2031,7612,14038,24213
compressed access,CAR-T,Europe,2032,8447,16293,28472
compressed access,CAR-T,Europe,2033,9284,18151,32338
compressed access,CAR-T,Europe,2034,9908,19870,35301
compressed access,CAR-T,Europe,2035,10532,21364,37758
compressed access,CAR-T,Europe,2036,11181,22728,40035
compressed access,CAR-T,rest of world,2027,1447,2219,3446
compressed access,CAR-T,rest of world,2028,1573,2561,4259
compressed access,CAR-T,rest of world,2029,1736,3053,5595
compressed access,CAR-T,rest of world,2030,1956,3644,7111
compressed access,CAR-T,rest of world,2031,2194,4254,8761
compressed access,CAR-T,rest of world,2032,2406,4863,10208
compressed access,CAR-T,rest of world,2033,2611,5450,11530
compressed access,CAR-T,rest of world,2034,2819,5954,12598
compressed access,CAR-T,rest of world,2035,2958,6383,13593
compressed access,CAR-T,rest of world,2036,3146,6749,14347
compressed access,CAR-T,worldwide,2027,11867,14731,18261
compressed access,CAR-T,worldwide,2028,12685,16865,23781
compressed access,CAR-T,worldwide,2029,13808,20033,32136
compressed access,CAR-T,worldwide,2030,15218,23936,40690
compressed access,CAR-T,worldwide,2031,16883,28565,49057
compressed access,CAR-T,worldwide,2032,18593,32750,57114
compressed access,CAR-T,worldwide,2033,20259,36513,64889
compressed access,CAR-T,worldwide,2034,21626,39996,70930
compressed access,CAR-T,worldwide,2035,22824,43114,75623
compressed access,CAR-T,worldwide,2036,23934,45604,80018
compressed access,AAV,US,2027,786,933,1149
compressed access,AAV,US,2028,459,674,1076
compressed access,AAV,US,2029,586,949,1611
compressed access,AAV,US,2030,747,1265,2198
compressed access,AAV,US,2031,886,1519,2496
compressed access,AAV,US,2032,956,1617,2599
compressed access,AAV,US,2033,959,1620,2579
compressed access,AAV,US,2034,947,1568,2544
compressed access,AAV,US,2035,917,1533,2475
compressed access,AAV,US,2036,890,1495,2419
compressed access,AAV,Europe,2027,500,690,960
compressed access,AAV,Europe,2028,315,509,831
compressed access,AAV,Europe,2029,415,705,1247
compressed access,AAV,Europe,2030,525,942,1684
compressed access,AAV,Europe,2031,628,1122,1921
compressed access,AAV,Europe,2032,689,1197,1988
compressed access,AAV,Europe,2033,695,1195,1968
compressed access,AAV,Europe,2034,679,1174,1931
compressed access,AAV,Europe,2035,659,1142,1850
compressed access,AAV,Europe,2036,651,1113,1792
compressed access,AAV,rest of world,2027,88,121,189
compressed access,AAV,rest of world,2028,55,89,154
compressed access,AAV,rest of world,2029,72,125,229
compressed access,AAV,rest of world,2030,93,166,306
compressed access,AAV,rest of world,2031,111,196,358
compressed access,AAV,rest of world,2032,120,210,369
compressed access,AAV,rest of world,2033,121,210,369
compressed access,AAV,rest of world,2034,117,205,357
compressed access,AAV,rest of world,2035,115,199,347
compressed access,AAV,rest of world,2036,112,195,338
compressed access,AAV,worldwide,2027,1490,1784,2163
compressed access,AAV,worldwide,2028,883,1287,1990
compressed access,AAV,worldwide,2029,1124,1795,3021
compressed access,AAV,worldwide,2030,1436,2398,4116
compressed access,AAV,worldwide,2031,1705,2874,4656
compressed access,AAV,worldwide,2032,1842,3053,4801
compressed access,AAV,worldwide,2033,1832,3061,4791
compressed access,AAV,worldwide,2034,1813,2987,4678
compressed access,AAV,worldwide,2035,1759,2928,4551
compressed access,AAV,worldwide,2036,1724,2851,4426
compressed access,lentiviral ex vivo,US,2027,68,79,207
compressed access,lentiviral ex vivo,US,2028,29,62,388
compressed access,lentiviral ex vivo,US,2029,13,110,662
compressed access,lentiviral ex vivo,US,2030,9,175,963
compressed access,lentiviral ex vivo,US,2031,16,236,1121
compressed access,lentiviral ex vivo,US,2032,22,262,1173
compressed access,lentiviral ex vivo,US,2033,22,265,1149
compressed access,lentiviral ex vivo,US,2034,20,250,1117
compressed access,lentiviral ex vivo,US,2035,20,240,1082
compressed access,lentiviral ex vivo,US,2036,17,239,995
compressed access,lentiviral ex vivo,Europe,2027,43,64,158
compressed access,lentiviral ex vivo,Europe,2028,19,46,291
compressed access,lentiviral ex vivo,Europe,2029,10,84,490
compressed access,lentiviral ex vivo,Europe,2030,7,133,714
compressed access,lentiviral ex vivo,Europe,2031,12,171,820
compressed access,lentiviral ex vivo,Europe,2032,16,191,866
compressed access,lentiviral ex vivo,Europe,2033,15,193,857
compressed access,lentiviral ex vivo,Europe,2034,15,188,831
compressed access,lentiviral ex vivo,Europe,2035,14,178,794
compressed access,lentiviral ex vivo,Europe,2036,13,177,754
compressed access,lentiviral ex vivo,rest of world,2027,7,11,30
compressed access,lentiviral ex vivo,rest of world,2028,3,8,52
compressed access,lentiviral ex vivo,rest of world,2029,2,14,90
compressed access,lentiviral ex vivo,rest of world,2030,1,24,130
compressed access,lentiviral ex vivo,rest of world,2031,2,30,149
compressed access,lentiviral ex vivo,rest of world,2032,3,34,155
compressed access,lentiviral ex vivo,rest of world,2033,3,34,154
compressed access,lentiviral ex vivo,rest of world,2034,3,34,150
compressed access,lentiviral ex vivo,rest of world,2035,3,33,143
compressed access,lentiviral ex vivo,rest of world,2036,2,32,135
compressed access,lentiviral ex vivo,worldwide,2027,127,161,390
compressed access,lentiviral ex vivo,worldwide,2028,52,124,730
compressed access,lentiviral ex vivo,worldwide,2029,27,222,1234
compressed access,lentiviral ex vivo,worldwide,2030,18,346,1783
compressed access,lentiviral ex vivo,worldwide,2031,34,447,2078
compressed access,lentiviral ex vivo,worldwide,2032,43,500,2194
compressed access,lentiviral ex vivo,worldwide,2033,44,499,2186
compressed access,lentiviral ex vivo,worldwide,2034,43,485,2099
compressed access,lentiviral ex vivo,worldwide,2035,39,460,2029
compressed access,lentiviral ex vivo,worldwide,2036,37,451,1857
compressed access,CRISPR ex vivo,US,2027,460,534,663
compressed access,CRISPR ex vivo,US,2028,202,246,723
compressed access,CRISPR ex vivo,US,2029,57,121,977
compressed access,CRISPR ex vivo,US,2030,11,158,1382
compressed access,CRISPR ex vivo,US,2031,4,238,1779
compressed access,CRISPR ex vivo,US,2032,8,294,1957
compressed access,CRISPR ex vivo,US,2033,14,338,2062
compressed access,CRISPR ex vivo,US,2034,16,357,2095
compressed access,CRISPR ex vivo,US,2035,19,359,2093
compressed access,CRISPR ex vivo,US,2036,16,356,2031
compressed access,CRISPR ex vivo,Europe,2027,291,401,539
compressed access,CRISPR ex vivo,Europe,2028,131,202,548
compressed access,CRISPR ex vivo,Europe,2029,37,93,723
compressed access,CRISPR ex vivo,Europe,2030,8,117,1037
compressed access,CRISPR ex vivo,Europe,2031,3,175,1308
compressed access,CRISPR ex vivo,Europe,2032,6,222,1445
compressed access,CRISPR ex vivo,Europe,2033,11,251,1503
compressed access,CRISPR ex vivo,Europe,2034,11,260,1545
compressed access,CRISPR ex vivo,Europe,2035,13,261,1526
compressed access,CRISPR ex vivo,Europe,2036,12,260,1464
compressed access,CRISPR ex vivo,rest of world,2027,51,68,113
compressed access,CRISPR ex vivo,rest of world,2028,23,35,98
compressed access,CRISPR ex vivo,rest of world,2029,6,17,131
compressed access,CRISPR ex vivo,rest of world,2030,1,20,188
compressed access,CRISPR ex vivo,rest of world,2031,1,30,233
compressed access,CRISPR ex vivo,rest of world,2032,1,39,263
compressed access,CRISPR ex vivo,rest of world,2033,2,44,279
compressed access,CRISPR ex vivo,rest of world,2034,2,46,295
compressed access,CRISPR ex vivo,rest of world,2035,2,46,284
compressed access,CRISPR ex vivo,rest of world,2036,2,45,275
compressed access,CRISPR ex vivo,worldwide,2027,859,981,1260
compressed access,CRISPR ex vivo,worldwide,2028,386,490,1387
compressed access,CRISPR ex vivo,worldwide,2029,101,242,1816
compressed access,CRISPR ex vivo,worldwide,2030,22,306,2580
compressed access,CRISPR ex vivo,worldwide,2031,9,453,3319
compressed access,CRISPR ex vivo,worldwide,2032,18,569,3620
compressed access,CRISPR ex vivo,worldwide,2033,30,645,3800
compressed access,CRISPR ex vivo,worldwide,2034,31,684,3944
compressed access,CRISPR ex vivo,worldwide,2035,36,688,3877
compressed access,CRISPR ex vivo,worldwide,2036,36,678,3793
compressed access,in vivo editing and LNP,US,2027,0,0,21
compressed access,in vivo editing and LNP,US,2028,0,0,206
compressed access,in vivo editing and LNP,US,2029,0,5,531
compressed access,in vivo editing and LNP,US,2030,0,43,884
compressed access,in vivo editing and LNP,US,2031,0,107,1289
compressed access,in vivo editing and LNP,US,2032,0,178,1572
compressed access,in vivo editing and LNP,US,2033,2,234,1835
compressed access,in vivo editing and LNP,US,2034,5,290,2001
compressed access,in vivo editing and LNP,US,2035,9,333,2109
compressed access,in vivo editing and LNP,US,2036,12,377,2222
compressed access,in vivo editing and LNP,Europe,2027,0,0,11
compressed access,in vivo editing and LNP,Europe,2028,0,0,151
compressed access,in vivo editing and LNP,Europe,2029,0,3,384
compressed access,in vivo editing and LNP,Europe,2030,0,31,664
compressed access,in vivo editing and LNP,Europe,2031,0,77,950
compressed access,in vivo editing and LNP,Europe,2032,0,130,1184
compressed access,in vivo editing and LNP,Europe,2033,1,176,1334
compressed access,in vivo editing and LNP,Europe,2034,4,214,1394
compressed access,in vivo editing and LNP,Europe,2035,6,247,1513
compressed access,in vivo editing and LNP,Europe,2036,9,285,1607
compressed access,in vivo editing and LNP,rest of world,2027,0,0,2
compressed access,in vivo editing and LNP,rest of world,2028,0,0,27
compressed access,in vivo editing and LNP,rest of world,2029,0,1,69
compressed access,in vivo editing and LNP,rest of world,2030,0,6,119
compressed access,in vivo editing and LNP,rest of world,2031,0,14,175
compressed access,in vivo editing and LNP,rest of world,2032,0,23,216
compressed access,in vivo editing and LNP,rest of world,2033,0,31,243
compressed access,in vivo editing and LNP,rest of world,2034,1,39,262
compressed access,in vivo editing and LNP,rest of world,2035,1,44,276
compressed access,in vivo editing and LNP,rest of world,2036,2,50,296
compressed access,in vivo editing and LNP,worldwide,2027,0,0,47
compressed access,in vivo editing and LNP,worldwide,2028,0,0,400
compressed access,in vivo editing and LNP,worldwide,2029,0,13,1001
compressed access,in vivo editing and LNP,worldwide,2030,0,91,1689
compressed access,in vivo editing and LNP,worldwide,2031,0,212,2389
compressed access,in vivo editing and LNP,worldwide,2032,0,339,3004
compressed access,in vivo editing and LNP,worldwide,2033,4,451,3442
compressed access,in vivo editing and LNP,worldwide,2034,11,567,3696
compressed access,in vivo editing and LNP,worldwide,2035,21,650,3845
compressed access,in vivo editing and LNP,worldwide,2036,25,725,4098
compressed access,all classes,US,2027,5738,7123,9180
compressed access,all classes,US,2028,5554,7589,10704
compressed access,all classes,US,2029,6302,9153,13862
compressed access,all classes,US,2030,7373,11302,17523
compressed access,all classes,US,2031,8410,13348,20988
compressed access,all classes,US,2032,9266,15178,24115
compressed access,all classes,US,2033,10008,16623,26643
compressed access,all classes,US,2034,10577,17797,28498
compressed access,all classes,US,2035,11058,18711,29932
compressed access,all classes,US,2036,11300,19618,31550
compressed access,all classes,Europe,2027,6354,8097,10347
compressed access,all classes,Europe,2028,6431,9052,12759
compressed access,all classes,Europe,2029,7266,11034,17381
compressed access,all classes,Europe,2030,8539,13674,22096
compressed access,all classes,Europe,2031,9847,16468,26768
compressed access,all classes,Europe,2032,10934,18836,31277
compressed access,all classes,Europe,2033,11761,20784,35178
compressed access,all classes,Europe,2034,12475,22643,38115
compressed access,all classes,Europe,2035,13212,24027,40722
compressed access,all classes,Europe,2036,13810,25379,42583
compressed access,all classes,rest of world,2027,1627,2417,3749
compressed access,all classes,rest of world,2028,1722,2738,4479
compressed access,all classes,rest of world,2029,1940,3297,5890
compressed access,all classes,rest of world,2030,2236,3977,7543
compressed access,all classes,rest of world,2031,2514,4698,9273
compressed access,all classes,rest of world,2032,2777,5355,10781
compressed access,all classes,rest of world,2033,3011,5919,12074
compressed access,all classes,rest of world,2034,3201,6410,13243
compressed access,all classes,rest of world,2035,3372,6841,14221
compressed access,all classes,rest of world,2036,3536,7193,14944
compressed access,all classes,worldwide,2027,14974,17912,21465
compressed access,all classes,worldwide,2028,15076,19405,26457
compressed access,all classes,worldwide,2029,17051,23505,35645
compressed access,all classes,worldwide,2030,19599,28814,46004
compressed access,all classes,worldwide,2031,22448,34577,55525
compressed access,all classes,worldwide,2032,24606,39437,64600
compressed access,all classes,worldwide,2033,26461,43399,72032
compressed access,all classes,worldwide,2034,28012,47008,78016
compressed access,all classes,worldwide,2035,29371,49700,82944
compressed access,all classes,worldwide,2036,30478,52532,86916
capacity-constrained,CAR-T,US,2027,4150,4991,6131
capacity-constrained,CAR-T,US,2028,4343,5717,7051
capacity-constrained,CAR-T,US,2029,4694,6690,8389
capacity-constrained,CAR-T,US,2030,4940,7828,9641
capacity-constrained,CAR-T,US,2031,5004,8924,11084
capacity-constrained,CAR-T,US,2032,5068,9807,13005
capacity-constrained,CAR-T,US,2033,5134,10778,15024
capacity-constrained,CAR-T,US,2034,5200,11845,17527
capacity-constrained,CAR-T,US,2035,5267,13017,19894
capacity-constrained,CAR-T,US,2036,5335,14306,22140
capacity-constrained,CAR-T,Europe,2027,5087,6615,8569
capacity-constrained,CAR-T,Europe,2028,5259,7400,10322
capacity-constrained,CAR-T,Europe,2029,5574,8258,12897
capacity-constrained,CAR-T,Europe,2030,6044,9752,16249
capacity-constrained,CAR-T,Europe,2031,6634,11420,19400
capacity-constrained,CAR-T,Europe,2032,7260,13071,22099
capacity-constrained,CAR-T,Europe,2033,7865,13743,25152
capacity-constrained,CAR-T,Europe,2034,8410,15299,27757
capacity-constrained,CAR-T,Europe,2035,8878,16613,29973
capacity-constrained,CAR-T,Europe,2036,8993,17586,32028
capacity-constrained,CAR-T,rest of world,2027,1387,2142,3123
capacity-constrained,CAR-T,rest of world,2028,1507,2364,3604
capacity-constrained,CAR-T,rest of world,2029,1653,2679,4416
capacity-constrained,CAR-T,rest of world,2030,1842,3076,5328
capacity-constrained,CAR-T,rest of world,2031,2049,3322,6369
capacity-constrained,CAR-T,rest of world,2032,2268,3747,7530
capacity-constrained,CAR-T,rest of world,2033,2467,3997,8626
capacity-constrained,CAR-T,rest of world,2034,2655,4373,9758
capacity-constrained,CAR-T,rest of world,2035,2783,4769,10811
capacity-constrained,CAR-T,rest of world,2036,2937,5081,11697
capacity-constrained,CAR-T,worldwide,2027,11591,14047,16738
capacity-constrained,CAR-T,worldwide,2028,12332,15602,19821
capacity-constrained,CAR-T,worldwide,2029,13213,17509,24584
capacity-constrained,CAR-T,worldwide,2030,14283,20362,30267
capacity-constrained,CAR-T,worldwide,2031,15464,23484,35169
capacity-constrained,CAR-T,worldwide,2032,16656,25961,41090
