cls,sponsor,construct_key,n_trials,ncts,first_start,phase3_start,highest_phase_ever,phase_active_2026,phase_by_2019,first_start_by_2019,phase3_start_by_2019,has_us_or_eu_site,approved_product,approval_date
AAV,"Belief BioMed (Beijing) Co., Ltd",a101,1,NCT07198555,2025.79,,1,1.0,,,,False,,
AAV,"Belief BioMed (Beijing) Co., Ltd",d101,1,NCT07058662,2025.54,,2,2.0,,,,False,,
AAV,BioMarin Pharmaceutical,approved:roctavian,3,NCT02576795|NCT03520712|NCT04684940,2015.71,,2,,2.0,2015.71,,True,roctavian,2022-08-24
AAV,BioMarin Pharmaceutical,bmn-307,1,NCT04480567,2020.71,,2,2.0,,,,True,,
AAV,BioMarin Pharmaceutical,bmn-331,1,NCT05121376,2022.12,,2,2.0,,,,True,,
AAV,Biocad,bcd-250,1,NCT05037188,2021.62,,2,,,,,False,,
AAV,Biogen,biib112,1,NCT03116113,2017.21,,2,,2.0,2017.21,,True,,
AAV,Bionic Sight LLC,bs01,1,NCT04278131,2020.12,,2,2.0,,,,True,,
AAV,BlackfinBio Ltd,bfb-101,1,NCT06948019,2025.62,,2,2.0,,,,True,,
AAV,CSL Behring,approved:hemgenix,2,NCT03569891|NCT06003387,2018.46,2018.46,3,3.0,3.0,2018.46,2018.46,True,hemgenix,2022-11-22
AAV,Celladon Corporation,aav1,2,NCT00454818|NCT02346422,2007.21,,2,,2.0,2007.21,,True,,
AAV,Celosia Therapeutics Pty Ltd,aav9,1,NCT07401121,2026.04,,1,1.0,,,,False,,
AAV,"Chengdu Origen Biotechnology Co., Ltd.",kh631,1,NCT05672121,2023.12,,2,2.0,,,,False,,
AAV,"Chengdu Origen Biotechnology Co., Ltd.",kh658,1,NCT06458595,2024.46,,2,2.0,,,,False,,
AAV,"Elisigen, Inc.",ng101,1,NCT05984927,2023.71,,2,2.0,,,,True,,
AAV,Elpida Therapeutics SPC,approved:itvisma,1,NCT07447557,2026.54,,2,2.0,,,,True,itvisma,2025-11-24
AAV,Elpida Therapeutics SPC,unnamed,2,NCT05518188|NCT06692712,2023.12,2026.29,3,3.0,,,,True,,
AAV,Encoded Therapeutics,etx101,2,NCT06112275|NCT06283212,2024.12,,2,2.0,,,,True,,
AAV,"Forge Biologics, Inc",fbx-101,2,NCT04693598|NCT05739643,2021.88,,2,2.0,,,,True,,
AAV,Genascence Corporation,gnsc-001,1,NCT05835895,2023.46,,1,1.0,,,,True,,
AAV,GeneCradle Inc,approved:itvisma,1,NCT06971094,2025.38,2025.38,3,3.0,,,,False,itvisma,2025-11-24
AAV,GeneCradle Inc,gc301,2,NCT05793307|NCT06391736,2023.46,,2,2.0,,,,False,,
AAV,GeneCradle Inc,gc310,1,NCT07173933,2025.79,,2,2.0,,,,False,,
AAV,"Genzyme, a Sanofi Company",approved:kebilidi,1,NCT00229736,2004.88,,1,,1.0,2004.88,,True,kebilidi,2022-07-18
AAV,"Grace Science, LLC",gs-100,1,NCT06199531,2024.12,2024.12,3,3.0,,,,True,,
AAV,"Gritgen Therapeutics Co., Ltd.",gs1191,2,NCT06833983|NCT07548411,2023.54,2025.21,3,3.0,,,,False,,
AAV,Guangzhou Jiayin Biotech Ltd,exg001,1,NCT06888661,2025.21,,1,1.0,,,,False,,
AAV,Guangzhou Jiayin Biotech Ltd,exg202,1,NCT07178249,2025.79,,2,2.0,,,,False,,
AAV,"HuidaGene Therapeutics Co., Ltd.",hg005,1,NCT07063251,2025.62,,1,1.0,,,,False,,
AAV,ICM Biotech Australia Pty Ltd.,icm-203,1,NCT04875754,2022.21,,2,2.0,,,,False,,
AAV,ICM Co. Ltd.,icm-203,1,NCT05454566,2026.88,,2,2.0,,,,False,,
AAV,Innopeutics Corporation,ips101a,1,NCT07371338,2026.38,,1,1.0,,,,False,,
AAV,Janssen Pharmaceutical K.K.,aav5-hrkp.rpgr,1,NCT05926583,2023.71,2023.71,3,3.0,,,,False,,
AAV,"Janssen Research & Development, LLC",aav5-hrkp.rpgr,1,NCT06646289,2024.79,,2,2.0,,,,True,,
AAV,"Kriya Therapeutics, Inc.",vv-14303,1,NCT07732400,2026.54,,2,2.0,,,,True,,
AAV,LYSOGENE,saf-301,1,NCT02053064,2013.38,,2,,2.0,2013.38,,True,,
AAV,Lexeo Therapeutics,lx2006,1,NCT05445323,2022.62,,2,2.0,,,,True,,
AAV,Life Biosciences Inc.,er-100,1,NCT07290244,2026.21,,1,1.0,,,,True,,
AAV,Mahzi Therapeutics,mz-1866,1,NCT07135050,2025.96,,2,2.0,,,,True,,
AAV,Medley Therapeutics,yap101,1,NCT06831825,2025.29,,1,1.0,,,,True,,
AAV,MeiraGTx UK II Ltd,aav5-rpgr,1,NCT03252847,2017.54,,2,,2.0,2017.54,,True,,
AAV,MeiraGTx UK II Ltd,rpe65,1,NCT02781480,2016.29,,2,,2.0,2016.29,,True,,
AAV,MeiraGTx UK II Ltd,target:cnga3,1,NCT03758404,2019.62,,2,,2.0,2019.62,,True,,
AAV,MeiraGTx UK II Ltd,unnamed,1,NCT03001310,2017.04,,2,,2.0,2017.04,,True,,
AAV,"MeiraGTx, LLC",aav2haqp1,1,NCT02446249,2015.38,,1,,1.0,2015.38,,True,,
AAV,"MeiraGTx, LLC",target:gad,1,NCT05603312,2022.79,,2,,,,,True,,
AAV,Myrtelle Inc.,raav-olig001-aspa,1,NCT04833907,2021.29,,2,2.0,,,,True,,
AAV,Nanoscope Therapeutics Inc.,mco-010,1,NCT04945772,2021.54,,2,,,,,True,,
AAV,Nanoscope Therapeutics Inc.,unnamed,1,NCT04919473,2019.79,,2,,2.0,2019.79,,False,,
AAV,Neurogene Inc.,ngn-101,1,NCT05228145,2022.04,,2,2.0,,,,True,,
AAV,Neurogene Inc.,ngn-401,1,NCT05898620,2023.46,2023.46,3,3.0,,,,True,,
AAV,"Neurologix, Inc.",target:gad,2,NCT00195143|NCT00643890,2003.62,,2,,2.0,2003.62,,True,,
AAV,Novartis Gene Therapies,approved:zolgensma,2,NCT02122952|NCT03381729,2014.38,,1,,1.0,2014.38,,True,zolgensma,2019-05-24
AAV,Ocugen,ocu410,1,NCT06018558,2023.12,,2,2.0,,,,True,,
AAV,"Opus Genetics, Inc",aav8.hlca5,1,NCT05616793,2023.46,,2,2.0,,,,True,,
AAV,"Opus Genetics, Inc",rdh12,1,NCT07681778,2026.71,,2,2.0,,,,True,,
AAV,Pfizer,aav2,1,NCT04370054,2020.62,2020.62,3,3.0,,,,True,,
AAV,Pfizer,approved:beqvez,3,NCT02484092|NCT03861273|NCT05568719,2015.88,2019.54,3,3.0,3.0,2015.88,2019.54,True,beqvez,2024-04-25
AAV,Pfizer,unnamed,2,NCT03362502|NCT03587116,2018.04,2018.54,3,,3.0,2018.04,2018.54,True,,
AAV,"Precision BioSciences, Inc.",target:dmd,1,NCT07429240,2026.29,,2,2.0,,,,True,,
AAV,Prevail Therapeutics,ly3884961,2,NCT04127578|NCT04411654,2020.04,,2,2.0,,,,True,,
AAV,Prevail Therapeutics,ly3884963,1,NCT04408625,2020.88,,2,2.0,,,,True,,
AAV,REGENXBIO Inc.,rgx-202,1,NCT05693142,2023.04,2023.04,3,3.0,,,,True,,
AAV,REGENXBIO Inc.,rgx-314,1,NCT03066258,2017.21,,2,,2.0,2017.21,,True,,
AAV,REGENXBIO Inc.,unnamed,1,NCT02651675,2016.21,,2,,2.0,2016.21,,True,,
AAV,RJK Biopharma Ltd,approved:itvisma,1,NCT06454682,2023.71,,1,1.0,,,,False,itvisma,2025-11-24
AAV,Regeneron Pharmaceuticals,approved:otarmeni,1,NCT05788536,2023.46,,2,2.0,,,,True,otarmeni,2026-04-23
AAV,Rocket Pharmaceuticals Inc.,a501,2,NCT03882437|NCT06092034,2019.29,,2,2.0,1.0,2019.29,,True,,
AAV,Rocket Pharmaceuticals Inc.,a701,1,NCT07137338,2026.46,,1,1.0,,,,True,,
AAV,Sangamo Therapeutics,cere-110,2,NCT00087789|NCT00876863,2004.46,,2,,2.0,2004.46,,True,,
AAV,Sangamo Therapeutics,cere-120,3,NCT00252850|NCT00400634|NCT00985517,2005.46,,2,,2.0,2005.46,,True,,
AAV,Sangamo Therapeutics,st-920,1,NCT04046224,2019.54,,2,,2.0,2019.54,,True,,
AAV,Sanofi,sar444836,1,NCT05972629,2023.62,,2,2.0,,,,True,,
AAV,Sardocor Corp.,srd-001,1,NCT06224660,2024.79,,1,1.0,,,,True,,
AAV,"Sarepta Therapeutics, Inc.",approved:elevidys,2,NCT02710500|NCT06241950,2016.21,,1,,1.0,2016.21,,True,elevidys,2023-06-22
AAV,"Sarepta Therapeutics, Inc.",srp-9003,1,NCT03652259,2018.79,,2,,2.0,2018.79,,True,,
AAV,"Sarepta Therapeutics, Inc.",srp-9004,1,NCT01976091,2015.12,,2,,2.0,2015.12,,False,,
AAV,"Selecta Biosciences, Inc.",sel-302,1,NCT05778877,2022.96,,2,,,,,True,,
AAV,"Shanghai Vitalgen BioPharma Co., Ltd.",r01,2,NCT05694598|NCT07586306,2023.21,,2,2.0,,,,False,,
AAV,"Shanghai Vitalgen BioPharma Co., Ltd.",r02b,1,NCT06217861,2024.29,,1,1.0,,,,False,,
AAV,"Shanghai Vitalgen BioPharma Co., Ltd.",r04,1,NCT05441553,2022.54,,2,,,,,False,,
AAV,"Shanghai Vitalgen BioPharma Co., Ltd.",r09b,1,NCT06432140,2024.54,2024.54,3,3.0,,,,False,,
AAV,"Shanghai Xinzhi BioMed Co., Ltd.",h803,1,NCT06111638,2024.04,2024.04,3,3.0,,,,False,,
AAV,"Shanghai Xinzhi BioMed Co., Ltd.",h901,1,NCT05203679,2021.96,2021.96,3,3.0,,,,False,,
AAV,"Shanghai Xinzhi BioMed Co., Ltd.",p002,1,NCT07195825,2025.96,,1,1.0,,,,False,,
AAV,Solid Biosciences Inc.,sgt-003,1,NCT07160634,2025.79,2025.79,3,3.0,,,,True,,
AAV,Solid Biosciences Inc.,sgt-212,1,NCT07180355,2025.79,,1,1.0,,,,True,,
AAV,Solid Biosciences Inc.,sgt-501,1,NCT07148089,2026.12,,1,1.0,,,,True,,
AAV,"Spark Therapeutics, Inc.",aav2-hchm,1,NCT02341807,2015.04,,2,,2.0,2015.04,,True,,
AAV,"Spark Therapeutics, Inc.",aav8-hfix19,1,NCT01620801,2012.79,,1,,1.0,2012.79,,True,,
AAV,"Spark Therapeutics, Inc.",approved:luxturna,2,NCT00516477|NCT00999609,2007.71,2012.79,3,3.0,3.0,2007.71,2012.79,True,luxturna,2017-12-19
AAV,"Spark Therapeutics, Inc.",spk-8011,1,NCT03003533,2017.04,,2,,2.0,2017.04,,True,,
AAV,"Spark Therapeutics, Inc.",spk-8016,1,NCT03734588,2019.04,,2,,2.0,2019.04,,True,,
AAV,"SwanBio Therapeutics, Inc.",sbt101,1,NCT05394064,2022.88,,2,,,,,True,,
AAV,"Tacere Therapeutics, Inc.",tt-034,1,NCT01899092,2014.04,,2,,2.0,2014.04,,True,,
AAV,Targeted Genetics Corporation,tgaac94,1,NCT00126724,2005.62,,2,,2.0,2005.62,,True,,
AAV,Targeted Genetics Corporation,unnamed,1,NCT00073463,2003.46,2003.46,3,,3.0,2003.46,2003.46,True,,
AAV,"Taysha Gene Therapies, Inc.",tsha-102,2,NCT05606614|NCT07480564,2023.21,2023.21,3,3.0,,,,True,,
AAV,Tenaya Therapeutics,tn-201,1,NCT05836259,2023.62,,2,2.0,,,,True,,
AAV,Tenaya Therapeutics,tn-401,1,NCT06228924,2024.21,,1,1.0,,,,True,,
AAV,"Tern Therapeutics, LLC",ttx-381,1,NCT05791864,2023.38,,2,2.0,,,,True,,
AAV,Trogenix ltd,tgx-007,1,NCT07346144,2026.29,,2,2.0,,,,True,,
AAV,Ultragenyx Pharmaceutical Inc,approved:genglycos,2,NCT03517085|NCT05139316,2018.38,2021.88,3,,2.0,2018.38,,True,genglycos,2026-08-19
AAV,Ultragenyx Pharmaceutical Inc,dtx101,1,NCT02618915,2015.96,,2,,2.0,2015.96,,True,,
AAV,Ultragenyx Pharmaceutical Inc,dtx301,1,NCT05345171,2022.79,2022.79,3,3.0,,,,True,,
AAV,UniQure Biopharma B.V.,aav9-hsyn1-migrik2,1,NCT06063850,2024.46,,2,2.0,,,,True,,
AAV,UniQure Biopharma B.V.,approved:itvisma,1,NCT06100276,2024.62,,2,2.0,,,,True,itvisma,2025-11-24
AAV,UniQure Biopharma B.V.,raav5-mihtt,2,NCT04120493|NCT05243017,2019.71,,2,2.0,2.0,2019.71,,True,,
AAV,Unlimited Biotechnology LLC,aav9-follistatin,1,NCT07443826,2026.46,,2,2.0,,,,False,,
AAV,"VegaVect, Inc.",unnamed,1,NCT02317887,2015.12,,2,,2.0,2015.12,,True,,
AAV,VeonGen Therapeutics GmbH,vg901,1,NCT06291935,2023.71,,1,1.0,,,,True,,
AAV,Voyager Therapeutics,vy1706,1,NCT07764146,2026.71,,1,1.0,,,,True,,
AAV,Zhongmou Therapeutics,zm-01,1,NCT06066008,2022.71,,1,,,,,False,,
AAV,eyeDNA Therapeutics,aav2,1,NCT03328130,2017.88,,2,,2.0,2017.88,,True,,
AAV,"iECURE, Inc.",ecur-506,1,NCT06255782,2024.29,2024.29,3,3.0,,,,True,,
CAR-T,A2 Biotherapeutics Inc.,unnamed,3,NCT05736731|NCT06051695|NCT06682793,2023.29,,2,2.0,,,,True,,
CAR-T,AGC Biologics S.p.A.,car44,1,NCT04097301,2019.62,,2,,2.0,2019.62,,True,,
CAR-T,"ARCE Therapeutics, Inc.",ard103,1,NCT06680752,2025.38,,2,2.0,,,,True,,
CAR-T,AbClon,at101,1,NCT05338931,2022.21,,2,2.0,,,,False,,
CAR-T,AbbVie,abbv-101,1,NCT05753501,2023.46,,1,1.0,,,,True,,
CAR-T,AbelZeta Inc.,car168,2,NCT06935474|NCT07729826,2026.54,,2,2.0,,,,True,,
CAR-T,Adicet Therapeutics,adi-001,1,NCT04735471,2021.21,,1,,,,,True,,
CAR-T,Adicet Therapeutics,adi-212,1,NCT07793435,2026.71,,2,2.0,,,,True,,
CAR-T,Adicet Therapeutics,adi-270,1,NCT06480565,2024.96,,2,2.0,,,,True,,
CAR-T,Advesya SAS,approved:casgevy,1,NCT06281847,2025.96,,2,2.0,,,,True,casgevy,2023-12-08
CAR-T,"Aeon Therapeutics (Shanghai) Co., Ltd.",unnamed,1,NCT03349255,2017.79,,1,,1.0,2017.79,,False,,
CAR-T,"AffyImmune Therapeutics, Inc.",aic100,1,NCT04420754,2020.71,,1,1.0,,,,True,,
CAR-T,"Alexion Pharmaceuticals, Inc.",azd0120,1,NCT07081646,2025.62,,2,2.0,,,,True,,
CAR-T,"Allife Medical Science and Technology Co., Ltd.",target:bcma,1,NCT03559764,2018.46,,1,,1.0,2018.46,,False,,
CAR-T,Allogene Therapeutics,allo-316,1,NCT04696731,2021.12,,1,1.0,,,,True,,
CAR-T,Allogene Therapeutics,allo-329,1,NCT07085104,2025.88,,1,1.0,,,,True,,
CAR-T,Allogene Therapeutics,allo-501,1,NCT03939026,2019.38,,1,,1.0,2019.38,,True,,
CAR-T,Allogene Therapeutics,allo-501a,1,NCT04416984,2020.38,,2,2.0,,,,True,,
CAR-T,Allogene Therapeutics,allo-605,1,NCT05000450,2021.46,,2,,,,,True,,
CAR-T,Allogene Therapeutics,allo-647,1,NCT05714345,2023.88,,2,,,,,True,,
CAR-T,Allogene Therapeutics,allo-715,1,NCT04093596,2019.71,,1,,1.0,2019.71,,True,,
CAR-T,Allogene Therapeutics,unnamed,1,NCT06500273,2024.46,,2,2.0,,,,True,,
CAR-T,Allotera Therapeutics,cart-007,2,NCT04984356|NCT06514794,2022.04,,2,2.0,,,,True,,
CAR-T,Amgen,amg-119,1,NCT03392064,2018.71,,1,,1.0,2018.71,,True,,
CAR-T,Amgen,amg-553,1,NCT03904069,2023.21,,1,,,,,True,,
CAR-T,"Arcellx, Inc.",sprx002,1,NCT05457010,2022.88,,1,1.0,,,,True,,
CAR-T,"Arcellx, Inc.",unnamed,1,NCT06626919,2025.29,,1,1.0,,,,True,,
CAR-T,"Arsenal Biosciences, Inc.",ab-2100,1,NCT06245915,2024.12,,2,2.0,,,,True,,
CAR-T,"Arsenal Biosciences, Inc.",ab-3028,1,NCT07285694,2026.04,,2,2.0,,,,True,,
CAR-T,"Astellas Pharma Global Development, Inc.",asp2802,1,NCT06248086,2024.71,,1,,,,,False,,
CAR-T,AstraZeneca,azd0120,7,NCT05850234|NCT06897930|NCT07073547|NCT07295847|NCT07391657|NCT07735637|NCT07764978,2023.54,2026.12,3,3.0,,,,True,,
CAR-T,AstraZeneca,azd0754,1,NCT06267729,2024.21,,2,2.0,,,,True,,
CAR-T,AstraZeneca,azd4045,1,NCT07681596,2026.54,,2,2.0,,,,True,,
CAR-T,AstraZeneca,azd5851,1,NCT06084884,2023.96,,2,2.0,,,,True,,
CAR-T,Atara Biotherapeutics,ata3219,1,NCT06429800,2025.29,,1,,,,,True,,
CAR-T,Autolus Limited,approved:aucatzyl,3,NCT04404660|NCT06173518|NCT06333483,2020.46,,2,2.0,,,,True,aucatzyl,2024-11-08
CAR-T,Autolus Limited,target:cd19,1,NCT03289455,2017.46,,2,,2.0,2017.46,,True,,
CAR-T,Autolus Limited,unnamed,3,NCT03287804|NCT03287817|NCT03590574,2017.38,,2,,2.0,2017.38,,True,,
CAR-T,AvenCell Europe GmbH,tm123,1,NCT05949125,2024.04,,1,1.0,,,,True,,
CAR-T,"AvenCell Therapeutics, Inc.",quadcar01,1,NCT07284433,2026.04,,2,2.0,,,,True,,
CAR-T,"Beijing Biohealthcare Biotechnology Co.,Ltd",cart20,1,NCT02965157,2016.62,,2,,2.0,2016.62,,False,,
CAR-T,Beijing Biotech,dnk101,2,NCT07480928|NCT07627711,2026.12,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,eb-701,1,NCT07551349,2026.12,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,hc01,1,NCT07641036,2026.21,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,target:b7-h3+gpc3,1,NCT07500220,2026.21,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,target:bcma+cd123+cd19+cd20+cd22+cd33+cd38+cd5+cd7+gprc5d,1,NCT07523555,2026.21,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,target:cea,2,NCT07462650|NCT07589517,2026.12,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,unnamed,9,NCT07480941|NCT07480954|NCT07486089|NCT07510802|NCT07510828|NCT07523529|NCT07551336|NCT07589543|NCT07617753,2026.12,,2,2.0,,,,False,,
CAR-T,Beijing Biotech,x-10,1,NCT07523542,2026.21,,2,2.0,,,,False,,
CAR-T,"Beijing Doing Biomedical Co., Ltd.",target:cd19,2,NCT02546739|NCT02656147,2017.79,,1,,1.0,2017.79,,False,,
CAR-T,"Beijing Doing Biomedical Co., Ltd.",target:cd19+cd20,1,NCT03271515,2021.21,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",amt-116,1,NCT05117138,2022.04,,2,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",ic19,1,NCT06886919,2025.21,,1,1.0,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im19,9,NCT03142646|NCT03173417|NCT03344705|NCT03528421|NCT04440436|NCT05155215|NCT05309213|NCT05480501|NCT06690359,2016.62,,2,2.0,2.0,2016.62,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im21,2,NCT04537442|NCT05478343,2020.71,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im23,1,NCT03585517,2018.54,,1,,1.0,2018.54,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im73,1,NCT04766840,2021.21,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im83,2,NCT05123209|NCT06412458,2021.62,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im92,1,NCT05275062,2022.12,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",im96,3,NCT05287165|NCT06718738|NCT07406984,2022.21,,1,1.0,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",ins19,1,NCT06209671,2024.04,,1,,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",target:gpc3,1,NCT04951141,2019.04,,1,,1.0,2019.04,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",wl276,1,NCT06691308,2024.88,,1,1.0,,,,False,,
CAR-T,"Beijing Immunochina Medical Science & Technology Co., Ltd.",zm001,1,NCT06852573,2025.12,,1,1.0,,,,False,,
CAR-T,"Beijing Sanwater Biological Technology Co., Ltd.",approved:kymriah,1,NCT02810223,2016.38,,1,,1.0,2016.38,,False,kymriah,2017-08-30
CAR-T,Beijing Yongtai Ruike Biotechnology Company Ltd,t-19,1,NCT06179524,2024.04,,2,2.0,,,,False,,
CAR-T,Beijing Yongtai Ruike Biotechnology Company Ltd,unnamed,1,NCT06047197,2023.71,,1,1.0,,,,False,,
CAR-T,Bellicum Pharmaceuticals,bpx-603,1,NCT04650451,2020.96,,1,,,,,True,,
CAR-T,BioNTech Cell & Gene Therapies GmbH,unnamed,1,NCT04503278,2020.71,,1,1.0,,,,True,,
CAR-T,BioNTech SE,unnamed,1,NCT06940804,2025.54,,2,,,,,False,,
CAR-T,BioSyngen Pte Ltd,unnamed,1,NCT05864924,2023.38,,1,,,,,False,,
CAR-T,"Bioceltech Therapeutics, Ltd.",bt-007,1,NCT05554575,2022.79,,1,,,,,False,,
CAR-T,"Bioceltech Therapeutics, Ltd.",target:cd19,1,NCT03574168,2018.54,,1,,1.0,2018.54,,False,,
CAR-T,Bioray Laboratories,brl-201,1,NCT05741359,2023.29,,1,1.0,,,,False,,
CAR-T,Bioray Laboratories,brl-302,1,NCT06633042,2024.88,,1,1.0,,,,False,,
CAR-T,Bioray Laboratories,target:bcma+cd19,1,NCT06681337,2024.88,,1,1.0,,,,False,,
CAR-T,Bioray Laboratories,target:cd19,1,NCT03232619,2018.62,,2,,2.0,2018.62,,False,,
CAR-T,"BrainChild Bio, Inc",bcb-276,1,NCT07680439,2026.62,,2,2.0,,,,True,,
CAR-T,CARGO Therapeutics,unnamed,1,NCT05972720,2023.62,,2,,,,,True,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",ct011,1,NCT06560827,2023.79,,1,1.0,,,,False,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",ct041,3,NCT04404595|NCT04581473|NCT05911217,2020.79,,2,2.0,,,,True,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",ct071,1,NCT06333509,2024.29,,2,2.0,,,,False,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",target:bcma,2,NCT03915184|NCT03975907,2019.46,,2,2.0,2.0,2019.46,,True,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",target:cd19,1,NCT03994913,2019.62,,2,,2.0,2019.62,,False,,
CAR-T,"CARsgen Therapeutics Co., Ltd.",target:gpc3,1,NCT03884751,2019.62,,1,,1.0,2019.62,,False,,
CAR-T,CRISPR Therapeutics AG,ctx130,1,NCT04502446,2020.54,,1,,,,,True,,
CAR-T,CSL Behring,igpro20,1,NCT07648264,2026.62,2026.62,3,3.0,,,,True,,
CAR-T,"CSPC ZhongQi Pharmaceutical Technology Co., Ltd.",sys6020,2,NCT06688435|NCT06694298,2024.96,,1,1.0,,,,False,,
