"system","product","event_type","event_date","body","outcome","detail","amount","currency","stated_reason_verbatim","source_doc","source_url","fetched_date","status","notes"
"Singapore","system","policy-statement","2025-05","Health Technology Advisory Council","stated","Health Technology Advisory Council (HTAC): independent body advising MOH on financial support for high-cost, high-impact technologies; reviewed onasemnogene abeparvovec at its May 2025 meeting.","","","""the Health Technology Advisory Council ('the Council'), an independent professional body that supports the MOH in determining if financial support for high-cost, high-impact health technologies is appropriate.""","ACE Technology Guidance: Onasemnogene abeparvovec for treating SMA (16 Sep 2025), para 1.1","https://www.ace-hta.gov.sg/healthcare-professionals/ace-technology-guidance/drug-guidance/onasemnogene-abeparvovec-for-treating-spinal-muscular-atrophy/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2026-02-27","MediShield Life Council","stated","MediShield Life Council terms of reference (page last updated 27 February 2026).","","","""The MediShield Life Council makes recommendations to the Minister for Health on policy and scheme parameters, administration of the scheme and on matters related to the MediShield Life Fund.""","MOH: MediShield Life Council","https://www.moh.gov.sg/managing-expenses/schemes-and-subsidies/medishield-life/medishield-life-council/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2023-11-22","Ministry of Health","stated","Rare Disease Fund (RDF) governance and expansion to CTGTPs; RDF Committee decides case by case; eight patients supported since November 2022 (parliamentary reply to NMP Ong Hua Han, Q5225).","8","","""The Rare Disease Fund (RDF) is a charity fund for which Government matches donations 3-to-1, and is managed by the RDF Committee (RDFC) comprising community representatives under the advice of a panel of medical experts."" ""The expansion of RDF to cover Cell, Tissue, and Gene Therapy Products (CTGTPs), and ability to draw on the principal donation to spend on CTGTPs are fairly recent arrangements"" ""Currently, the RDF has listed seven treatments for five conditions."" ""Since November 2022, the RDF has received and supported applications from eight patients.""","MOH parliamentary reply: Rare Disease Fund, 22 Nov 2023","https://www.moh.gov.sg/newsroom/rare-disease-fund/","2026-09-06","verified-from-source","No gene therapy in the cohort is named as an RDF-listed treatment in any MOH page read."
"Singapore","system","policy-statement","2023-10-04","Ministry of Health","stated","RDF size and CTGTP coverage (parliamentary reply to NCMP Leong Mun Wai, Q5032): fund $143 million at end-FY22; FY23 projected investment income $4.8 million; expenditure $2.4 million.","143000000","SGD","""While RDF predominantly operates as an endowed fund that relies on investment income to support beneficiaries on lifelong, high-cost treatments, its coverage was recently expanded to include Cell, Tissue, and Gene Therapy Products (CTGTPs) which are higher cost, one-off treatments. For CTGTPs, donors can specify that the principal sum of their donations can be drawn down."" ""The RDF Committee will evaluate each CTGTP application on a case-by-case basis, taking into consideration the circumstances of each patient and fund availability.""","MOH parliamentary reply: Size, annual income and expenditure of Rare Disease Fund, 4 Oct 2023","https://www.moh.gov.sg/newsroom/size-annual-income-and-expenditure-of-rare-disease-fund/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2023-08-04","Minister for Health Ong Ye Kung","stated","Speech at Singapore Cell and Gene Therapy Conference and launch of ACTRIS.","","","""cell and gene therapies are costly because they are often developed for rare genetic conditions, are customised to the individual and do not enjoy the same economies of scale."" ""Benefits to patients must justify the costs. If not, the burden on our society and healthcare system will be too heavy to bear.""","MOH: Speech by Minister for Health at the Singapore Cell and Gene Therapy Conference and launch of ACTRIS, 4 Aug 2023","https://www.moh.gov.sg/newsroom/speech-by-minister-for-health-mr-ong-ye-kung-at-the-singapore-cell-and-gene-therapy-conference-and-launch-of-the-advanced-cell-therapy-and-research-institute-(actris)-on-4-august-2023/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2024-03-06","Minister for Health Ong Ye Kung","stated","MOH Committee of Supply 2024 speech, paras 103-108: MediShield Life Council to consider extending coverage to CTGTPs; only safe, clinically effective and cost-effective treatments.","","","""Third, the Council will consider expanding MediShield Life coverage to new groundbreaking treatments, specifically Cell, Tissue and Gene Therapy Products (CTGTPs)."" ""It could cost anything from a few hundred thousand dollars to a few million dollars, per treatment."" ""we will need to extend MediShield Life coverage only to treatments that are assessed to be safe, clinically effective and cost effective. In other words, if a treatment costs a few million dollars, with a small hope of curing a small group of people, it is not cost effective.""","MOH: Speech by Mr Ong Ye Kung at the MOH Committee of Supply Debate 2024, 6 Mar 2024","https://www.moh.gov.sg/newsroom/speech-by-mr-ong-ye-kung-minister-for-health-at-the-ministry-of-health-committee-of-supply-debate-2024-on-wednesday-6-march-2024/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2024-03-06","Senior Parliamentary Secretary Rahayu Mahzam","stated","MOH Committee of Supply 2024 speech, para 48, on SMA treatments including a CTGTP (reply to Ong Hua Han).","","","""there are a few treatments available currently, including drugs and a Cell, Tissue and Gene Therapy Product (CTGTP). We are reviewing the clinical and cost-effectiveness of these treatments and are engaging pharmaceutical companies to achieve reasonable prices. As Minister mentioned, the MediShield Life Council is considering extending coverage to eligible CTGTPs and studying the safeguards needed to ensure that any such extension is sustainable. In the interim, those who face concerns may apply for discretionary funding support through MediFund or the Rare Disease Fund.""","MOH: Speech by Mdm Rahayu Mahzam at the MOH Committee of Supply Debate 2024, 6 Mar 2024","https://www.moh.gov.sg/newsroom/speech-by-mdm-rahayu-mahzam-senior-parliamentary-secretary-ministry-of-health-at-the-ministry-of-health-committee-of-supply-debate-2024-on-wednesday-6-march-2024/","2026-09-06","verified-from-source","The CTGTP referred to is onasemnogene abeparvovec (Zolgensma), then under ACE evaluation (DAC July 2024)."
"Singapore","system","policy-statement","2024-10-15","Ministry of Health / MediShield Life Council","stated","Government accepts MediShield Life Council recommendations: expand coverage to CTGTPs assessed clinically effective and cost-effective; pilot financing framework; CTGTP coverage extension timed for October 2025.","","","""advances in medical technologies have resulted in new, potentially life-saving therapies, such as Cell, Tissue, and Gene Therapy Products (CTGTPs), which MediShield Life also does not cover."" ""Expand coverage to high-cost treatments that are clinically effective and cost-effective ... CTGTPs that have demonstrated the potential to treat cancers and serious diseases effectively."" ""While CTGTPs have the potential to transform healthcare and treat serious diseases, they have high upfront costs. Without financing support, patients may not be able to access these potentially effective treatments. However, such financing must also be designed in a sustainable manner given the high cost of CTGTPs and uncertainty around their longer-term effectiveness. Hence the Government has introduced a pilot financing framework to focus support only on CTGTPs that have been assessed to be both clinically effective and cost-effective.""","MOH press release: Government accepts MediShield Life Council's recommendations to enhance MediShield Life scheme, 15 Oct 2024","https://www.moh.gov.sg/newsroom/government-accepts-medishield-life-council-s-recommendations-to-enhance-medishield-life-scheme---government-support-more-than-offsets-premium-increases/","2026-09-06","verified-from-source",""
"Singapore","system","policy-statement","2025-11-04","Ministry of Health","stated","Parliamentary reply (Q799, Ms Mariam Jaafar) on children with rare diseases requiring high-cost treatment.","","","""The Ministry of Health (MOH) does not specifically track the number of children diagnosed with rare diseases."" ""MediSave and MediShield Life coverage is also available to further offset costs for selected high-cost drugs, and cell, tissue and gene therapies targeting rare diseases.""","MOH parliamentary reply: Support for children diagnosed with rare diseases that require high-cost or long-term treatment, 4 Nov 2025","https://www.moh.gov.sg/newsroom/support-for-children-diagnosed-with-rare-diseases-that-require-high-cost-or-long-term-treatment/","2026-09-06","verified-from-source",""
"Singapore","system","eligible-estimate","2025-08-08","ACTO Times (industry press)","stated","Press estimate of annual national demand for cell and gene therapy.","100","patients/year","""Singapore sees about 100 patients each year who require cell and gene therapy treatments""","THE ACTO TIMES: Current landscape of cell and gene therapy in Singapore, 8 Aug 2025","https://theactotimes.com/2025/08/08/current-landscape-of-cell-and-gene-therapy-in-singapore/","2026-09-06","provisional-from-snippet","Attribution of the estimate not given in the article; treat as pointer only."
"Singapore","CAR-T class","subsidy-listing","2024-08-01","Ministry of Health","subsidised","MOH CTGTP subsidy framework: means-tested subsidies at public healthcare institutions for CTGTPs on the MOH CTGTP List; Singapore Citizens 75%/60%/45% by PCHI band capped at $150,000/$120,000/$90,000; PRs 22.5% capped at $45,000 (lowest band only); table 'Effective as of 1 Oct 2024'; page last updated 26 Oct 2024.","150000","SGD","""Subsidies will be provided for CTGTPs that have been assessed to be clinically-proven and cost-effective, for specific indications, to eligible subsidised patients."" ""$0 <= PCHI <= $3,600: 75% - capped at $150,000 (SC); 22.5% - capped at $45,000 (PR)"" ""In exceptional deserving cases, subsidies may be extended upon appeal."" ""Subsidies will be automatically accorded based on your means-test status.""","MOH: Subsidies for Cell, Tissue and Gene Therapy at public healthcare institutions","https://www.moh.gov.sg/managing-expenses/schemes-and-subsidies/cell-tissue-and-gene-therapy/subs-cell-tissue-gene/","2026-09-06","verified-from-source","Start date 1 August 2024 per MOH press release 15 Oct 2024: 'Since 1 August 2024, eligible patients who require the use of CTGTPs that are included on MOH's CTGTP List have been able to receive means-tested subsidies of up to 75%, capped at $150,000 per treatment course'. CAR-T products are listed on the CTGTP List, not on the Cancer Drug List."
"Singapore","CAR-T class","insurance-coverage","2025-10","Ministry of Health / MediShield Life","covered","MediShield Life and MediSave coverage extended to CTGTPs on the MOH CTGTP List from October 2025 (announced 15 Oct 2024; reiterated ST 12 Sep 2025). Current benefits page (last updated 3 June 2026; for treatments on or after 1 June 2026): MSHL claim limit $141,000 per treatment and MediSave withdrawal limit $4,680 per treatment for tisagenlecleucel (Kymriah) and axicabtagene ciloleucel (Yescarta); CTGTP payouts not subject to the policy-year claim limit.","141000","SGD","""Tisagenlecleucel (Kymriah) ... $141,000 per treatment ... $4,680 per treatment""; ""Axicabtagene ciloleucel (Yescarta) ... $141,000 per treatment ... $4,680 per treatment""; ""Payout for CTGTPs will not be subject to the policy year claim limit.""","MOH: MediShield Life Benefits (High-cost Drug and CTGTPs)","https://www.moh.gov.sg/managing-expenses/schemes-and-subsidies/medishield-life/medishield-life-benefits/","2026-09-06","verified-from-source","Exact October 2025 start date and any earlier limit not found on MOH pages read; ST 12 Sep 2025: 'From October 2025, MediShield Life and MediSave coverage will be extended to listed CTGTPs'; MOH spokeswoman: 'no additional premium increases are needed to support the expansion of MediShield Life coverage to new CTGTPs'."
"Singapore","CAR-T class","price","2025-09-12","The Straits Times (republished by SGH)","stated","Reported Singapore list price of Kymriah and Yescarta.","481000","SGD","""Both are reportedly sold in Singapore at approximately US$375,000 (S$481,000) per treatment.""","The Straits Times, 12 Sep 2025: Second cell, tissue and gene therapy product for aggressive blood cancer now subsidised in Singapore (hosted on sgh.com.sg)","https://www.sgh.com.sg/news/patient-care/second-cell--tissue-and-gene-therapy-product-for-aggressive-bloo","2026-09-06","provisional-from-snippet","Press report; also Blood Cell Ther 2023 (PMC10937087): Singapore's two commercial CAR-T products 'approximately US$375,000'."
"Singapore","CAR-T class","price","2023-03-14","OncoTargets and Therapy (academic review, Singapore authors)","stated","Unit price assumption for commercial CAR-T in children/young adults with r/r ALL in Singapore.","500000","SGD","""at a unit price of S$500k for commercial CAR-T treatment for children and young adults with r/r ALL, it is a cost-effective treatment""","A Review of CAR-T Therapy in Pediatric and Young Adult B-Lineage Acute Leukemia: Clinical Perspectives in Singapore, OncoTargets Ther 2023 (PMC10024535)","https://pmc.ncbi.nlm.nih.gov/articles/PMC10024535/","2026-09-06","verified-from-source",""
"Singapore","CAR-T class","price","2024-09-04","BioPharma Boardroom (industry press)","stated","Press-reported unsubsidised Kymriah cost.","637000","SGD","""Up to US$475,000 (S$637,000) without subsidies""; MOH spokesperson quoted: ""We aim to balance patient affordability with sustainable healthcare financing""","BioPharma Boardroom: Singapore Launches Subsidy Program for Pioneering Cell, Tissue, and Gene Therapies, 4 Sep 2024","https://www.biopharmaboardroom.com/news/45/2222/singapore-launches-subsidy-program-for-pioneering-cell-tissue-and-gene-therapies.html","2026-09-06","provisional-from-snippet",""
"Singapore","CAR-T class","patient-count","2024","EBMT activity survey 2024 (Singapore General Hospital, CIC 434)","stated","Singapore row in the 2024 EBMT activity survey supplementary appendix: one reporting centre (SGH, adults); 91 first HCT (96 total; 55 allo/36 auto); 12 CAR-T patients (0 paediatric/12 adult).","12","patients","""Singapore: (1 centres: 91 (96) 55/36), (12 (12) 0/12)"" ""Singapore, Singapore General Hospital, ads, CIC 434, A. Ho (91 (96) 55/36), (12 (12) 0/12)""","The 2024 EBMT activity report, Bone Marrow Transplantation 2026 (s41409-026-02919-9), Supplementary appendix MOESM3, p.17","https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf","2026-09-06","verified-from-source","Only SGH reports to EBMT; NUH/NCIS and KKH CAR-T activity is not captured in this count."
"Singapore","CAR-T class","delivery-site","2021-03-09","Singapore General Hospital","started","SGH was the first operational Kymriah treatment centre in Southeast Asia at HSA approval; NUH in discussion at that time.","","","""The treatment is available in Singapore General Hospital for adult relapsed/refractory (r/r) DLBCL patients and young adult r/r B-cell ALL patients""; ""discussions were ongoing for the National University Hospital""","Novartis Singapore media release, 9 Mar 2021","https://www.novartis.com/sg-en/news/media-releases/novartis-receives-approval-kymriah-tisagenlecleucel-health-sciences-authority-singapores-first-commercially-approved-car-t-therapy","2026-09-06","verified-from-source",""
"Singapore","CAR-T class","delivery-site","2022-08-31","Singapore General Hospital","started","First commercial CAR-T patient in Singapore treated at SGH (Mr Tan Chee Mun); programme set up by Asst Prof Francesca Lim; infusion date not given.","","","""SGH's and Singapore's first patient to receive commercial CAR T-cell therapy""; ""So far, only a handful of patients have been treated with compassionate academic CARs, clinical trials and commercial CAR products.""","SingHealth Singapore Health: The face of CAR T-cell therapy, 31 Aug 2022","https://www.singhealth.com.sg/news/singapore-health/the-face-of-car-t-cell-therapy","2026-09-06","verified-from-source",""
"Singapore","CAR-T class","delivery-site","2019","National University Hospital / NCIS","started","NUH first administered its in-house fratricide-resistant CD7 CAR-T for T-ALL in 2019 (first patient a 10-year-old Vietnamese boy); 17 patients treated April 2019 to October 2023; 16 of 17 achieved MRD-negative complete remission; NUH offers CD19, CD22 and CD7 CAR-T cells.","17","patients","""This treatment was first administered in 2019 to Viet Tai, a 10-year-old Vietnamese boy."" ""Of 17 evaluable patients, 16 achieved MRD-negative complete remission within one month""","NUH: CAR T-cell therapy for T-acute lymphoblastic leukaemia (programme page); NUH newsroom 'Promising cell therapy', 5 Oct 2024","https://www.nuh.com.sg/care-at-nuh/our-leading-edge-programmes/chimeric-antigen-receptor-(car)-t-cell-therapy-for-t-acute-lymphoblastic-leukaemia","2026-09-06","verified-from-source","Academic (non-commercial) CAR-T; Nature Medicine paper 3 Sep 2024. Whether NUH manufactures on site is not stated on the page. NUHS 23 Mar 2023 release: 'For close to a decade, NCIS has been offering cell therapy to adult and paediatric patients though the NCIS cell therapy programme'."
"Singapore","CAR-T class","delivery-site","2023-03-23","National University Cancer Institute Singapore / CytoMed","started","HSA-approved (January 2023) phase 1 trial at NCIS of locally developed allogeneic gamma-delta CAR-T (CytoMed Therapeutics), donor recruitment at NUH from April 2023; six advanced cancer types; patients at least 21.","","","""The phase 1 clinical trial was approved by the Health Sciences Authority in January."" ""this is the first locally designed trial that uses an allogeneic method to modify cells to fight cancer.""","NUHS media release: Novel CAR-T cell therapy developed in Singapore begins clinical trial in NCIS, 23 Mar 2023","https://www.nuhs.edu.sg/docs/nuhslibraries/content-document/research/media-release-novel-car-t-cell-therapy.pdf?sfvrsn=3b35a760_1","2026-09-06","verified-from-source",""
"Singapore","CAR-T class","delivery-site","2022-03-15","KK Women's and Children's Hospital / Singapore General Hospital","started","Point-of-care manufactured CD19 CAR-T feasibility study SHCELL18P1 (NCT05648019), sponsor KKH, collaborator SGH; sites KKH (PI Shui Yen Soh) and SGH (PI Aloysius Ho); actual start 15 Mar 2022; estimated enrolment 40; status recruiting (verified 2023-03).","40","planned patients","""The purpose of this study is to describe feasibility of delivering point-of-care manufactured CD19-directed CAR T-cell therapy to patients with relapsed/ refractory B-lineage leukaemia/ lymphoma.""","ClinicalTrials.gov NCT05648019 (API v2)","https://clinicaltrials.gov/study/NCT05648019","2026-09-06","verified-from-source","No KKH commercial CAR-T (Kymriah) delivery statement found on kkh.com.sg."
"Singapore","CAR-T class","delivery-site","2025-09-12","Singapore General Hospital","started","SGH had three patients scheduled for Yescarta at the time of CTGTP listing.","3","patients","""Singapore General Hospital (SGH) currently has three cancer patients scheduled to be treated with Yescarta."" Dr Chen Yunxin: ""Approval of this drug allows this group of patients to have the best chance of survival.""","The Straits Times via SGH, 12 Sep 2025","https://www.sgh.com.sg/news/patient-care/second-cell--tissue-and-gene-therapy-product-for-aggressive-bloo","2026-09-06","provisional-from-snippet",""
"Singapore","system","delivery-site","2020-04-20","Advanced Cell Therapy and Research Institute Singapore (ACTRIS)","started","ACTRIS established 20 April 2020 as national cell and gene therapy manufacturing centre (business unit under the Consortium for Clinical Research and Innovation Singapore), consolidating NUH and HSA cell therapy facilities; located within NCCS; launched 4 Aug 2023.","","","ACTRIS: ""was established on 20 April 2020 to meet the increasing demand of cellular therapy""; ""located within National Cancer Center, Singapore (NCCS)""; MOH speech: ""the national centre for development and production of cell and gene therapy""; ACTRIS aims to ""significantly shorten production times and lower costs.""","ACTRIS website; MOH speech 4 Aug 2023","https://www.actris.sg/","2026-09-06","verified-from-source","ACTO Times (press, 8 Aug 2025): facility '14 Good Manufacturing Practice-compliant (GMP) clean suites, four translational laboratories, and one quality control laboratory' over 2,000 sq m, opened August 2023. Predecessor: HSA Cell Therapy Facility expansion announced 27 Jul 2009 (https://www.hsa.gov.sg/announcements/hsa-builds-cell-therapy-facility-to-expand-pioneering-work-on-novel-cell-based-therapies-to-treat-cancers-and-other-diseases/)."
"Singapore","system","delivery-site","","National Cancer Centre Singapore","stated","NCCS: no NCCS-specific CAR-T delivery statement or patient count found on nccs.com.sg; NCCS hosts ACTRIS and is paired with SGH in press descriptions of the SGH CAR-T service.","","","","Search summary (CancerFax / press): 'Singapore General Hospital (SGH), working with the National Cancer Center Singapore ... established centers for CD19-directed CAR-T products'","https://cancerfax.com/treatments/car-t-cell-therapy-in-singapore","2026-09-06","provisional-from-snippet",""
"Singapore","Kymriah","regulatory-registration","2021-03-09","Health Sciences Authority","registered","HSA approval of Kymriah (tisagenlecleucel) as Singapore's first commercial CAR-T: paediatric/young adult (2-25) r/r B-cell ALL and adult r/r DLBCL after two or more lines.","","","""Novartis receives approval for Kymriah (tisagenlecleucel) by Health Sciences Authority as Singapore's first commercially approved CAR-T therapy"" (release dated March 9, 2021)","Novartis Singapore media release, 9 Mar 2021","https://www.novartis.com/sg-en/news/media-releases/novartis-receives-approval-kymriah-tisagenlecleucel-health-sciences-authority-singapores-first-commercially-approved-car-t-therapy","2026-09-06","verified-from-source","Sponsor release; HSA register date not directly readable (HSA's public CTGTP register is the 'Cell, Tissue and Gene Therapy Products (CTGTP) Database' at https://share.hsa.gov.sg/mop/approvedproducts (Notified Class 1 and Registered Class 2 CTGTP Search)). Gilead/BioPharma APAC: 'Singapore became the first Southeast Asian country to approve CAR T-cell therapy in 2021'."
"Singapore","Kymriah","hta-guidance","2024-08-01","MOH Drug Advisory Committee / ACE","recommended","Tisagenlecleucel for r/r B-cell ALL, ages 2-25: recommended for the MOH CTGTP List from 1 Aug 2024 (DAC March 2024 meeting); budget impact under SG$1 million per year; about three eligible patients per year.","1000000","SGD (annual cost impact, upper bound)","""Approximately three paediatric and young adult patients are diagnosed with relapsed or refractory ALL each year in Singapore."" ""Based on the revised budget impact model, the annual cost impact to the public healthcare system was estimated to be less than SG$1 million"" ""Given the clinical need, acceptable clinical effectiveness compared with current treatment options, and that tisagenlecleucel is considered to be an acceptable use of healthcare resources, the Committee recommended tisagenlecleucel cells dispersion for infusion, to be included on the MOH CTGTP List""","ACE Technology Guidance: Tisagenlecleucel for relapsed or refractory B-cell acute lymphoblastic leukaemia, published 1 Aug 2024","https://www.ace-hta.gov.sg/healthcare-professionals/ace-technology-guidance/drug-guidance/tisagenlecleucel-for-relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia/","2026-09-06","verified-from-source","Guidance PDF: https://isomer-user-content.by.gov.sg/68/d7286a26-4d64-4a05-ad26-3727233e51d1/tisagenlecleucel-for-relapsed-or-refractory-b-cell-acute-lymphoblastic-leukaemia-(1-aug-24).pdf . Committee: 'tisagenlecleucel was superior in terms of effectiveness compared with blinatumomab and salvage chemotherapy but the magnitude of the treatment effect remained uncertain'."
