product_key,cohort_product,platform_class,search_terms,regex,sponsor_filter,n_matched_interventional,auto_earliest_nct,auto_earliest_start,auto_earliest_phase,auto_earliest_sponsor,auto_earliest_title,origin_nct,origin_start,origin_sponsor,origin_title,first_in_human_date,first_in_human_nct,fda_approval_date,eu_authorisation_date,first_approval_date,years_fih_to_first_approval,years_fih_to_fda,status,fetched,flags,notes
zynteglo,Zynteglo,lentiviral ex vivo,betibeglogene autotemcel OR LentiGlobin BB305,betibeglogene|beti-cel|BB305|LentiGlobin,,6,NCT02151526,2013-06-07,PHASE1|PHASE2,Genetix Biotherapeutics Inc.,A Study Evaluating the Safety and Efficacy of LentiGlobin BB305 Drug Product in β-Thalassemia Major (Also Referred to as Transfusion-dependent β-Thalassemia [TDT]) and Sickle Cell Disease,NCT01745120,2013-08-01,Genetix Biotherapeutics Inc.,A Study Evaluating the Safety and Efficacy of the LentiGlobin BB305 Drug Product in β-Thalassemia Major Participants,2013-06-07,NCT02151526,2022-08-17,2019-05-29,2019-05-29,5.97,9.19,verified-from-data,2026-09-04,,HGB-204 (2013); the 2007 French LG001 trial used an earlier vector and is not registered
skysona,Skysona,lentiviral ex vivo,elivaldogene autotemcel OR Lenti-D,elivaldogene|eli-cel|Lenti-?D,,2,NCT01896102,2013-08-21,PHASE2|PHASE3,Genetix Biotherapeutics Inc.,A Study of the Efficacy and Safety of Hematopoietic Stem Cells Transduced With Lenti-D Lentiviral Vector for the Treatment of Cerebral Adrenoleukodystrophy (CALD),NCT01896102,2013-08-21,Genetix Biotherapeutics Inc.,A Study of the Efficacy and Safety of Hematopoietic Stem Cells Transduced With Lenti-D Lentiviral Vector for the Treatment of Cerebral Adrenoleukodystrophy (CALD),2013-08-21,NCT01896102,2022-09-16,2021-07-16,2021-07-16,7.9,9.07,verified-from-data,2026-09-04,earliest matched trial is PHASE2|PHASE3: an earlier unregistered phase 1 is possible,ALD-102 (2013)
lenmeldy,Lenmeldy / Libmeldy,lentiviral ex vivo,atidarsagene autotemcel OR OTL-200 OR GSK2696274,atidarsagene|OTL-?200|GSK-?2696274|arsa-cel,,3,NCT01560182,2010-04-09,PHASE1|PHASE2,Orchard Therapeutics,Gene Therapy for Metachromatic Leukodystrophy (MLD),NCT01560182,2010-04-09,Orchard Therapeutics,Gene Therapy for Metachromatic Leukodystrophy (MLD),2010-04-09,NCT01560182,2024-03-18,2020-12-17,2020-12-17,10.69,13.94,verified-from-data,2026-09-04,,TIGET phase 1/2 (2010)
kebilidi,Kebilidi / Upstaza,AAV intraputaminal,eladocagene exuparvovec OR AAV2-hAADC OR AGIL-AADC,eladocagene|hAADC|AGIL-?AADC|PTC-?AADC,,5,NCT01395641,2014-10-22,PHASE1|PHASE2,National Taiwan University Hospital,A Phase I/II Clinical Trial for Treatment of Aromatic L-amino Acid Decarboxylase (AADC) Deficiency Using AAV2-hAADC,NCT01395641,2014-10-22,National Taiwan University Hospital,A Phase I/II Clinical Trial for Treatment of Aromatic L-amino Acid Decarboxylase (AADC) Deficiency Using AAV2-hAADC,2014-10-22,NCT01395641,2024-11-13,2022-07-18,2022-07-18,7.74,10.06,verified-from-data,2026-09-04,,"registry start 2014-10 for the Taiwan phase 1/2; the first four patients were treated in 2010 under compassionate use (Hwu et al., Sci Transl Med 2012), so the true first-in-human is about four years earlier"
elevidys,Elevidys,AAV systemic,delandistrogene moxeparvovec OR SRP-9001,delandistrogene|SRP-?9001|rAAVrh74\.MHCK7,,9,NCT03375164,2018-01-04,PHASE1|PHASE2,"Sarepta Therapeutics, Inc.",A Gene Transfer Therapy Study to Evaluate the Safety of Delandistrogene Moxeparvovec (SRP-9001) in Participants With Duchenne Muscular Dystrophy (DMD),NCT03375164,2018-01-04,"Sarepta Therapeutics, Inc.",A Gene Transfer Therapy Study to Evaluate the Safety of Delandistrogene Moxeparvovec (SRP-9001) in Participants With Duchenne Muscular Dystrophy (DMD),2018-01-04,NCT03375164,2023-06-22,,2023-06-22,5.46,5.46,verified-from-data,2026-09-04,,
vyjuvek,Vyjuvek,HSV topical,beremagene geperpavec OR B-VEC OR KB103,beremagene|B-?VEC|KB-?103,,4,NCT03536143,2018-05-06,PHASE1|PHASE2,"Krystal Biotech, Inc.","A Phase I/II Study of KB103, a Topical HSV1-COL7, on DEB Patients",,,,,2018-05-06,NCT03536143,2023-05-19,2025-04-23,2023-05-19,5.03,5.03,verified-from-data,2026-09-04,,
zevaskyn,Zevaskyn,gene-modified keratinocyte sheets,prademagene zamikeracel OR EB-101,prademagene|EB-?101|COL7A1,Abeona,3,NCT04227106,2020-01-10,PHASE3,"Abeona Therapeutics, Inc","Phase 3, Open-label Clinical Trial of EB-101 for the Treatment of Recessive Dystrophic Epidermolysis Bullosa (RDEB)",NCT01263379,2010-10-05,"Abeona Therapeutics, Inc",Gene Transfer for Recessive Dystrophic Epidermolysis Bullosa,2010-10-05,NCT01263379,2025-04-28,,2025-04-28,14.56,14.56,verified-from-data,2026-09-04,,Stanford phase 1 of LZRSE-COL7A1 keratinocyte sheets (2010)
papzimeos,Papzimeos,adenoviral immunotherapy,zopapogene imadenovec OR PRGN-2012,zopapogene|PRGN-?2012,,3,NCT04724980,2021-03-16,PHASE1|PHASE2,"Precigen, Inc",Adjuvant PRGN-2012 in Adult Patients With Recurrent Respiratory Papillomatosis,,,,,2021-03-16,NCT04724980,2025-08-14,,2025-08-14,4.41,4.41,verified-from-data,2026-09-04,,
adstiladrin,Adstiladrin,adenoviral intravesical,nadofaragene firadenovec OR rAd-IFN/Syn3 OR Instiladrin OR SCH 721015,nadofaragene|rAd-?IFN|Instiladrin|Adstiladrin|SCH\s?721015|Ad-IFN,,14,NCT00299962,2006-03-01,PHASE1,University of Pennsylvania,Gene Therapy for Pleural Malignancies,NCT01162785,2011-04-01,M.D. Anderson Cancer Center,1B Intravesical Administration of SCH 721015 (Ad-IFNa) in Admixture With SCH 209702 (Syn3) for The Treatment of BCG Refractory Superficial Bladder Cancer,2006-03-01,NCT00299962,2022-12-16,2026-05-28,2022-12-16,16.79,16.79,verified-from-data,2026-09-04,,SCH 721015 (Ad-IFNa) phase 1b at MD Anderson (2011); the first phase 1 (2004 to 2006) is unregistered
imlygic,Imlygic,oncolytic HSV,talimogene laherparepvec OR OncoVEX OR T-VEC,talimogene|OncoVEX|T-?VEC\b,,50,NCT00289016,2005-12-01,PHASE2,BioVex Limited,A Study of Talimogene Laherparepvec in Stage IIIc and Stage IV Malignant Melanoma,,,,,2005-12-01,NCT00289016,2015-10-27,2015-12-16,2015-10-27,9.9,9.9,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,
tudriqev,Tudriqev,oncolytic HSV,vusolimogene oderparepvec OR RP1,vusolimogene|\bRP-?1\b,Replimune,7,NCT03767348,2017-09-20,PHASE2,"Replimune, Inc.",Study of RP1 Monotherapy and RP1 in Combination With Nivolumab (IGNYTE),,,,,2017-09-20,NCT03767348,2026-08-06,,2026-08-06,8.88,8.88,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,
tecelra,Tecelra,TCR-T,afamitresgene autoleucel OR ADP-A2M4,afamitresgene|ADP-?A2M4|afami-cel|MAGE-A4\S*T\b,Adaptimmune|USWM,0,,,,,,NCT03132922,2017-05-15,"USWM CT, LLC",MAGE-A4ᶜ¹º³²T for Multi-Tumor,2017-05-15,NCT03132922,2024-08-01,,2024-08-01,7.21,7.21,verified-from-data,2026-09-04,no registry match for the search terms,ADP-A2M4 phase 1 basket (2017) is registered under the MAGE-A4 TCR name and a successor sponsor
amtagvi,Amtagvi,tumour-infiltrating lymphocytes,lifileucel OR LN-144,lifileucel|LN-?144,,15,NCT02360579,2015-09-24,PHASE2,"Iovance Biotherapeutics, Inc.","Study of Lifileucel (LN-144), Autologous Tumor Infiltrating Lymphocytes, in the Treatment of Patients With Metastatic Melanoma",,,,,2015-09-24,NCT02360579,2024-02-16,,2024-02-16,8.4,8.4,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,
provenge,Provenge,autologous cellular immunotherapy,sipuleucel-T OR APC8015 OR Provenge,sipuleucel|APC-?8015|Provenge,,38,NCT00005947,1999-11-01,PHASE3,Dendreon,Vaccine Therapy in Treating Patients With Metastatic Prostate Cancer That Has Not Responded to Hormone Therapy,,,,,1999-11-01,NCT00005947,2010-04-29,2013-09-06,2010-04-29,10.49,10.49,verified-from-data,2026-09-04,earliest matched trial is PHASE3: an earlier unregistered phase 1 is possible,registry began in 2000; the 1996 to 1998 phase 1 and 2 trials are unregistered
ryoncil,Ryoncil,mesenchymal stromal cells,remestemcel-L OR Prochymal,remestemcel|Prochymal,,17,NCT00136903,2005-04-27,PHASE2,"Mesoblast, Inc.",Safety and Efficacy Study of Adult Human Mesenchymal Stem Cells to Treat Acute Graft Versus Host Disease (GVHD),,,,,2005-04-27,NCT00136903,2024-12-19,,2024-12-19,19.65,19.65,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,
omisirge,Omisirge,expanded cord blood,omidubicel OR NiCord,omidubicel|NiCord,,7,NCT01221857,2010-11-01,PHASE1|PHASE2,Gamida Cell ltd,Pilot Study Evaluating Safety & Efficacy of DCBT: NiCord® & UNM CBU to Patients With Hematological Malignancies,,,,,2010-11-01,NCT01221857,2023-04-17,,2023-04-17,12.46,12.46,verified-from-data,2026-09-04,,
lantidra,Lantidra,allogeneic islet cells,donislecel OR Lantidra,donislecel|Lantidra|islet,CellTrans,0,,,,,,NCT00566813,2004-11-01,University of Illinois at Chicago,Islet Transplantation in Type 1 Diabetic Patients Using the Edmonton Protocol of Steroid Free Immunosuppression,2004-11-01,NCT00566813,2023-06-28,,2023-06-28,18.65,18.65,verified-from-data,2026-09-04,no registry match for the search terms,University of Illinois islet transplant trial (2004) is the product's origin
tregzi,Tregzi,allogeneic Treg cell therapy,Orca-T,Orca-?T\b,,6,NCT04013685,2019-11-21,PHASE1,"Orca Biosystems, Inc.",Precision-T: A Study of Orca-T in Recipients Undergoing Allogeneic Transplantation for Hematologic Malignancies,,,,,2019-11-21,NCT04013685,2026-07-01,,2026-07-01,6.61,6.61,verified-from-data,2026-09-04,,
waskyra,Waskyra,lentiviral ex vivo,etuvetidigene autotemcel OR OTL-103 OR GSK2696275,etuvetidigene|OTL-?103|GSK-?2696275|Wiskott,Telethon,2,NCT01515462,2010-04-20,PHASE1|PHASE2,Fondazione Telethon,Gene Therapy for Wiskott-Aldrich Syndrome,NCT01515462,2010-04-20,Fondazione Telethon,Gene Therapy for Wiskott-Aldrich Syndrome,2010-04-20,NCT01515462,2025-12-09,2026-01-09,2025-12-09,15.64,15.64,verified-from-data,2026-09-04,,TIGET phase 1/2 (2010)
kresladi,Kresladi,lentiviral ex vivo,marnetegragene autotemcel OR RP-L201,marnetegragene|RP-?L201,,2,NCT03825783,2019-04-15,PHASE1,Rocket Pharmaceuticals Inc.,A Gene Therapy Trial to Evaluate the Safety and Efficacy of RP-L201 in Subjects With Leukocyte Adhesion Deficiency-I,,,,,2019-04-15,NCT03825783,2026-03-26,,2026-03-26,6.95,6.95,verified-from-data,2026-09-04,,
otarmeni,Otarmeni,"AAV dual vector, intracochlear",DB-OTO,DB-?OTO,,1,NCT05788536,2023-06-27,PHASE1|PHASE2,Regeneron Pharmaceuticals,"A Study of DB-OTO, an Adeno-Associated Virus (AAV) Based Gene Therapy, in Children/Infants, Adolescents and Adults With Hearing Loss Due to Otoferlin Mutations",,,,,2023-06-27,NCT05788536,2026-04-23,,2026-04-23,2.82,2.82,verified-from-data,2026-09-04,,
genglycos,Genglycos,AAV systemic,DTX401,DTX-?401,,2,NCT03517085,2018-05-18,PHASE1|PHASE2,Ultragenyx Pharmaceutical Inc,Safety and Dose-Finding Study of DTX401 (AAV8G6PC) in Adults With Glycogen Storage Disease Type Ia (GSDIa),,,,,2018-05-18,NCT03517085,2026-08-19,,2026-08-19,8.25,8.25,verified-from-data,2026-09-04,,
encelto,Encelto,encapsulated cell,revakinagene taroretcel OR NT-501,revakinagene|NT-?501,,18,NCT00063765,2003-06-01,PHASE1,National Eye Institute (NEI),Evaluation of Safety of Ciliary Neurotrophic Factor Implants in the Eye,,,,,2003-06-01,NCT00063765,2025-03-05,,2025-03-05,21.76,21.76,verified-from-data,2026-09-04,,NT-501 was first tested in retinitis pigmentosa (2007) before macular telangiectasia
strimvelis,Strimvelis,gammaretroviral ex vivo,GSK2696273 OR Strimvelis,GSK-?2696273|Strimvelis|ADA-?SCID,Telethon,2,NCT00598481,2002-10-02,PHASE2,Fondazione Telethon,ADA Gene Transfer Into Hematopoietic Stem/Progenitor Cells for the Treatment of ADA-SCID,NCT00598481,2002-10-02,Fondazione Telethon,ADA Gene Transfer Into Hematopoietic Stem/Progenitor Cells for the Treatment of ADA-SCID,2002-10-02,NCT00598481,,2016-05-26,2016-05-26,13.65,,verified-from-data,2026-09-04,earliest matched trial is PHASE2: an earlier unregistered phase 1 is possible,TIGET ADA-SCID trial (2000)
glybera,Glybera,AAV intramuscular,alipogene tiparvovec OR AMT-011,alipogene|AMT-?011|Glybera,,3,NCT01109498,2007-08-01,PHASE2|PHASE3,Amsterdam Molecular Therapeutics,"Safety and Efficacy in LPL-Deficient Subjects of AMT-011, an Adeno-Associated Viral Vector Expressing Human Lipoprotein Lipase [S447X]",,,,,2007-08-01,NCT01109498,,2012-10-25,2012-10-25,5.23,,verified-from-data,2026-09-04,earliest matched trial is PHASE2|PHASE3: an earlier unregistered phase 1 is possible,
zalmoxis,Zalmoxis,gene-modified T cells,Zalmoxis OR HSV-TK,Zalmoxis|HSV-?TK,AGC Biologics,2,NCT00423124,2002-07-01,PHASE1|PHASE2,AGC Biologics S.p.A.,Infusion of Donor Lymphocytes Transduced With the Suicide Gene HSV TK in Patients With Haematological Malignancies,NCT00423124,2002-07-01,AGC Biologics S.p.A.,Infusion of Donor Lymphocytes Transduced With the Suicide Gene HSV TK in Patients With Haematological Malignancies,2002-07-01,NCT00423124,,2016-08-18,2016-08-18,14.13,,verified-from-data,2026-09-04,,MolMed became AGC Biologics; TK007 (2002) is the origin
alofisel,Alofisel,allogeneic MSC,darvadstrocel OR Cx601,darvadstrocel|Cx-?601|Alofisel,,7,NCT01372969,2009-06-01,PHASE1|PHASE2,Tigenix S.A.U.,"Study to Assess the Safety and Efficacy of Expanded Allogenic Adipose-derived Stem Cells (eASCs) (Cx601), for Treatment of Complex Perianal Fistulas in Perianal Crohn's Disease.",,,,,2009-06-01,NCT01372969,,2018-03-23,2018-03-23,8.81,,verified-from-data,2026-09-04,,
ebvallo,Ebvallo,allogeneic EBV-specific T cells,tabelecleucel OR ATA129,tabelecleucel|ATA-?129|EBV-?specific,,7,NCT00953420,2009-11-01,PHASE2,Baylor College of Medicine,Carboplatin and Docetaxel Followed by Epstein-Barr Virus Cytotoxic T Lymphocytes,NCT00002663,1995-03-01,Atara Biotherapeutics,"Biological Therapy in Treating Patients at High-Risk or With Lymphoma, Lymphoproliferative Disease, or Malignancies",1995-03-01,NCT00002663,,2022-12-16,2022-12-16,27.79,,verified-from-data,2026-09-04,,MSK EBV-specific T-cell trials of the 1990s are the origin; unregistered before 1999
