product,proper_name,sponsor,indication_seed,platform_class,genetic_modification,fda_year_seed,eu_year_seed,in_fda_list_2026-08-18,public_sales_seed,post_approval_event_seed,notes,membership_source,dates_verified,date_source,fda_approval_date,fda_pathway,fda_source_url,fda_status,fda_post_approval_event,fda_event_date,fda_event_source_url,eu_authorisation_date,eu_authorisation_type,eu_withdrawn_date,eu_source_url,eu_status,fetched_date
Genglycos,pariglasgene brecaparvovec,Ultragenyx,glycogen storage disease type Ia,AAV systemic,yes,,,yes,yes,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/genglycos; https://www.ema.europa.eu/en/medicines?search_api_fulltext=pariglasgene,2026-08-19,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/genglycos,verified-from-source,none found on fda.gov (approved 2026-08-19),,,,none,,https://www.ema.europa.eu/en/medicines?search_api_fulltext=pariglasgene,not-found,2026-09-04
Hemgenix,etranacogene dezaparvovec,CSL Behring / uniQure,haemophilia B,AAV systemic,yes,2022,2023,yes,annual,slow uptake,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/vaccines/hemgenix; https://www.ema.europa.eu/en/medicines/human/EPAR/hemgenix,2022-11-22,standard,https://www.fda.gov/vaccines-blood-biologics/vaccines/hemgenix,verified-from-source,none found on fda.gov,,,2023-02-20,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/hemgenix,verified-from-source,2026-09-04
Imlygic,talimogene laherparepvec,Amgen / BioVex,melanoma,oncolytic HSV,yes,2015,2015,yes,"yes, small",,oncolytic precedent,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",partial,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/imlygic; https://www.ema.europa.eu/en/medicines/human/EPAR/imlygic,2015-10-27,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/imlygic,provisional-from-snippet,,,,2015-12-16,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/imlygic,verified-from-source,2026-09-04
Itvisma,onasemnogene abeparvovec intrathecal,Novartis Gene Therapies,spinal muscular atrophy,AAV intrathecal,yes,,,yes,yes,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/itvisma; https://www.ema.europa.eu/en/medicines/human/EPAR/itvisma,2025-11-24,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/itvisma,verified-from-source,,,,2026-06-30,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/itvisma,verified-from-source,2026-09-04
Kebilidi / Upstaza,eladocagene exuparvovec,PTC Therapeutics,AADC deficiency,AAV intraputaminal,yes,2024,2022,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/kebilidi; https://www.ema.europa.eu/en/medicines/human/EPAR/upstaza,2024-11-13,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/kebilidi,verified-from-source,,,,2022-07-18,exceptional circumstances,,https://www.ema.europa.eu/en/medicines/human/EPAR/upstaza,verified-from-source,2026-09-04
Kresladi,marnetegragene autotemcel,Rocket Pharmaceuticals,leukocyte adhesion deficiency type I,lentiviral ex vivo,yes,,,yes,yes,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/kresladi; https://www.ema.europa.eu/en/medicines/human/EPAR/,2026-03-26,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/kresladi,verified-from-source,,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04
Kymriah,tisagenlecleucel,Novartis,"B-ALL, LBCL, FL",autologous CAR-T,yes,2017,2018,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/kymriah; https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah,2017-08-30,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/kymriah,verified-from-source,Boxed Warning updated to add risk of T cell malignancies (class-wide FDA action for BCMA- and CD19-directed autologous CAR T therapies),2024-04-12,https://www.fda.gov/media/178030/download,2018-08-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/kymriah,verified-from-source,2026-09-04
Lantidra,donislecel,CellTrans,type 1 diabetes,allogeneic islet cells,no,2023,,yes,private,,non-genetic; comparator class,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/lantidra; https://www.ema.europa.eu/en/medicines/human/EPAR/lantidra,2023-06-28,"standard BLA approval (date string: ""June 28, 2023 Approval Letter - LANTIDRA""; ""June 28, 2023 Summary Basis for Regulatory Action - LANTIDRA"")",https://www.fda.gov/vaccines-blood-biologics/lantidra,verified-from-source,none found,,,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/lantidra,not-found,2026-09-04
Lenmeldy / Libmeldy,atidarsagene autotemcel,Orchard / Kyowa Kirin,metachromatic leukodystrophy,lentiviral ex vivo,yes,2024,2020,yes,limited,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/lenmeldy; https://www.ema.europa.eu/en/medicines/human/EPAR/libmeldy,2024-03-18,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/lenmeldy,verified-from-source,,,,2020-12-17,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/libmeldy,verified-from-source,2026-09-04
Luxturna,voretigene neparvovec,Spark / Roche; Novartis ex-US,RPE65 retinal dystrophy,AAV subretinal,yes,2017,2018,yes,yes,near-complete uptake of small pool,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/luxturna; https://www.ema.europa.eu/en/medicines/human/EPAR/luxturna,2017-12-19,traditional approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/luxturna,verified-from-source,,,,2018-11-22,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/luxturna,verified-from-source,2026-09-04
Lyfgenia,lovotibeglogene autotemcel,bluebird bio,sickle cell disease,lentiviral ex vivo,yes,2023,,yes,to 2025,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/lyfgenia; https://www.ema.europa.eu/en/medicines/human/EPAR/,2023-12-08,traditional approval,https://www.fda.gov/vaccines-blood-biologics/lyfgenia,verified-from-source,Boxed Warning for hematologic malignancy present in the label from initial approval (not a later addition),2023-12-08,https://www.fda.gov/vaccines-blood-biologics/lyfgenia,not-applicable,,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04
Omisirge,omidubicel,Gamida Cell,cord blood expansion for HSCT,expanded cord blood,no,2023,,yes,company wound down 2024,,non-genetic; comparator class,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/omisirge; https://www.ema.europa.eu/en/medicines/human/EPAR/omisirge,2023-04-17,"standard BLA approval (date string: ""April 17, 2023 Approval Letter - OMISIRGE""; ""April 17, 2023 Summary Basis for Regulatory Action - OMISIRGE"")",https://www.fda.gov/vaccines-blood-biologics/omisirge,verified-from-source,"no withdrawal or label restriction; indication EXPANDED - supplemental approvals dated December 5, 2025 (severe aplastic anemia) and February 11, 2026",2025-12-05,https://www.fda.gov/vaccines-blood-biologics/omisirge,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/omisirge,not-found,2026-09-04
Otarmeni,lunsotogene parvec,Regeneron,otoferlin-related hearing loss,"AAV dual vector, intracochlear",yes,,,yes,yes,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/otarmeni; https://www.ema.europa.eu/en/medicines/human/EPAR/,2026-04-23,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/otarmeni,verified-from-source,,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04
Papzimeos,zopapogene imadenovec,Precigen,recurrent respiratory papillomatosis,adenoviral immunotherapy,yes,2025,,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/papzimeos; https://www.ema.europa.eu/en/medicines/human/EPAR/,2025-08-14,traditional approval (full approval),https://www.fda.gov/vaccines-blood-biologics/papzimeos,verified-from-source,Later supplement approval letter (content not characterised on the FDA page),2026-02-25,https://www.fda.gov/vaccines-blood-biologics/papzimeos,not-applicable,,,https://www.ema.europa.eu/en/medicines/human/EPAR/,not-found,2026-09-04
Roctavian,valoctocogene roxaparvovec,BioMarin,haemophilia A,AAV systemic,yes,2023,2022,yes,yes,minimal uptake; divestment explored 2025,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/roctavian; https://www.ema.europa.eu/en/medicines/human/EPAR/roctavian,2023-06-30,traditional approval,https://www.fda.gov/vaccines-blood-biologics/roctavian,verified-from-source,Voluntary commercial withdrawal from the market by BioMarin (not a safety or efficacy action); supply ends end of May 2026,2026-02-23,https://www.biomarin.com/news/company-statements/biomarin-voluntarily-withdraws-roctavian-from-the-market/,2022-08-24,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/roctavian,verified-from-source,2026-09-04
Ryoncil,remestemcel-L,Mesoblast,paediatric steroid-refractory acute GVHD,mesenchymal stromal cells,no,2024,,yes,yes,,non-genetic; comparator class,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/ryoncil; https://www.ema.europa.eu/en/medicines/human/EPAR/ryoncil,2024-12-19,"standard BLA approval (date string: ""December 19, 2024 Approval Letter - RYONCIL"")",https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/ryoncil,verified-from-source,none found,,,none,none - no EMA centrally authorised medicine,,https://www.ema.europa.eu/en/medicines/human/EPAR/ryoncil,not-found,2026-09-04
Skysona,elivaldogene autotemcel,bluebird bio,cerebral adrenoleukodystrophy,lentiviral ex vivo,yes,2022,2021,yes,to 2025,EU withdrawal 2021; haematologic malignancy warnings,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/skysona; https://www.ema.europa.eu/en/medicines/human/EPAR/skysona,2022-09-16,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/skysona,verified-from-source,"Required labeling changes for increased risk of hematologic malignancy; updates to Boxed Warning, Indications and Usage, Warnings and Precautions (malignancy rate revised from 4% to 15%, 10/67 trial participants)",2025-08-07,https://www.fda.gov/vaccines-blood-biologics/fda-approves-required-labeling-changes-increased-risk-hematologic-malignancy-following-treatment,2021-07-16,standard (EMA page does not mark it conditional or exceptional-circumstances),2021-11-18,https://www.ema.europa.eu/en/medicines/human/EPAR/skysona,verified-from-source,2026-09-04
Tecartus,brexucabtagene autoleucel,Kite / Gilead,"MCL, B-ALL",autologous CAR-T,yes,2020,2020,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecartus; https://www.ema.europa.eu/en/medicines/human/EPAR/tecartus,2020-07-24,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecartus,verified-from-source,Boxed warning updated to add T cell malignancies (class-wide CAR-T safety labeling change); separately REMS eliminated 2025-06-26,2024-01-23,https://www.fda.gov/media/175652/download,2020-12-14,conditional,,https://www.ema.europa.eu/en/medicines/human/EPAR/tecartus,verified-from-source,2026-09-04
Tecelra,afamitresgene autoleucel,Adaptimmune,synovial sarcoma,TCR-T,yes,2024,,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecelra; https://www.ema.europa.eu/en/medicines/human/EPAR/tecelra,2024-08-01,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/tecelra,verified-from-source,Later approval letter 2026-06-17 (supplement); no withdrawal or label restriction found,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tecelra,not-found,2026-09-04
Tregzi,allogeneic regulatory T cell immunotherapy with HSPC and T cells,Orca Biosystems,"haematologic malignancies, allogeneic HSCT",allogeneic Treg cell therapy,no,,,yes,private,,"added from FDA list; approval year unknown, verify; non-genetic","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/tregzi; https://www.ema.europa.eu/en/medicines/human/EPAR/tregzi,2026-07-01,standard approval (no accelerated-approval statement on FDA page),https://www.fda.gov/vaccines-blood-biologics/tregzi,verified-from-source,none found,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tregzi,not-found,2026-09-04
Tudriqev,vusolimogene oderparepvec,Replimune,melanoma,oncolytic HSV,yes,,,yes,yes,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/tudriqev; https://www.ema.europa.eu/en/medicines/human/EPAR/tudriqev,2026-08-06,accelerated approval,https://www.fda.gov/vaccines-blood-biologics/tudriqev,verified-from-source,Approved under accelerated approval based on ORR and duration of response; continued approval contingent on confirmatory trial(s),2026-08-06,https://www.fda.gov/vaccines-blood-biologics/tudriqev,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/tudriqev,not-found,2026-09-04
Vyjuvek,beremagene geperpavec,Krystal Biotech,dystrophic epidermolysis bullosa,HSV topical,yes,2023,2025,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/vyjuvek; https://www.ema.europa.eu/en/medicines/human/EPAR/vyjuvek,2023-05-19,standard approval (BLA; no accelerated-approval statement),https://www.fda.gov/vaccines-blood-biologics/vyjuvek,verified-from-source,Later approval letters 2023-08-07 and 2025-09-12 (supplements); no label restriction or withdrawal found,,,2025-04-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/vyjuvek,verified-from-source,2026-09-04
Waskyra,etuvetidigene autotemcel,Fondazione Telethon,Wiskott-Aldrich syndrome,lentiviral ex vivo,yes,,,yes,non-profit sponsor,,"added from FDA list; approval year unknown, verify","S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/waskyra; https://www.ema.europa.eu/en/medicines/human/EPAR/waskyra,2025-12-09,standard approval (no accelerated-approval statement on FDA page),https://www.fda.gov/vaccines-blood-biologics/waskyra,verified-from-source,none found,,,2026-01-09,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/waskyra,verified-from-source,2026-09-04
Yescarta,axicabtagene ciloleucel,Kite / Gilead,"LBCL, FL",autologous CAR-T,yes,2017,2018,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/yescarta; https://www.ema.europa.eu/en/medicines/human/EPAR/yescarta,2017-10-18,regular (non-accelerated) approval for r/r large B-cell lymphoma; the follicular lymphoma indication added later was under accelerated approval,https://www.fda.gov/vaccines-blood-biologics/cellular-gene-therapy-products/yescarta,verified-from-source,Boxed warning updated to add T cell malignancies (class-wide CAR-T safety labeling change); separately REMS eliminated 2025-06-26,2024-01-19,https://www.fda.gov/media/175627/download,2018-08-23,standard,,https://www.ema.europa.eu/en/medicines/human/EPAR/yescarta,verified-from-source,2026-09-04
Zevaskyn,prademagene zamikeracel,Abeona,recessive dystrophic epidermolysis bullosa,gene-modified keratinocyte sheets,yes,2025,,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/zevaskyn; https://www.ema.europa.eu/en/medicines/human/EPAR/zevaskyn,2025-04-28,standard approval (no accelerated-approval statement on FDA page),https://www.fda.gov/vaccines-blood-biologics/zevaskyn,verified-from-source,none found,,,,not-applicable,,https://www.ema.europa.eu/en/medicines/human/EPAR/zevaskyn,not-found,2026-09-04
Zolgensma,onasemnogene abeparvovec,Novartis Gene Therapies,spinal muscular atrophy,AAV systemic,yes,2019,2020,yes,yes,,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/zolgensma; https://www.ema.europa.eu/en/medicines/human/EPAR/zolgensma,2019-05-24,standard approval (priority review / breakthrough; not accelerated approval),https://www.fda.gov/vaccines-blood-biologics/zolgensma,verified-from-source,"Label carries a boxed warning for SERIOUS LIVER INJURY and ACUTE LIVER FAILURE, with fatal acute liver failure reported post-marketing; multiple later approval letters (latest 2026-06-16)",,https://www.fda.gov/media/126109/download,2020-05-18,"conditional, converted to full marketing authorisation on 2022-05-17",,https://www.ema.europa.eu/en/medicines/human/EPAR/zolgensma,verified-from-source,2026-09-04
Zynteglo,betibeglogene autotemcel,bluebird bio,transfusion-dependent thalassaemia,lentiviral ex vivo,yes,2022,2019,yes,to 2025,EU withdrawal 2021; US outcomes-based agreement,,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",yes,https://www.fda.gov/vaccines-blood-biologics/zynteglo; https://www.ema.europa.eu/en/medicines/human/EPAR/zynteglo,2022-08-17,standard approval (no accelerated-approval statement; FDA press release describes it as first cell-based gene therapy for beta-thalassemia),https://www.fda.gov/vaccines-blood-biologics/zynteglo,verified-from-source,none found,,,2019-05-29,conditional,2022-03-24,https://www.ema.europa.eu/en/medicines/human/EPAR/zynteglo,verified-from-source,2026-09-04
Provenge,sipuleucel-T,Dendreon,prostate cancer,autologous cellular immunotherapy,no,2010,,yes,yes,,non-genetic; historical comparator,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",partial,http://wayback.archive-it.org/7993/20170722071307/https://www.fda.gov/BiologicsBloodVaccines/CellularGeneTherapyProducts/ApprovedProducts/ucm210012.htm; https://www.ema.europa.eu/en/medicines/human/EPAR/provenge,2010-04-29,"standard BLA approval, STN BL 125197 (date string: ""April 29, 2010 Approval Letter"")",http://wayback.archive-it.org/7993/20170722071307/https://www.fda.gov/BiologicsBloodVaccines/CellularGeneTherapyProducts/ApprovedProducts/ucm210012.htm,provisional-from-snippet,none found (product remains licensed; Dendreon commercial history separate from label action),,,2013-09-06,standard (ATMP),2015-05-06,https://www.ema.europa.eu/en/medicines/human/EPAR/provenge,verified-from-source,2026-09-04
Laviv,azficel-T,Fibrocell,nasolabial fold wrinkles,autologous fibroblasts,no,2011,,yes,,,non-genetic; out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
MACI,autologous cultured chondrocytes,Vericel,cartilage defects,tissue engineered,no,2016,,yes,yes,,out of scope,"S22: FDA approved cellular and gene therapy products page, dated 2026-08-18, fetched 2026-09-04",out-of-scope,,,,,,,,,,,,,,
