endpoint,system,months,cif_funded,cif_competing,km_funded_competing_censored,n_at_risk_after
primary,Canada,0,0.0,0.0714,0.0,13
primary,Canada,1,0.0,0.0714,0.0,13
primary,Canada,2,0.0,0.0714,0.0,13
primary,Canada,3,0.0,0.0714,0.0,13
primary,Canada,4,0.0,0.0714,0.0,13
primary,Canada,5,0.0,0.0714,0.0,13
primary,Canada,6,0.0,0.0714,0.0,12
primary,Canada,7,0.0,0.0714,0.0,12
primary,Canada,8,0.0,0.0714,0.0,12
primary,Canada,9,0.0,0.0714,0.0,12
primary,Canada,10,0.0774,0.0714,0.0833,11
primary,Canada,11,0.0774,0.0714,0.0833,11
primary,Canada,12,0.0774,0.0714,0.0833,11
primary,Canada,13,0.0774,0.0714,0.0833,10
primary,Canada,14,0.0774,0.0714,0.0833,10
primary,Canada,15,0.0774,0.0714,0.0833,10
primary,Canada,16,0.0774,0.1565,0.0833,9
primary,Canada,17,0.0774,0.1565,0.0833,9
primary,Canada,18,0.1625,0.1565,0.1852,8
primary,Canada,19,0.1625,0.1565,0.1852,8
primary,Canada,20,0.2476,0.1565,0.287,7
primary,Canada,21,0.2476,0.1565,0.287,7
primary,Canada,22,0.2476,0.1565,0.287,7
primary,Canada,23,0.3327,0.1565,0.3889,6
primary,Canada,24,0.4179,0.1565,0.4907,4
primary,Canada,25,0.4179,0.1565,0.4907,4
primary,Canada,26,0.4179,0.1565,0.4907,4
primary,Canada,27,0.4179,0.1565,0.4907,4
primary,Canada,28,0.4179,0.1565,0.4907,4
primary,Canada,29,0.4179,0.1565,0.4907,4
primary,Canada,30,0.4179,0.1565,0.4907,4
primary,Canada,31,0.4179,0.1565,0.4907,4
primary,Canada,32,0.4179,0.2629,0.4907,3
primary,Canada,33,0.4179,0.2629,0.4907,3
primary,Canada,34,0.4179,0.2629,0.4907,3
primary,Canada,35,0.4179,0.2629,0.4907,3
primary,Canada,36,0.4179,0.2629,0.4907,3
primary,Canada,37,0.4179,0.2629,0.4907,3
primary,Canada,38,0.4179,0.2629,0.4907,3
primary,Canada,39,0.4179,0.2629,0.4907,3
primary,Canada,40,0.4179,0.2629,0.4907,3
primary,Canada,41,0.4179,0.2629,0.4907,3
primary,Canada,42,0.4179,0.2629,0.4907,3
primary,Canada,43,0.4179,0.2629,0.4907,3
primary,Canada,44,0.4179,0.2629,0.4907,3
primary,Canada,45,0.4179,0.2629,0.4907,3
primary,Canada,46,0.4179,0.2629,0.4907,3
primary,Canada,47,0.4179,0.2629,0.4907,3
primary,Canada,48,0.4179,0.2629,0.4907,3
primary,Canada,49,0.4179,0.2629,0.4907,3
primary,Canada,50,0.4179,0.2629,0.4907,3
primary,Canada,51,0.4179,0.2629,0.4907,3
primary,Canada,52,0.4179,0.2629,0.4907,3
primary,Canada,53,0.4179,0.2629,0.4907,3
primary,Canada,54,0.4179,0.2629,0.4907,3
primary,Canada,55,0.4179,0.2629,0.4907,3
primary,Canada,56,0.4179,0.2629,0.4907,3
primary,Canada,57,0.4179,0.2629,0.4907,3
primary,Canada,58,0.4179,0.2629,0.4907,3
primary,Canada,59,0.4179,0.2629,0.4907,3
primary,Canada,60,0.4179,0.2629,0.4907,3
primary,Canada,61,0.4179,0.2629,0.4907,3
primary,Canada,62,0.4179,0.2629,0.4907,3
primary,Canada,63,0.4179,0.2629,0.4907,3
primary,Canada,64,0.4179,0.2629,0.4907,3
primary,Canada,65,0.4179,0.2629,0.4907,3
primary,Canada,66,0.4179,0.2629,0.4907,3
primary,Canada,67,0.5243,0.2629,0.6605,2
primary,Canada,68,0.5243,0.2629,0.6605,2
primary,Canada,69,0.5243,0.2629,0.6605,2
primary,Canada,70,0.5243,0.2629,0.6605,2
primary,Canada,71,0.5243,0.2629,0.6605,2
primary,Canada,72,0.5243,0.2629,0.6605,2
primary,Canada,73,0.5243,0.2629,0.6605,2
primary,Canada,74,0.5243,0.2629,0.6605,2
primary,Canada,75,0.5243,0.2629,0.6605,2
primary,Canada,76,0.5243,0.2629,0.6605,2
primary,Canada,77,0.5243,0.2629,0.6605,2
primary,Canada,78,0.5243,0.2629,0.6605,2
primary,Canada,79,0.5243,0.2629,0.6605,2
primary,Canada,80,0.5243,0.2629,0.6605,2
primary,Canada,81,0.5243,0.2629,0.6605,2
primary,Canada,82,0.6307,0.2629,0.8302,1
primary,Canada,83,0.6307,0.2629,0.8302,1
primary,Canada,84,0.6307,0.2629,0.8302,1
primary,Canada,85,0.6307,0.2629,0.8302,1
primary,Canada,86,0.6307,0.2629,0.8302,1
primary,Canada,87,0.6307,0.2629,0.8302,0
primary,Canada,88,0.6307,0.2629,0.8302,0
primary,Canada,89,0.6307,0.2629,0.8302,0
primary,Canada,90,0.6307,0.2629,0.8302,0
primary,Canada,91,0.6307,0.2629,0.8302,0
primary,Canada,92,0.6307,0.2629,0.8302,0
primary,Canada,93,0.6307,0.2629,0.8302,0
primary,Canada,94,0.6307,0.2629,0.8302,0
primary,Canada,95,0.6307,0.2629,0.8302,0
primary,Canada,96,0.6307,0.2629,0.8302,0
primary,Canada,97,0.6307,0.2629,0.8302,0
primary,Canada,98,0.6307,0.2629,0.8302,0
primary,Canada,99,0.6307,0.2629,0.8302,0
primary,Canada,100,0.6307,0.2629,0.8302,0
primary,Canada,101,0.6307,0.2629,0.8302,0
primary,Canada,102,0.6307,0.2629,0.8302,0
primary,Canada,103,0.6307,0.2629,0.8302,0
primary,Canada,104,0.6307,0.2629,0.8302,0
primary,Canada,105,0.6307,0.2629,0.8302,0
primary,Canada,106,0.6307,0.2629,0.8302,0
primary,Canada,107,0.6307,0.2629,0.8302,0
primary,Canada,108,0.6307,0.2629,0.8302,0
primary,Canada,109,0.6307,0.2629,0.8302,0
primary,Canada,110,0.6307,0.2629,0.8302,0
primary,Canada,111,0.6307,0.2629,0.8302,0
primary,Canada,112,0.6307,0.2629,0.8302,0
primary,Canada,113,0.6307,0.2629,0.8302,0
primary,Canada,114,0.6307,0.2629,0.8302,0
primary,Canada,115,0.6307,0.2629,0.8302,0
primary,Canada,116,0.6307,0.2629,0.8302,0
primary,Canada,117,0.6307,0.2629,0.8302,0
primary,Canada,118,0.6307,0.2629,0.8302,0
primary,Canada,119,0.6307,0.2629,0.8302,0
primary,Canada,120,0.6307,0.2629,0.8302,0
primary,England,0,0.0,0.0,0.0,28
primary,England,1,0.0,0.0,0.0,28
primary,England,2,0.0,0.0,0.0,28
primary,England,3,0.037,0.0,0.037,26
primary,England,4,0.0756,0.0,0.0756,24
primary,England,5,0.1526,0.0385,0.1559,21
primary,England,6,0.1526,0.0385,0.1559,21
primary,England,7,0.1526,0.0385,0.1559,21
primary,England,8,0.1911,0.0385,0.1961,19
primary,England,9,0.2317,0.0385,0.2384,18
primary,England,10,0.2722,0.1196,0.2808,15
primary,England,11,0.3127,0.1602,0.3321,13
primary,England,12,0.3127,0.2007,0.3321,12
primary,England,13,0.3127,0.2007,0.3321,12
primary,England,14,0.3533,0.2007,0.3878,11
primary,England,15,0.3533,0.2007,0.3878,11
primary,England,16,0.3938,0.2007,0.4434,10
primary,England,17,0.3938,0.2007,0.4434,9
primary,England,18,0.4389,0.2458,0.5053,7
primary,England,19,0.4389,0.2458,0.5053,7
primary,England,20,0.4389,0.2458,0.5053,7
primary,England,21,0.4839,0.2458,0.576,6
primary,England,22,0.4839,0.2458,0.576,6
primary,England,23,0.4839,0.2458,0.576,6
primary,England,24,0.4839,0.2458,0.576,6
primary,England,25,0.4839,0.2458,0.576,6
primary,England,26,0.4839,0.2458,0.576,6
primary,England,27,0.4839,0.2458,0.576,6
primary,England,28,0.4839,0.2908,0.576,5
primary,England,29,0.4839,0.2908,0.576,5
primary,England,30,0.4839,0.2908,0.576,5
primary,England,31,0.4839,0.2908,0.576,5
primary,England,32,0.4839,0.2908,0.576,5
primary,England,33,0.4839,0.2908,0.576,5
primary,England,34,0.4839,0.3359,0.576,4
primary,England,35,0.4839,0.3359,0.576,4
primary,England,36,0.529,0.3359,0.682,3
primary,England,37,0.529,0.3359,0.682,3
primary,England,38,0.529,0.3809,0.682,2
primary,England,39,0.529,0.3809,0.682,2
primary,England,40,0.529,0.3809,0.682,2
primary,England,41,0.529,0.3809,0.682,2
primary,England,42,0.529,0.3809,0.682,2
primary,England,43,0.529,0.3809,0.682,2
primary,England,44,0.529,0.3809,0.682,2
primary,England,45,0.529,0.3809,0.682,2
primary,England,46,0.529,0.3809,0.682,2
primary,England,47,0.529,0.3809,0.682,2
primary,England,48,0.529,0.3809,0.682,2
primary,England,49,0.529,0.3809,0.682,1
primary,England,50,0.529,0.3809,0.682,1
primary,England,51,0.529,0.3809,0.682,1
primary,England,52,0.529,0.3809,0.682,1
primary,England,53,0.529,0.3809,0.682,1
primary,England,54,0.529,0.3809,0.682,1
primary,England,55,0.529,0.3809,0.682,1
primary,England,56,0.529,0.3809,0.682,1
primary,England,57,0.529,0.3809,0.682,1
primary,England,58,0.529,0.3809,0.682,1
primary,England,59,0.529,0.3809,0.682,1
primary,England,60,0.529,0.3809,0.682,1
primary,England,61,0.529,0.471,0.682,0
primary,England,62,0.529,0.471,0.682,0
primary,England,63,0.529,0.471,0.682,0
primary,England,64,0.529,0.471,0.682,0
primary,England,65,0.529,0.471,0.682,0
primary,England,66,0.529,0.471,0.682,0
primary,England,67,0.529,0.471,0.682,0
primary,England,68,0.529,0.471,0.682,0
primary,England,69,0.529,0.471,0.682,0
primary,England,70,0.529,0.471,0.682,0
primary,England,71,0.529,0.471,0.682,0
primary,England,72,0.529,0.471,0.682,0
primary,England,73,0.529,0.471,0.682,0
primary,England,74,0.529,0.471,0.682,0
primary,England,75,0.529,0.471,0.682,0
primary,England,76,0.529,0.471,0.682,0
primary,England,77,0.529,0.471,0.682,0
primary,England,78,0.529,0.471,0.682,0
primary,England,79,0.529,0.471,0.682,0
primary,England,80,0.529,0.471,0.682,0
primary,England,81,0.529,0.471,0.682,0
primary,England,82,0.529,0.471,0.682,0
primary,England,83,0.529,0.471,0.682,0
primary,England,84,0.529,0.471,0.682,0
primary,England,85,0.529,0.471,0.682,0
primary,England,86,0.529,0.471,0.682,0
primary,England,87,0.529,0.471,0.682,0
primary,England,88,0.529,0.471,0.682,0
primary,England,89,0.529,0.471,0.682,0
primary,England,90,0.529,0.471,0.682,0
primary,England,91,0.529,0.471,0.682,0
primary,England,92,0.529,0.471,0.682,0
primary,England,93,0.529,0.471,0.682,0
primary,England,94,0.529,0.471,0.682,0
primary,England,95,0.529,0.471,0.682,0
primary,England,96,0.529,0.471,0.682,0
primary,England,97,0.529,0.471,0.682,0
primary,England,98,0.529,0.471,0.682,0
primary,England,99,0.529,0.471,0.682,0
primary,England,100,0.529,0.471,0.682,0
primary,England,101,0.529,0.471,0.682,0
primary,England,102,0.529,0.471,0.682,0
primary,England,103,0.529,0.471,0.682,0
primary,England,104,0.529,0.471,0.682,0
primary,England,105,0.529,0.471,0.682,0
primary,England,106,0.529,0.471,0.682,0
primary,England,107,0.529,0.471,0.682,0
primary,England,108,0.529,0.471,0.682,0
primary,England,109,0.529,0.471,0.682,0
primary,England,110,0.529,0.471,0.682,0
primary,England,111,0.529,0.471,0.682,0
primary,England,112,0.529,0.471,0.682,0
primary,England,113,0.529,0.471,0.682,0
primary,England,114,0.529,0.471,0.682,0
primary,England,115,0.529,0.471,0.682,0
primary,England,116,0.529,0.471,0.682,0
primary,England,117,0.529,0.471,0.682,0
primary,England,118,0.529,0.471,0.682,0
primary,England,119,0.529,0.471,0.682,0
primary,England,120,0.529,0.471,0.682,0
primary,France,0,0.1786,0.0,0.1786,23
primary,France,1,0.1786,0.0,0.1786,23
primary,France,2,0.1786,0.0,0.1786,23
primary,France,3,0.1786,0.0,0.1786,22
primary,France,4,0.1786,0.0,0.1786,21
primary,France,5,0.2177,0.0782,0.2218,18
primary,France,6,0.2568,0.0782,0.265,17
primary,France,7,0.2568,0.0782,0.265,17
primary,France,8,0.2568,0.0782,0.265,16
primary,France,9,0.2568,0.0782,0.265,16
primary,France,10,0.2984,0.1614,0.311,13
primary,France,11,0.3399,0.2029,0.364,11
primary,France,12,0.3399,0.2029,0.364,11
primary,France,13,0.3399,0.2029,0.364,11
primary,France,14,0.3399,0.2029,0.364,10
primary,France,15,0.3399,0.2029,0.364,10
primary,France,16,0.3856,0.2029,0.4276,9
primary,France,17,0.3856,0.2029,0.4276,9
primary,France,18,0.4314,0.2029,0.4912,8
primary,France,19,0.4314,0.2029,0.4912,8
primary,France,20,0.4771,0.2486,0.5548,6
primary,France,21,0.4771,0.2486,0.5548,6
primary,France,22,0.4771,0.2486,0.5548,6
primary,France,23,0.4771,0.2486,0.5548,6
primary,France,24,0.4771,0.2486,0.5548,6
primary,France,25,0.4771,0.2486,0.5548,6
primary,France,26,0.4771,0.2486,0.5548,6
primary,France,27,0.4771,0.2486,0.5548,6
primary,France,28,0.4771,0.2486,0.5548,6
primary,France,29,0.4771,0.2486,0.5548,6
primary,France,30,0.4771,0.2486,0.5548,6
primary,France,31,0.4771,0.2486,0.5548,6
primary,France,32,0.4771,0.2486,0.5548,6
primary,France,33,0.4771,0.2486,0.5548,6
primary,France,34,0.4771,0.2486,0.5548,6
primary,France,35,0.4771,0.2486,0.5548,6
primary,France,36,0.4771,0.2486,0.5548,6
primary,France,37,0.4771,0.2943,0.5548,5
primary,France,38,0.4771,0.3401,0.5548,4
primary,France,39,0.4771,0.3401,0.5548,4
primary,France,40,0.4771,0.3401,0.5548,4
primary,France,41,0.4771,0.3401,0.5548,4
primary,France,42,0.4771,0.3401,0.5548,4
primary,France,43,0.4771,0.3401,0.5548,4
primary,France,44,0.4771,0.3401,0.5548,4
primary,France,45,0.4771,0.3401,0.5548,4
primary,France,46,0.4771,0.3401,0.5548,4
primary,France,47,0.4771,0.3401,0.5548,4
primary,France,48,0.4771,0.3401,0.5548,4
primary,France,49,0.4771,0.3401,0.5548,3
primary,France,50,0.4771,0.3401,0.5548,3
primary,France,51,0.4771,0.3401,0.5548,3
primary,France,52,0.4771,0.3401,0.5548,2
primary,France,53,0.4771,0.3401,0.5548,2
primary,France,54,0.4771,0.3401,0.5548,2
primary,France,55,0.4771,0.3401,0.5548,2
primary,France,56,0.4771,0.3401,0.5548,2
primary,France,57,0.4771,0.3401,0.5548,2
primary,France,58,0.4771,0.3401,0.5548,2
primary,France,59,0.4771,0.3401,0.5548,2
primary,France,60,0.4771,0.3401,0.5548,2
primary,France,61,0.4771,0.3401,0.5548,2
primary,France,62,0.4771,0.3401,0.5548,2
primary,France,63,0.4771,0.3401,0.5548,2
primary,France,64,0.4771,0.3401,0.5548,2
primary,France,65,0.4771,0.3401,0.5548,2
primary,France,66,0.4771,0.3401,0.5548,2
primary,France,67,0.4771,0.3401,0.5548,2
primary,France,68,0.4771,0.3401,0.5548,2
primary,France,69,0.4771,0.3401,0.5548,2
primary,France,70,0.4771,0.3401,0.5548,2
primary,France,71,0.4771,0.3401,0.5548,2
primary,France,72,0.4771,0.3401,0.5548,2
primary,France,73,0.4771,0.3401,0.5548,2
primary,France,74,0.4771,0.3401,0.5548,2
primary,France,75,0.4771,0.3401,0.5548,2
primary,France,76,0.4771,0.3401,0.5548,2
primary,France,77,0.4771,0.3401,0.5548,2
primary,France,78,0.4771,0.3401,0.5548,2
primary,France,79,0.4771,0.3401,0.5548,2
primary,France,80,0.4771,0.3401,0.5548,2
primary,France,81,0.4771,0.3401,0.5548,2
primary,France,82,0.4771,0.3401,0.5548,2
primary,France,83,0.4771,0.3401,0.5548,2
primary,France,84,0.4771,0.3401,0.5548,2
primary,France,85,0.4771,0.3401,0.5548,2
primary,France,86,0.4771,0.3401,0.5548,2
primary,France,87,0.4771,0.3401,0.5548,2
primary,France,88,0.4771,0.3401,0.5548,2
primary,France,89,0.4771,0.3401,0.5548,2
primary,France,90,0.4771,0.3401,0.5548,2
primary,France,91,0.4771,0.3401,0.5548,2
primary,France,92,0.4771,0.3401,0.5548,2
primary,France,93,0.4771,0.3401,0.5548,2
primary,France,94,0.4771,0.3401,0.5548,2
primary,France,95,0.4771,0.3401,0.5548,2
primary,France,96,0.4771,0.3401,0.5548,2
primary,France,97,0.4771,0.3401,0.5548,2
primary,France,98,0.4771,0.3401,0.5548,2
primary,France,99,0.4771,0.3401,0.5548,2
primary,France,100,0.4771,0.3401,0.5548,2
primary,France,101,0.4771,0.3401,0.5548,2
primary,France,102,0.4771,0.3401,0.5548,2
primary,France,103,0.4771,0.3401,0.5548,2
primary,France,104,0.4771,0.3401,0.5548,2
primary,France,105,0.4771,0.3401,0.5548,2
primary,France,106,0.4771,0.3401,0.5548,2
primary,France,107,0.4771,0.3401,0.5548,2
primary,France,108,0.4771,0.3401,0.5548,2
primary,France,109,0.4771,0.3401,0.5548,2
primary,France,110,0.4771,0.3401,0.5548,2
primary,France,111,0.4771,0.3401,0.5548,2
primary,France,112,0.4771,0.3401,0.5548,2
primary,France,113,0.4771,0.3401,0.5548,2
primary,France,114,0.4771,0.3401,0.5548,2
primary,France,115,0.4771,0.3401,0.5548,2
primary,France,116,0.4771,0.3401,0.5548,2
primary,France,117,0.4771,0.3401,0.5548,2
primary,France,118,0.4771,0.3401,0.5548,2
primary,France,119,0.4771,0.3401,0.5548,2
primary,France,120,0.4771,0.3401,0.5548,2
primary,Germany,0,0.0,0.0,0.0,28
primary,Germany,1,0.0,0.0,0.0,28
primary,Germany,2,0.0,0.0,0.0,28
primary,Germany,3,0.037,0.0,0.037,26
primary,Germany,4,0.037,0.0,0.037,25
primary,Germany,5,0.037,0.0385,0.037,24
primary,Germany,6,0.0756,0.0385,0.0772,23
primary,Germany,7,0.1526,0.0385,0.1574,21
primary,Germany,8,0.2317,0.0385,0.2398,18
primary,Germany,9,0.3127,0.0385,0.3242,16
primary,Germany,10,0.4344,0.0791,0.457,12
primary,Germany,11,0.5155,0.0791,0.5475,10
primary,Germany,12,0.556,0.1196,0.5927,8
primary,Germany,13,0.556,0.1196,0.5927,8
primary,Germany,14,0.556,0.1196,0.5927,7
primary,Germany,15,0.6024,0.1196,0.6509,6
primary,Germany,16,0.6024,0.1196,0.6509,6
primary,Germany,17,0.6487,0.1196,0.7091,5
primary,Germany,18,0.6487,0.1196,0.7091,5
primary,Germany,19,0.695,0.1196,0.7673,4
primary,Germany,20,0.7414,0.1196,0.8255,3
primary,Germany,21,0.7414,0.1196,0.8255,3
primary,Germany,22,0.7414,0.1196,0.8255,3
primary,Germany,23,0.7877,0.1196,0.8836,2
primary,Germany,24,0.7877,0.1196,0.8836,2
primary,Germany,25,0.7877,0.1196,0.8836,2
primary,Germany,26,0.7877,0.1196,0.8836,2
primary,Germany,27,0.7877,0.1196,0.8836,2
primary,Germany,28,0.7877,0.1196,0.8836,2
primary,Germany,29,0.7877,0.1196,0.8836,2
primary,Germany,30,0.7877,0.1196,0.8836,2
primary,Germany,31,0.8341,0.1196,0.9418,1
primary,Germany,32,0.8341,0.1196,0.9418,1
primary,Germany,33,0.8341,0.1196,0.9418,1
primary,Germany,34,0.8341,0.1196,0.9418,1
primary,Germany,35,0.8341,0.1196,0.9418,1
primary,Germany,36,0.8341,0.1196,0.9418,1
primary,Germany,37,0.8341,0.1196,0.9418,1
primary,Germany,38,0.8341,0.1196,0.9418,1
primary,Germany,39,0.8341,0.1196,0.9418,1
primary,Germany,40,0.8341,0.1196,0.9418,1
primary,Germany,41,0.8341,0.1196,0.9418,1
primary,Germany,42,0.8341,0.1196,0.9418,1
primary,Germany,43,0.8341,0.1196,0.9418,1
primary,Germany,44,0.8341,0.1196,0.9418,1
primary,Germany,45,0.8341,0.1196,0.9418,1
primary,Germany,46,0.8341,0.1196,0.9418,1
primary,Germany,47,0.8341,0.1196,0.9418,1
primary,Germany,48,0.8341,0.1196,0.9418,1
primary,Germany,49,0.8341,0.1196,0.9418,1
primary,Germany,50,0.8341,0.1196,0.9418,1
primary,Germany,51,0.8341,0.1196,0.9418,1
primary,Germany,52,0.8341,0.1196,0.9418,1
primary,Germany,53,0.8341,0.1196,0.9418,1
primary,Germany,54,0.8341,0.1196,0.9418,1
primary,Germany,55,0.8341,0.1196,0.9418,1
primary,Germany,56,0.8341,0.1196,0.9418,1
primary,Germany,57,0.8341,0.1196,0.9418,1
primary,Germany,58,0.8341,0.1196,0.9418,1
primary,Germany,59,0.8341,0.1196,0.9418,1
primary,Germany,60,0.8341,0.1196,0.9418,1
primary,Germany,61,0.8341,0.1196,0.9418,1
primary,Germany,62,0.8341,0.1196,0.9418,1
primary,Germany,63,0.8341,0.1196,0.9418,1
primary,Germany,64,0.8341,0.1196,0.9418,1
primary,Germany,65,0.8341,0.1196,0.9418,1
primary,Germany,66,0.8341,0.1196,0.9418,1
primary,Germany,67,0.8341,0.1196,0.9418,1
primary,Germany,68,0.8341,0.1196,0.9418,1
primary,Germany,69,0.8341,0.1196,0.9418,1
primary,Germany,70,0.8341,0.1196,0.9418,1
primary,Germany,71,0.8341,0.1196,0.9418,1
primary,Germany,72,0.8341,0.1196,0.9418,1
primary,Germany,73,0.8341,0.1196,0.9418,1
primary,Germany,74,0.8341,0.1196,0.9418,1
primary,Germany,75,0.8341,0.1196,0.9418,1
primary,Germany,76,0.8341,0.1196,0.9418,1
primary,Germany,77,0.8341,0.1196,0.9418,1
primary,Germany,78,0.8341,0.1196,0.9418,1
primary,Germany,79,0.8341,0.1196,0.9418,1
primary,Germany,80,0.8341,0.1196,0.9418,1
primary,Germany,81,0.8341,0.1196,0.9418,1
primary,Germany,82,0.8341,0.1196,0.9418,1
primary,Germany,83,0.8341,0.1196,0.9418,1
primary,Germany,84,0.8341,0.1196,0.9418,1
primary,Germany,85,0.8341,0.1196,0.9418,1
primary,Germany,86,0.8341,0.1196,0.9418,1
primary,Germany,87,0.8341,0.1196,0.9418,1
primary,Germany,88,0.8341,0.1196,0.9418,1
primary,Germany,89,0.8341,0.1196,0.9418,1
primary,Germany,90,0.8341,0.1196,0.9418,1
primary,Germany,91,0.8341,0.1196,0.9418,1
primary,Germany,92,0.8341,0.1196,0.9418,1
primary,Germany,93,0.8341,0.1196,0.9418,1
primary,Germany,94,0.8341,0.1196,0.9418,1
