hcpcs,product,short_description,dosage_unit,asp_file_quarter,payment_limit_usd,implied_asp_usd,units_per_treatment,implied_asp_per_treatment_usd,file_url,status,notes
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2025Q1,63402.043,59813.25,1,59813.25,https://www.cms.gov/files/zip/january-2025-asp-pricing-file-03/11/25-final-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2025Q2,63235.607,59656.23,1,59656.23,https://www.cms.gov/files/zip/april-2025-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2025Q3,63431.053,59840.62,1,59840.62,https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2025Q4,63342.282,59756.87,1,59756.87,https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2026Q1,64274.791,60636.60,1,60636.60,https://www.cms.gov/files/zip/january-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2026Q2,64282.299,60643.68,1,60643.68,https://www.cms.gov/files/zip/april-2026-medicare-part-b-payment-limit-files-final-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9029,Adstiladrin,"Instill adstiladrin, tx dose",PER THERAPEUTIC DOSE,2026Q3,64331.614,60690.20,1,60690.20,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2058,Aucatzyl,,,2026Q3,,,2,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code Q2058 effective 2025-07-01 but not listed in any CMS ASP/payment limit file examined (5 files: 2025Q3, 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: code is per infusion; label gives a split dose (day 1 and day 10), so one course = 2 billing units; not listed in any ASP file so no payment limit"
J1414,Beqvez / Durveqtix,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J1414 effective 2025-01-01 but not listed in any CMS ASP/payment limit file examined (7 files: 2025Q1, 2025Q2, 2025Q3, 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per therapeutic dose"
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2023Q3,454489.310,428763.50,1,428763.50,https://www.cms.gov/files/zip/july-2023-asp-pricing-file.zip,verified-from-source,"CMS note: Added July 2023; first ASP-file listing; code effective 2021-10-01; not listed in earlier files checked (2021Q4, 2022Q1, 2022Q2, 2022Q3, 2022Q4, 2023Q1, 2023Q2); implied_asp = payment_limit/1.06 (derived); units: per therapeutic dose = one infusion course"
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2023Q4,473458.426,446658.89,1,446658.89,https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2024Q1,473853.516,447031.62,1,447031.62,https://www.cms.gov/files/zip/january-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2024Q2,474060.620,447227.00,1,447227.00,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2024Q3,496390.205,468292.65,1,468292.65,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2024Q4,516726.076,487477.43,1,487477.43,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2025Q1,516485.967,487250.91,1,487250.91,https://www.cms.gov/files/zip/january-2025-asp-pricing-file-03/11/25-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2025Q2,516442.285,487209.70,1,487209.70,https://www.cms.gov/files/zip/april-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2025Q3,541635.657,510977.03,1,510977.03,https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2025Q4,562538.185,530696.40,1,530696.40,https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2026Q1,562201.242,530378.53,1,530378.53,https://www.cms.gov/files/zip/january-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2026Q2,562260.836,530434.75,1,530434.75,https://www.cms.gov/files/zip/april-2026-medicare-part-b-payment-limit-files-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2054,Breyanzi,Lisocabtagene mara car pos t,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",2026Q3,579570.614,546764.73,1,546764.73,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2023Q3,492900.000,465000.00,1,465000.00,https://www.cms.gov/files/zip/july-2023-asp-pricing-file.zip,verified-from-source,"CMS note: Added July 2023; first ASP-file listing; code effective 2022-10-01; not listed in earlier files checked (2022Q4, 2023Q1, 2023Q2); implied_asp = payment_limit/1.06 (derived); units: per therapeutic dose = one infusion course"
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2023Q4,497024.646,468891.18,1,468891.18,https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2024Q1,507195.920,478486.72,1,478486.72,https://www.cms.gov/files/zip/january-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2024Q2,507495.551,478769.39,1,478769.39,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2024Q3,507687.000,478950.00,1,478950.00,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2024Q4,527123.433,497286.26,1,497286.26,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2025Q1,551318.337,520111.64,1,520111.64,https://www.cms.gov/files/zip/january-2025-asp-pricing-file-03/11/25-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2025Q2,553169.299,521857.83,1,521857.83,https://www.cms.gov/files/zip/april-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2025Q3,553378.830,522055.50,1,522055.50,https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2025Q4,565868.945,533838.63,1,533838.63,https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2026Q1,587649.574,554386.39,1,554386.39,https://www.cms.gov/files/zip/january-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2026Q2,588494.808,555183.78,1,555183.78,https://www.cms.gov/files/zip/april-2026-medicare-part-b-payment-limit-files-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2056,Carvykti,Ciltacabtagene car-pos t,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,2026Q3,587977.755,554696.00,1,554696.00,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J3392,Casgevy,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J3392 effective 2025-01-01 but not listed in any CMS ASP/payment limit file examined (7 files: 2025Q1, 2025Q2, 2025Q3, 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per treatment"
J1413,Elevidys,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J1413 effective 2024-01-01 but not listed in any CMS ASP/payment limit file examined (11 files: 2024Q1, 2024Q2, 2024Q3, 2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per therapeutic dose"
J3403,Encelto,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J3403 effective 2025-10-01 but not listed in any CMS ASP/payment limit file examined (4 files: 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per implant (one implant per treated eye)"
J1411,Hemgenix,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J1411 effective 2023-04-01 but not listed in any CMS ASP/payment limit file examined (14 files: 2023Q2, 2023Q3, 2023Q4, 2024Q1, 2024Q2, 2024Q3, 2024Q4, 2025Q1, 2025Q2, 2025Q3, 2025Q4, 2026Q1, 2026Q2, 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per therapeutic dose"
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2017Q1,46.131,43.52,,,https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Part-B-Drugs/McrPartBDrugAvgSalesPrice/Downloads/2017-January-ASP-Pricing-Files.zip,verified-from-source,"CMS note: added January 2017; first ASP-file listing; code effective 2017-01-01; implied_asp = payment_limit/1.06 (derived); units: code is per 1 million PFU; dose volume depends on lesion size (up to 4 ml per visit, 10^6 PFU/ml first visit then 10^8 PFU/ml every 2 weeks, so up to 400 units per later visit) and course length varies; units per course left blank"
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2018Q1,48.268,45.54,,,https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Part-B-Drugs/McrPartBDrugAvgSalesPrice/Downloads/2018-January-ASP-Pricing-File.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2019Q1,50.047,47.21,,,https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Part-B-Drugs/McrPartBDrugAvgSalesPrice/Downloads/2019-January-ASP-Pricing-File.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2020Q1,51.438,48.53,,,https://www.cms.gov/files/zip/january-2020-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2021Q1,54.017,50.96,,,https://www.cms.gov/files/zip/january-2021-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2021Q2,54.093,51.03,,,https://www.cms.gov/files/zip/april-2021-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2021Q3,56.514,53.32,,,https://www.cms.gov/files/zip/july-2021-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2021Q4,57.261,54.02,,,https://www.cms.gov/files/zip/october-2021-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2022Q1,57.217,53.98,,,https://www.cms.gov/files/zip/january-2022-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2022Q2,57.174,53.94,,,https://www.cms.gov/files/zip/april-2022-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2022Q3,59.678,56.30,,,https://www.cms.gov/files/zip/july-2022-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2022Q4,60.620,57.19,,,https://www.cms.gov/files/zip/october-2022-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2023Q1,62.678,59.13,,,https://www.cms.gov/files/zip/january-2023-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2023Q2,62.357,58.83,,,https://www.cms.gov/files/zip/april-2023-asp-pricing-file.zip,verified-from-source,implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2023Q3,66.054,62.32,,,https://www.cms.gov/files/zip/july-2023-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2023Q4,66.295,62.54,,,https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2024Q1,66.587,62.82,,,https://www.cms.gov/files/zip/january-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2024Q2,66.802,63.02,,,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2024Q3,69.959,66.00,,,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2024Q4,70.361,66.38,,,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2025Q1,70.367,66.38,,,https://www.cms.gov/files/zip/january-2025-asp-pricing-file-03/11/25-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2025Q2,70.376,66.39,,,https://www.cms.gov/files/zip/april-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2025Q3,73.547,69.38,,,https://www.cms.gov/files/zip/july-2025-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2025Q4,73.935,69.75,,,https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2026Q1,73.939,69.75,,,https://www.cms.gov/files/zip/january-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2026Q2,73.942,69.76,,,https://www.cms.gov/files/zip/april-2026-medicare-part-b-payment-limit-files-final-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J9325,Imlygic,Inj talimogene laherparepvec,1 million PFU,2026Q3,77.339,72.96,,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
J3405,Itvisma,,,2026Q3,,,1,,https://www.cms.gov/files/zip/july-2026-medicare-part-b-payment-limit-files.zip,gap,"code J3405 effective 2026-07-01 but not listed in any CMS ASP/payment limit file examined (1 files: 2026Q3); CMS publishes no ASP-based payment limit for it, contractors price by invoice or WAC; units note: per treatment"
Q2042,Kymriah,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,2023Q4,484623.489,457191.97,1,457191.97,https://www.cms.gov/files/zip/october-2023-asp-pricing-file.zip,verified-from-source,"CMS note: Added October 2023; first ASP-file listing; code effective 2019-01-01; not listed in earlier files checked (2019Q1, 2020Q1, 2021Q1, 2021Q2, 2021Q3, 2021Q4, 2022Q1, 2022Q2, 2022Q3, 2022Q4, 2023Q1, 2023Q2, 2023Q3); implied_asp = payment_limit/1.06 (derived); units: per therapeutic dose = one infusion course"
Q2042,Kymriah,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,2024Q1,511072.497,482143.87,1,482143.87,https://www.cms.gov/files/zip/january-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2042,Kymriah,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,2024Q2,518240.680,488906.30,1,488906.30,https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2042,Kymriah,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,2024Q3,523452.561,493823.17,1,493823.17,https://www.cms.gov/files/zip/july-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
Q2042,Kymriah,Tisagenlecleucel car-pos t,up to 600 million CAR-positive viable T cells,2024Q4,529192.855,499238.54,1,499238.54,https://www.cms.gov/files/zip/october-2024-asp-pricing-file.zip,verified-from-source,CMS note: Inflation-adjusted coinsurance; implied_asp = payment_limit/1.06 (derived)
