product,hcpcs,code_effective_date,code_source_url,status,notes
Zolgensma,J3399,2020-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, onasemnogene abeparvovec-xioi, per treatment, up to 5x10^15 vector genomes (ADD DT 20200701, descriptor action effective 2024-01-01; short description 'Inj onase abepar-xioi treat'). Not listed in any ASP file from January 2021 to July 2026 (23 files), so no CMS payment limit."
Hemgenix,J1411,2023-04-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, etranacogene dezaparvovec-drlb, per therapeutic dose (ADD DT 20230401; short description 'Inj, hemgenix, per tx dose'). Not listed in any ASP file April 2023 to July 2026 (14 files)."
Roctavian,J1412,2024-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, valoctocogene roxaparvovec-rvox, per ml, containing nominal 2 x 10^13 vector genomes (ADD DT 20240101). Not listed in any ASP file January 2024 to July 2026 (11 files). Weight-based dosing: 3 units per kg."
Elevidys,J1413,2024-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, delandistrogene moxeparvovec-rokl, per therapeutic dose (ADD DT 20240101). Not listed in any ASP file January 2024 to July 2026 (11 files)."
Beqvez / Durveqtix,J1414,2025-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, fidanacogene elaparvovec-dzkt, per therapeutic dose (ADD DT 20250101; short description 'Inj, beqvez, per tx dose'). Predecessor C9172 2024-10-01 to 2024-12-31. Not listed in any ASP file January 2025 to July 2026 (7 files)."
Casgevy,J3392,2025-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, exagamglogene autotemcel, per treatment (ADD DT 20250101). Not listed in any ASP file January 2025 to July 2026 (7 files)."
Zynteglo,J3393,2024-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, betibeglogene autotemcel, per treatment (ADD DT 20240701). Not listed in any ASP file July 2024 to July 2026 (9 files)."
Lyfgenia,J3394,2024-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, lovotibeglogene autotemcel, per treatment (ADD DT 20240701). Not listed in any ASP file July 2024 to July 2026 (9 files)."
Skysona,J3387,2026-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, elivaldogene autotemcel, per treatment (ADD DT 20260101; short description 'Inj elivaldogene autotemecel'). Before 2026 billed under unclassified J3590. Not listed in the January, April or July 2026 payment limit files."
Lenmeldy / Libmeldy,J3391,2025-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, atidarsagene autotemcel, per treatment (ADD DT 20250701). Not listed in any ASP file July 2025 to July 2026 (5 files)."
Waskyra,J3386,2026-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, etuvetidigene autotemcel, per treatment (ADD DT 20260701; short description 'Etuvetidigene autotemecel'). Not in the prompt list but in the cohort. Not listed in the July 2026 payment limit file."
Vyjuvek,J3401,2024-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Beremagene geperpavec-svdt for topical administration, containing nominal 5 x 10^9 pfu/ml vector genomes, per 0.1 ml (ADD DT 20240101). ASP-file short description 'Vyjuvek 5x10^9pfu/ml, 0.1 ml'; first listed April 2024 (CMS note 'Updated July 2024'), absent from the January 2024 file."
Adstiladrin,J9029,2023-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/april-2024-asp-pricing-file.zip",verified-from-source,"HCPCS long description: Intravesical instillation, nadofaragene firadenovec-vncg, per therapeutic dose (ADD DT 20230701, descriptor action effective 2024-01-01). ASP-file short description 'Inj, adstiladrin, per tx dos' then 'Instill adstiladrin, tx dose' from October 2024; first listed April 2024 ('Added April 2024'), absent from July 2023 to January 2024 files."
Imlygic,J9325,2017-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/Medicare/Medicare-Fee-for-Service-Part-B-Drugs/McrPartBDrugAvgSalesPrice/Downloads/2017-January-ASP-Pricing-Files.zip",verified-from-source,"HCPCS long description: Injection, talimogene laherparepvec, per 1 million plaque forming units (ADD DT 20170101). Predecessor C9472 2016-04-01 to 2016-12-31. ASP-file short description 'Inj talimogene laherparepvec'; first listed January 2017 ('added January 2017')."
Ryoncil,J3402,2025-10-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update); https://www.cms.gov/files/zip/october-2025-asp-pricing-final-file.zip",verified-from-source,"HCPCS long description: Injection, remestemcel-l-rknd, per therapeutic dose (ADD DT 20251001). ASP-file short description 'Inj. remestemcel-l-rknd/ td'; first listed October 2025 ('Added October 2025'), the same quarter the code took effect. Label regimen 8 infusions per course."
Encelto,J3403,2025-10-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Revakinagene taroretcel-lwey, per implant (ADD DT 20251001; short description 'Revakinagene, per implant'). Not listed in any payment limit file October 2025 to July 2026 (4 files)."
Zevaskyn,J3389,2026-01-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Topical administration, prademagene zamikeracel, per treatment (ADD DT 20260101; short description 'Topi adm prad zami per treat'). Not listed in the January, April or July 2026 payment limit files."
Papzimeos,J3404,2026-04-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, zopapogene imadenovec-drba suspension, per therapeutic dose (ADD DT 20260401). Not listed in the April or July 2026 payment limit files."
Itvisma,J3405,2026-07-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, onasemnogene abeparvovec-brve, per treatment (ADD DT 20260701; short description 'Inj onase abepar-brve treat'). Predecessor C9309 2026-04-01 to 2026-06-30. Not listed in the July 2026 payment limit file."
Omisirge,J3406,2026-10-01,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",verified-from-source,"HCPCS long description: Injection, omidubicel-onlv, per therapeutic dose (ADD DT 20261001; listed as ADD in the October 2026 HCPCS transaction report). Takes effect after the latest available payment limit file (July 2026); the October 2026 payment limit file was not yet posted on 2026-09-04."
Amtagvi,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No product-specific HCPCS Level II code in the October 2026 Alpha-Numeric HCPCS file (searched lifileucel, Amtagvi, tumor-infiltrating; only procedure code S2107 mentions TIL therapy). Billed under unclassified biologic codes (J3590 or C9399); no CMS payment limit. NOC pricing files for October 2024, July 2025 and October 2025 do not list it."
Kebilidi / Upstaza,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No product-specific HCPCS code in the October 2026 file (searched eladocagene, exuparvovec, Kebilidi, Upstaza). Billed under unclassified codes; no CMS payment limit."
Lantidra,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No product-specific HCPCS code in the October 2026 file (searched donislecel, Lantidra); only islet transplant procedure codes G0341-G0343 and S2102 exist. No CMS payment limit."
Kresladi,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No HCPCS code in the October 2026 file (searched marnetegragene, Kresladi). Approved 2026-03-26; a code may appear in a later quarterly update."
Otarmeni,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No HCPCS code in the October 2026 file (searched lunsotogene, Otarmeni). Approved 2026-04-23."
Tregzi,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No HCPCS code in the October 2026 file (searched Tregzi, regulatory T cell). Approved 2026-07-01."
Tudriqev,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No HCPCS code in the October 2026 file (searched vusolimogene, Tudriqev). Approved 2026-08-06."
Genglycos,,,"https://www.cms.gov/files/zip/october-2026-alpha-numeric-hcpcs-file.zip (HCPC2026_OCT_ANWEB.xlsx, columns HCPC, LONG DESCRIPTION, ADD DT, ACT EFF DT, TERM DT; index page https://www.cms.gov/medicare/coding-billing/healthcare-common-procedure-system/quarterly-update)",gap,"No HCPCS code in the October 2026 file (searched pariglasgene, Genglycos). Approved 2026-08-19."
