registry,geography,year,product_or_class,count,count_type,per_10m_population,verbatim,source_doc,source_url,status,notes
EBMT activity survey,Europe (EBMT survey area),2022,ALL,380,patients,,"Lymphoma (n=2259; 70.5%), myeloma (n=470; 14.7%), ALL (n=380; 11.8%), and other malignancies (n=96; 3.0%)","EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2022,Other malignancies,96,patients,,"Lymphoma (n=2259; 70.5%), myeloma (n=470; 14.7%), ALL (n=380; 11.8%), and other malignancies (n=96; 3.0%)","EBMT Activity Survey Poster 2022 (Baldomero H, Passweg JR; Activity Survey Office, Basel)",https://www.ebmt.org/sites/default/files/2024-09/Activity%20survey%20Poster%202022.pdf,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2022,CAR-T all,9039,cumulative_patients,,The number of reported CAR-T therapies performed in Europe is increasing steadily and has reached a cumulative total of 9039 patients treated between 2018 and 2022,"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,2018-2022 cumulative from the annual survey (not the patient-level registry).
EBMT activity survey,Europe (EBMT survey area),2023,CAR-T all,4888,patients,,"CAR-T: 4 888 (+52.5%) ... over 13,000 CAR-T patients in Europe by 2023 (258 centers in 30 countries)","2023 EBMT Activity Survey poster, EBMT 2025 Annual Meeting (Atlija M, Kleovoulou I, Baldomero H, Passweg JR)",https://www.ebmt.org/sites/default/files/2025-12/EBMT%202025%20Annual%20Meeting%20Poster%20Activity%20Survey.pdf,verified-from-source,"Paper (PMC11971038) confirms 4,888 in 2023 (+52.5% vs 2022; 16.2-fold since 2018). Median patients per country 47 (range 1-1160; the maximum equals Germany's 1160 in the DRST/EBMT survey); median CAR-T rate 44.7 per 10 million. 85 allogeneic CAR-T patients in 19 centres in 12 countries."
EBMT activity survey,Europe (EBMT survey area),2023,B-cell NHL,3462,patients,,"The main indication for CAR-T cellular therapy since 2019 was B-NHL, increasing from 826 in 2019 to 3462 in 2023","2023 EBMT Activity Survey poster, EBMT 2025 Annual Meeting (Atlija M, Kleovoulou I, Baldomero H, Passweg JR)",https://www.ebmt.org/sites/default/files/2025-12/EBMT%202025%20Annual%20Meeting%20Poster%20Activity%20Survey.pdf,verified-from-source,"Table 2 of the 2023 report: B-cell NHL 3,462; myeloma 736; ALL 566; other 124."
EBMT activity survey,Europe (EBMT survey area),2023,Myeloma,736,patients,,"Myeloma: 736 patients (Table 2, as extracted)","Passweg JR, Baldomero H et al. The 2023 EBMT report on hematopoietic cell transplantation and cellular therapies. Increased use of allogeneic HCT for myeloid malignancies and of CAR-T at the expense of autologous HCT. Bone Marrow Transplant 2025 (doi 10.1038/s41409-025-02524-2; PMC11971038), full text read via Europe PMC",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11971038/fullTextXML,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2023,ALL,566,patients,,"ALL: 566 patients (Table 2, as extracted)","Passweg JR, Baldomero H et al. The 2023 EBMT report on hematopoietic cell transplantation and cellular therapies. Increased use of allogeneic HCT for myeloid malignancies and of CAR-T at the expense of autologous HCT. Bone Marrow Transplant 2025 (doi 10.1038/s41409-025-02524-2; PMC11971038), full text read via Europe PMC",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11971038/fullTextXML,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2023,Other indications,124,patients,,"Other indications: 124 patients (Table 2, as extracted)","Passweg JR, Baldomero H et al. The 2023 EBMT report on hematopoietic cell transplantation and cellular therapies. Increased use of allogeneic HCT for myeloid malignancies and of CAR-T at the expense of autologous HCT. Bone Marrow Transplant 2025 (doi 10.1038/s41409-025-02524-2; PMC11971038), full text read via Europe PMC",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11971038/fullTextXML,verified-from-source,
EBMT activity survey,Europe (EBMT survey area),2023,CAR-T all,13000,cumulative_patients,,"over 13,000 CAR-T patients in Europe by 2023 (258 centers in 30 countries)","2023 EBMT Activity Survey poster, EBMT 2025 Annual Meeting (Atlija M, Kleovoulou I, Baldomero H, Passweg JR)",https://www.ebmt.org/sites/default/files/2025-12/EBMT%202025%20Annual%20Meeting%20Poster%20Activity%20Survey.pdf,verified-from-source,"Lower bound; poster says 'over 13,000'. Sum of annual survey totals 2018-2023 = 13,927."
EBMT activity survey,Europe (EBMT survey area),2024,CAR-T all,6082,patients,,"CAR-T therapy reached 6,082 patients (+24.5% vs 2023), surpassing 20,000 since 2018 (as extracted)","Passweg JR, Baldomero H, Bader P et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9; PMC13349854), full text read via Europe PMC",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13349854/fullTextXML,verified-from-source,"Whole survey: 688 centres in 53 countries; number of CAR-T centres not separately extracted. Main text gives lymphoma about 70%, multiple myeloma 18%, ALL 8%; 91 CAR-T for solid tumours; autoimmune CAR-T +67% vs 2023 (percentages, no per-indication counts extracted)."
EBMT activity survey,Europe (EBMT survey area),2024,CAR-T all,20000,cumulative_patients,,"surpassing 20,000 since 2018 (as extracted; title: crossing one million HCTs and 20,000 CAR-T)","Passweg JR, Baldomero H, Bader P et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9; PMC13349854), full text read via Europe PMC",https://www.ebi.ac.uk/europepmc/webservices/rest/PMC13349854/fullTextXML,verified-from-source,"Lower bound. Sum of annual survey totals 2018-2024 = 20,009."
EBMT activity survey,Israel,2022,CAR-T all,,patients,231,CAR-T Rates per 10 Million Population (by country): Israel: 231/10^7; Switzerland: 145/10^7; France: 89/10^7; Netherlands: 80/10^7; Germany: 79/10^7 (as extracted),"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Only these five countries are named in the text; patient counts per country are not printed. Germany count from the same survey is 659 (see DRST rows).
EBMT activity survey,Switzerland,2022,CAR-T all,,patients,145,CAR-T Rates per 10 Million Population (by country): Israel: 231/10^7; Switzerland: 145/10^7; France: 89/10^7; Netherlands: 80/10^7; Germany: 79/10^7 (as extracted),"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Only these five countries are named in the text; patient counts per country are not printed. Germany count from the same survey is 659 (see DRST rows).
EBMT activity survey,France,2022,CAR-T all,,patients,89,CAR-T Rates per 10 Million Population (by country): Israel: 231/10^7; Switzerland: 145/10^7; France: 89/10^7; Netherlands: 80/10^7; Germany: 79/10^7 (as extracted),"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Only these five countries are named in the text; patient counts per country are not printed. Germany count from the same survey is 659 (see DRST rows).
EBMT activity survey,Netherlands,2022,CAR-T all,,patients,80,CAR-T Rates per 10 Million Population (by country): Israel: 231/10^7; Switzerland: 145/10^7; France: 89/10^7; Netherlands: 80/10^7; Germany: 79/10^7 (as extracted),"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Only these five countries are named in the text; patient counts per country are not printed. Germany count from the same survey is 659 (see DRST rows).
EBMT activity survey,Germany,2022,CAR-T all,,patients,79,CAR-T Rates per 10 Million Population (by country): Israel: 231/10^7; Switzerland: 145/10^7; France: 89/10^7; Netherlands: 80/10^7; Germany: 79/10^7 (as extracted),"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,verified-from-source,Only these five countries are named in the text; patient counts per country are not printed. Germany count from the same survey is 659 (see DRST rows).
EBMT activity survey,Europe by country,2021,CAR-T all,,patients,,CAR-T rates per 10 million population in 2021 ranged from 2.0 in Ireland to 142 in Israel,"Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2021. The second year of the SARS-CoV-2 pandemic. A Report from the EBMT Activity Survey. Bone Marrow Transplant 2023;58:647-658 (PMC9987384)",https://pmc.ncbi.nlm.nih.gov/articles/PMC9987384/,gap,Country-level CAR-T rates are shown only as Figure 7 (bar chart image) in the 2021 report; no table of counts per country. Supplementary file 41409_2023_1943_MOESM1_ESM.pdf is the list of participating centres.
EBMT activity survey,Europe by country,2022,CAR-T all,,patients,,"Supplementary figure 1c (144KB, tif) - CAR-T rates by country","Passweg JR, Baldomero H et al. Hematopoietic cell transplantation and cellular therapies in Europe 2022. CAR-T activity continues to grow; transplant activity has slowed: a report from the EBMT. Bone Marrow Transplant 2024 (doi 10.1038/s41409-024-02248-9; PMC11161408)",https://pmc.ncbi.nlm.nih.gov/articles/PMC11161408/,gap,Per-country 2022 CAR-T rates exist only as Supplementary Figure 1c (TIF image) of PMC11161408 and Fig 5 of the 2022 poster (map image); not readable as text. Companion paper supplement (41409_2024_2459_MOESM1_ESM.pdf) gives CAR-T counts for the 25 most active CENTRES in 2022: London UCLH 101; Lyon HCL 98; Tel Hashomer Sheba 85; Barcelona Hospital Clinic 81; Rennes 73; Lille 65; Wuerzburg 55; Jerusalem Hadassah 53; Leipzig 47; Madrid Gregorio Maranon 46; Marseille IPC 44; Berlin Charite 44; Sevilla Virgen del Rocio 43; Bern 43; London King's 43; Heidelberg 42; Salamanca 42; Birmingham QEH 41; Groningen 39; Pessac/Bordeaux 37; Goettingen 33; Zurich 32; Toulouse 31; Bologna 31; Tel Aviv Sourasky 30.
EBMT activity survey,Europe by country,2023,CAR-T all,,patients,,Fig 5: CAR-T therapy rates per 10 million population in 2023,"2023 EBMT Activity Survey poster, EBMT 2025 Annual Meeting (Atlija M, Kleovoulou I, Baldomero H, Passweg JR)",https://www.ebmt.org/sites/default/files/2025-12/EBMT%202025%20Annual%20Meeting%20Poster%20Activity%20Survey.pdf,gap,Per-country 2023 CAR-T rates shown only as a map image (poster Fig 5); the 2023 paper has no country table for CAR-T (Table 1/2 are by indication).
EBMT activity survey,Europe by country,2024,CAR-T all,,patients,,"Supplemental Figure 5. CAR-T rates in Europe in 2024 (per 10 million population). ... Supplemental Figure 6. Temporal patterns of CAR-T therapies across reporting countries, 2018-2024",Supplemental Appendix to Passweg et al. 2026 (41409_2026_2919_MOESM1_ESM.pdf),https://static-content.springer.com/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM1_ESM.pdf,gap,"Supplement contains a map in rate bands (0; 0.1-10; 10-50; 50-100; >100 per 10 million) and per-country line charts 2018-2024 for Austria, Belarus, Belgium, Croatia, Czech Republic, Denmark, Finland, France, Germany, Greece, Hungary, Iran, Ireland, Israel, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Russia, Saudi Arabia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Turkey, United Kingdom; no numeric labels, so values cannot be extracted."
EBMT Registry (patient-level),Europe (EBMT survey area),2024,CAR-T all,10000,cumulative_patients,,"As of 2024, the EBMT Registry contains data on over 700,000 patients who have received a HCT procedure and over 10,000 patients who have received CAR T-cell therapy","EBMT press release, The EBMT reaches major milestone: 10,000 CAR-T treated patients registered in its Registry (Barcelona, 9 September 2024)","https://www.ebmt.org/sites/default/files/2024-09/EBMT-Press-Release-10,000%20CAR-T%20Patients%20Registered%20in%20the%20Registry.pdf",verified-from-source,Milestone reached 9 September 2024. Same document: Lille University Hospital started CAR-T in 2018 with six patients and had infused over 350 patients by September 2024.
EBMT Registry (patient-level),Europe (EBMT survey area),2024,CAR-T all,9000,cumulative_patients,,"The EBMT Registry received a positive opinion from the European Medicines Agency in 2019, and five years later contains information on more than 9,000 treated patients",Celebrating the registration of 9.000 patients treated with CAR T cells in the EBMT registry: Collection of real-world data in the context of hematopoietic cellular therapies. Best Pract Res Clin Haematol 2024 (PubMed 39098799),https://pubmed.ncbi.nlm.nih.gov/39098799/,provisional-from-snippet,Abstract snippet only (paper published mid-2024); full text (ScienceDirect S1521692624000239) not fetched. No per-year breakdown of registrations retrieved.
CIBMTR,United States,2016,CAR-T all,63,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2016 bar labels: Large B-cell lymphoma 27; Acute lymphoblastic leukemia 35; Multiple myeloma 1","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Sum of the five indication segments read from the stacked bar (slide image OCR + visual check). Includes commercial and non-commercial (trial) CAR-T reported to CIBMTR; CIBMTR states it captures about 60-70% of US CAR-T therapies. Segments absent from the bar are counted as 0.
CIBMTR,United States,2016,Large B-cell lymphoma,27,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2016 bar label: Large B-cell lymphoma 27","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2016,Acute lymphoblastic leukemia,35,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2016 bar label: Acute lymphoblastic leukemia 35","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2016,Multiple myeloma,1,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2016 bar label: Multiple myeloma 1","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2017,CAR-T all,137,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar labels: Large B-cell lymphoma 44; Acute lymphoblastic leukemia 80; Mantle cell lymphoma 6; Follicular lymphoma 3; Multiple myeloma 4","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Sum of the five indication segments read from the stacked bar (slide image OCR + visual check). Includes commercial and non-commercial (trial) CAR-T reported to CIBMTR; CIBMTR states it captures about 60-70% of US CAR-T therapies. Segments absent from the bar are counted as 0.
CIBMTR,United States,2017,Large B-cell lymphoma,44,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar label: Large B-cell lymphoma 44","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2017,Acute lymphoblastic leukemia,80,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar label: Acute lymphoblastic leukemia 80","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2017,Mantle cell lymphoma,6,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar label: Mantle cell lymphoma 6","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2017,Follicular lymphoma,3,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar label: Follicular lymphoma 3","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2017,Multiple myeloma,4,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2017 bar label: Multiple myeloma 4","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2018,CAR-T all,910,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar labels: Large B-cell lymphoma 617; Acute lymphoblastic leukemia 191; Mantle cell lymphoma 16; Follicular lymphoma 22; Multiple myeloma 64","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Sum of the five indication segments read from the stacked bar (slide image OCR + visual check). Includes commercial and non-commercial (trial) CAR-T reported to CIBMTR; CIBMTR states it captures about 60-70% of US CAR-T therapies. Segments absent from the bar are counted as 0.
CIBMTR,United States,2018,Large B-cell lymphoma,617,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar label: Large B-cell lymphoma 617","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2018,Acute lymphoblastic leukemia,191,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar label: Acute lymphoblastic leukemia 191","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2018,Mantle cell lymphoma,16,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar label: Mantle cell lymphoma 16","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2018,Follicular lymphoma,22,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar label: Follicular lymphoma 22","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
CIBMTR,United States,2018,Multiple myeloma,64,infusions,,"CAR-T infusions by indication, US, 2016-2024 (slide 37) - 2018 bar label: Multiple myeloma 64","CIBMTR US Summary Slides 2025 (Broglie L, Xu K, Oloyede T, Chen M, Allbee-Johnson M), slide 37 'CAR-T infusions by indication, US, 2016-2024'",https://cibmtr.org/Files/Summary-Slides--Reports/2025-Summary-Slides-Final-for-WEB.pdf,verified-from-source,Indication segment of the stacked bar on slide 37.
