registry,geography,year,product_or_class,count,count_type,per_10m_population,verbatim,source_doc,source_url,status,notes
EBMT activity survey,Bosnia and Herzegovina,2024,CAR-T all,0,patients,,"Bosnia and Herzegovina: (1 centres: 7 (7) 0/7), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 1 reporting centres list >=1 first CAR-T in 2024 (all 1 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Bulgaria,2024,CAR-T all,0,patients,,"Bulgaria: (2 centres: 118 (118) 30/88), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 2 reporting centres list >=1 first CAR-T in 2024 (all 2 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Croatia,2024,CAR-T all,9,patients,23.3,"Croatia: (4 centres: 255 (301) 90/165), (9 (9) 0/9)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 9 (all CAR-T 9), allogeneic 1st 0 / autologous 1st 9. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); 2024 rate 23,3 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Croatia,2024,CAR-T all,9,infusions,,"Croatia: (4 centres: 255 (301) 90/165), (9 (9) 0/9)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Croatia; first CAR-T 9; fetched 2026-09-05
EBMT activity survey,Cyprus,2024,CAR-T all,0,patients,,"Cyprus: (2 centres: 18 (18) 0/18), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 2 reporting centres list >=1 first CAR-T in 2024 (all 2 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Czech Republic,2024,CAR-T all,98,patients,89.9,"Czech Republic: (9 centres: 540 (642) 232/308), (98 (102) 0/98)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 98 (all CAR-T 102), allogeneic 1st 0 / autologous 1st 98. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: at least 6 centres list >=1 first CAR-T in 2024 (only 7 of 9 centre lines parsed cleanly, so this is a lower bound); 2024 rate 89,9 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Czech Republic,2024,CAR-T all,102,infusions,,"Czech Republic: (9 centres: 540 (642) 232/308), (98 (102) 0/98)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Czech Republic; first CAR-T 98; fetched 2026-09-05
EBMT activity survey,Denmark,2024,CAR-T all,30,patients,50.33,"Denmark: (3 centres: 324 (340) 172/152), (30 (30) 0/30)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 30 (all CAR-T 30), allogeneic 1st 0 / autologous 1st 30. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 2 of 3 reporting centres list >=1 first CAR-T in 2024 (all 3 centre lines parsed, sums reconcile); 2024 rate 50,33 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Denmark,2024,CAR-T all,30,infusions,,"Denmark: (3 centres: 324 (340) 172/152), (30 (30) 0/30)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Denmark; first CAR-T 30; fetched 2026-09-05
EBMT activity survey,Estonia,2024,CAR-T all,0,patients,,"Estonia: (2 centres: 84 (99) 28/56), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 2 reporting centres list >=1 first CAR-T in 2024 (all 2 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Finland,2024,CAR-T all,34,patients,60.67,"Finland: (7 centres: 337 (350) 127/210), (34 (35) 0/34)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 34 (all CAR-T 35), allogeneic 1st 0 / autologous 1st 34. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: at least 4 centres list >=1 first CAR-T in 2024 (only 6 of 7 centre lines parsed cleanly, so this is a lower bound); 2024 rate 60,67 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Finland,2024,CAR-T all,35,infusions,,"Finland: (7 centres: 337 (350) 127/210), (34 (35) 0/34)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Finland; first CAR-T 34; fetched 2026-09-05
EBMT activity survey,France,2024,CAR-T all,1093,patients,159.64,"France: (69 centres: 4361 (4654) 2097/2264), (1093 (1102) 1/1092)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 1093 (all CAR-T 1102), allogeneic 1st 1 / autologous 1st 1092. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: at least 30 centres list >=1 first CAR-T in 2024 (only 67 of 69 centre lines parsed cleanly, so this is a lower bound); 2024 rate 159,64 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,France,2024,CAR-T all,1102,infusions,,"France: (69 centres: 4361 (4654) 2097/2264), (1093 (1102) 1/1092)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for France; first CAR-T 1093; fetched 2026-09-05
EBMT activity survey,Georgia,2024,CAR-T all,0,patients,,"Georgia: (1 centres: 59 (59) 1/58), (0 (0) 0/0)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 0 (all CAR-T 0), allogeneic 1st 0 / autologous 1st 0. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: 0 of 1 reporting centres list >=1 first CAR-T in 2024 (all 1 centre lines parsed, sums reconcile); fetched 2026-09-05"
EBMT activity survey,Germany,2024,CAR-T all,1439,patients,172.43,"Germany: (122 centres: 6711 (7542) 3332/3379), (1439 (1467) 1/1438)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,"Country line of Appendix 2024; format per header: Number of reporting centers: total 1st HCT (total all HCT) N allogeneic 1st HCT / N autologous 1st HCT, total 1st CAR-T (total all CAR-T) N allogeneic 1st CAR-T / N autologous 1st CAR-T. First CAR-T 1439 (all CAR-T 1467), allogeneic 1st 1 / autologous 1st 1438. Covers centres reporting to the EBMT activity survey (HCT-reporting centres; CAR-T reported by the same centres); derived from the centre lines: at least 54 centres list >=1 first CAR-T in 2024 (only 119 of 122 centre lines parsed cleanly, so this is a lower bound); 2024 rate 172,43 per 10 million from Supplementary Table 2 of the same paper; fetched 2026-09-05"
EBMT activity survey,Germany,2024,CAR-T all,1467,infusions,,"Germany: (122 centres: 6711 (7542) 3332/3379), (1439 (1467) 1/1438)","Greco R, Sánchez-Ortega I et al. The 2024 EBMT activity report: crossing one million HCTs and 20,000 CAR-T. A landmark in cellular therapy. Bone Marrow Transplant 2026 (doi 10.1038/s41409-026-02919-9) - Supplementary file: EBMT Transplant Activity Survey: List of reporting transplant centers in 2024 (Appendix 2024, 41409_2026_2919_MOESM3_ESM.pdf)",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41409-026-02919-9/MediaObjects/41409_2026_2919_MOESM3_ESM.pdf,verified-from-source,Total all CAR-T (first plus additional infusions) for Germany; first CAR-T 1439; fetched 2026-09-05
