product_key,nct,brief_title,official_title,start_date,status,study_type,phases,sponsor,interventions,matched_by
kymriah,NCT04276870,Orphan Indications for CD19 Redirected Autologous T Cells,CD19-Directed Chimeric Antigen Receptor CD19 Redirected Autologous T Cells (CART19) for Orphan Indications of Pediatric B Cell Acute Lymphoblastic Leukemia (B ALL),2020-03-12,RECRUITING,INTERVENTIONAL,PHASE2,Stephan Grupp MD PhD,Murine CART19,search
kymriah,NCT03123939,Phase III B in Acute Lymphoblastic Leukemia,Phase IIIb Study for Relapsed/Refractory Pediatric/Young Adult Acute Lymphoblastic Leukemia Patients to be Treated With CTL019,2017-04-24,COMPLETED,INTERVENTIONAL,PHASE3,Novartis Pharmaceuticals,CTL019,search
kymriah,NCT02924753,The Safety and Efficacy of CART-19 Cells in B-cell Acute Lymphoblastic Leukemia (B-ALL).,The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Acute Lymphoblastic Leukemia.,2016-07-18,UNKNOWN,INTERVENTIONAL,PHASE1,Henan Cancer Hospital,Cyclophosphamide|Fludarabine|CART-19 cells,search
kymriah,NCT03455972,Study of T Cells Targeting CD19/BCMA (CART-19/BCMA) for High Risk Multiple Myeloma Followed With Auto-HSCT,Study of T Cells Targeting CD19/BCMA (CART-19/BCMA) for High Risk Multiple Myeloma Followed With Auto-HSCT,2018-02-20,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,The First Affiliated Hospital of Soochow University,anti-CD19 and anti-BCMA CAR|Immunomodulatory drugs,search
kymriah,NCT03610724,Phase II Open Label Trial to Determine Safety & Efficacy of Tisagenlecleucel in Pediatric Non-Hodgkin Lymphoma Patients,"A Phase II, Single Arm, Multicenter Open Label Trial to Determine the Safety and Efficacy of Tisagenlecleucel in Pediatric Subjects With Relapsed or Refractory Mature B-cell Non-Hodgkin Lymphoma (NHL)",2019-02-15,COMPLETED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,Tisagenlecleucel|lymphodepleting chemotherapy|Bridging Therapy,search
kymriah,NCT02529813,CD19-Specific T-cells in Treating Patients With Advanced Lymphoid Malignancies,CD19+ Chimeric Antigen Receptor T Cells for Patients With Advanced Lymphoid Malignancies,2015-12-16,COMPLETED,INTERVENTIONAL,PHASE1,M.D. Anderson Cancer Center,Cyclophosphamide|Fludarabine Phosphate|Laboratory Biomarker Analysis|Tisagenlecleucel,search
kymriah,NCT03876769,Study of Efficacy and Safety of Tisagenlecleucel in HR B-ALL EOC MRD Positive Patients,A Phase II Trial of Tisagenlecleucel in First-line High-risk (HR) Pediatric and Young Adult Patients With B-cell Acute Lymphoblastic Leukemia (B-ALL) Who Are Minimal Residual Disease (MRD) Positive at the End of Consolidation (EOC) Therapy,2019-06-24,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,CTL019,search
kymriah,NCT03027739,CART-19 Cells For MRD Positive CD19+ ALL,CART-19 Cells For Patients With Minimal Residual Disease (MRD) Positive CD19+ Acute Lymphoblastic Leukemia,2016-11,UNKNOWN,INTERVENTIONAL,PHASE2|PHASE3,Fujian Medical University,CART-19,search
kymriah,NCT04161118,TisaGenlecleucel in Elderly Patients With First-Relapsed or Primary Refractory Aggressive B-cell Non-Hodgkin Lymphoma,Phase II Trial of TisaGenlecleucel in Elderly Patients With First-Relapsed or Primary Refractory Aggressive B-cell Non-Hodgkin Lymphoma,2021-05-12,TERMINATED,INTERVENTIONAL,PHASE2,University of Cologne,CTL019,search
kymriah,NCT07676877,Lymphodepletion With Low Dose Total Body Irradiation Before Standard of Care Tisagenlecleucel for the Treatment of Relapsed and Recurrent Large B-cell Lymphoma,A Phase I Trial of Lymphodepletion Intensification With Low Dose Total Body Irradiation With Dose Expansion for Standard-of-Care Tisagenlecleucel in Patients With Large B-Cell Lymphoma,2026-09-01,NOT_YET_RECRUITING,INTERVENTIONAL,PHASE1,Nathan Denlinger,Biospecimen Collection|Computed Tomography|Cyclophosphamide|Fludarabine|Leukapheresis|Positron Emission Tomography|Tisagenlecleucel|Total-Body Irradiation,search
kymriah,NCT06160362,The Safety and Efficacy of Double-target CART-19 and 20 Cells in Non-Hodgkin's Lymphoma (NHL),The Safety and Efficacy of Double-target CART-19 and 20 Cells in Relapse and Refractory Patients With CD19+/CD20+ Non-Hodgkin's Lymphoma (NHL),2023-10-31,UNKNOWN,INTERVENTIONAL,NA,Henan Cancer Hospital,CART-19 and 20 cells|Cyclophosphamide|Fludarabine,search
kymriah,NCT05888493,A Phase III Trial Comparing Tisagenlecleucel to Standard of Care (SoC) in Adult Participants With r/r Follicular Lymphoma,"A Randomized, Open-label, Multi-center Phase III Trial Comparing Tisagenlecleucel to Standard of Care in Adult Participants With Relapsed or Refractory Follicular Lymphoma (FL)",2023-10-02,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,Novartis Pharmaceuticals,"Tisagenlecleucel|Lenalidomide and rituximab (R2) in 28-day cycles for up to 12 cycles.|Rituximab, cyclophosphamide, doxorubicin, vincristine and prednisone or prednisolone (R-CHOP) in 21-day cycles for 6 to 8 cycles|Lymphodepleting chemotherapy|Corticosteroids and/or Radiation (Bridging therapy)",search
kymriah,NCT03391739,CART-19 Cells For R/R B-ALL,CART-19 Cells For Patients With Relapsed/Refractory B-cell Acute Lymphoblastic Leukemia,2016-01,UNKNOWN,INTERVENTIONAL,PHASE2|PHASE3,Fujian Medical University,CART-19 cells,search
kymriah,NCT05310591,"Combination of an Anti-PD1 Antibody With Tisagenlecleucel Reinfusion in Children, Adolescents and Young Adults With Acute Lymphoblastic Leukemia After Loss of Persistence","Combination of an Anti-PD1 Antibody With Tisagenlecleucel Reinfusion in Children, Adolescents and Young Adults With Acute Lymphoblastic Leukemia After Loss of Persistence",2023-03-15,RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,Assistance Publique - Hôpitaux de Paris,Decreasing starting times for beginning nivolumab (Time to Event Continual Reassessment Method (TITE-CRM) )|Nivolumab starting at day -1,search
kymriah,NCT02935543,CART19 in Adult Patients With Minimal Residual Disease During Upfront Treatment for ALL,Phase 2 Study of CD19-directed Chimeric Antigen Receptor-modified T Cells (CART19) for Adult Patients With Minimal Residual Disease During Upfront Treatment for Acute Lymphoblastic Leukemia,2016-10,TERMINATED,INTERVENTIONAL,PHASE2,University of Pennsylvania,CART 19,search
kymriah,NCT04419909,Retreatment With CTL019/CTL119,Retreatment With CTL019/CTL119 in Patients With Late Relapse of B-Cell Lymphomas,2026-05,WITHDRAWN,INTERVENTIONAL,PHASE1,University of Pennsylvania,CD19 redirected autologous T cells (CTL019 or CTL119 cells),search
kymriah,NCT04156659,Study of Tisagenlecleucel in Chinese Pediatric and Young Adult Subjects With Relapsed or Refractory B-cell ALL,"A Phase II, Single Arm, Multi-center Trial to Evaluate the Efficacy and Safety of Tisagenlecleucel in Chinese Pediatric and Young Adult Patients With Relapsed or Refractory B-cell Acute Lymphoblastic Leukemia",2021-11-30,WITHDRAWN,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,Tisagenlecleucel,search
kymriah,NCT04094311,Study of Out of Specification for Tisagenlecleucel,A Phase IIIb Study of the Safety and Efficacy of Tisagenlecleucel Out of Specification for Commercial Release in Patients Who Are Consistent With the Label Indication,2019-11-21,RECRUITING,INTERVENTIONAL,PHASE3,Novartis Pharmaceuticals,CTL019,search
kymriah,NCT02906371,Study of the Tocilizumab Optimization Timing for CART19 Associated Cytokine Release Syndrome,A Two Cohort Pilot Study of the Tocilizumab Optimization Timing for CART19 Associated Cytokine Release Syndrome (CRS) Management in Pediatric Patients With CD19 Expressing Relapsed/Refractory B-cell Acute Lymphoblastic Leukemia (ALL),2016-08,COMPLETED,INTERVENTIONAL,PHASE1,University of Pennsylvania,Tocilizumab|Tocilizumab|CART 19,search
kymriah,NCT01551043,Allo CART-19 Protocol,Pilot Study of Donor Lymphocyte Infusions Using Donor T Cells Engineered to Contain Anti-CD19 Attached To TCR And 4-1BB Signaling Domains in Patients With Relapsed CD19+ All After Allogeneic Stem Cell Transplantation,2010-09,TERMINATED,INTERVENTIONAL,PHASE1,University of Pennsylvania,CART-19,search
kymriah,NCT05633615,Testing Drug Treatments After CAR T-cell Therapy in Patients With Relapsed/Refractory Diffuse Large B-cell Lymphoma,A Randomized Phase II Trial of Consolidation Therapy Following CD19 CAR T-Cell Treatment for Relapsed/Refractory Diffuse Large B-Cell Lymphoma or Grade IIIB Follicular Lymphoma,2023-06-12,RECRUITING,INTERVENTIONAL,PHASE2,SWOG Cancer Research Network,Axicabtagene Ciloleucel|Biospecimen Collection|Computed Tomography|Cyclophosphamide|Fludarabine|Lisocabtagene Maraleucel|Mosunetuzumab|Patient Observation|Polatuzumab Vedotin|Positron Emission Tomography|Tisagenlecleucel,search
kymriah,NCT05075603,Relapsed/Refractory Large B-cell Lymphoma With NT-I7 Post-CD19 CAR T-cell Therapy,"A Phase 1b Study Evaluating the Safety, Tolerability and Preliminary Anti-tumor Activity of NT-I7 a Long-acting Human IL-7, Post-Kymriah®, Post-Yescarta®, or Post-Breyanzi® in Subjects With Relapsed/Refractory Large B-cell Lymphoma",2021-07-29,COMPLETED,INTERVENTIONAL,PHASE1,NeoImmuneTech,Efineptakin alfa|Tisagenlecleucel|Axicabtagene ciloleucel|Lisocabtagene Maraleucel,search
kymriah,NCT03614858,CD19/CD22-targeted Chimeric Antigen Receptor Engineered T Cell (CART) in B-Cell Acute Lymphoblastic Leukemia.,Pilot Study of the Efficacy and Safety of Cluster of Differentiation Antigen 19 (CD19) /Cluster of Differentiation Antigen 22 (CD22) CART in the Treatment of Relapsed or Refractory B-Cell Acute Lymphoblastic Leukemia.,2017-09-01,UNKNOWN,INTERVENTIONAL,PHASE1|PHASE2,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",CART-19/22,search
kymriah,NCT05199961,Quality of Life of Adults With Diffuse Large B-cell Lymphoma Treated With Tisagenlecleucel,Quality of Life of Adults With Diffuse Large B-cell Lymphoma Treated With Tisagenlecleucel,2022-01-25,TERMINATED,INTERVENTIONAL,NA,Pack Health,Digital Health Coaching,search
kymriah,NCT03544021,CART-19 FOR Relapsed/Refractory Acute Lymphoblastic Leukemia （ALL）,CD19-Targeted CAR-T in Treating Patients With Relapsed/Refractory Acute Lymphoblastic Leukemia （ALL）,2018-03-01,UNKNOWN,INTERVENTIONAL,PHASE1|PHASE2,The Affiliated Hospital of the Chinese Academy of Military Medical Sciences,CART-19 cells,search
kymriah,NCT03876028,Study of Tisagenlecleucel in Combination With Ibrutinib in r/r Diffuse Large B-cell Lymphoma Patients,"A Phase Ib, Multicenter Study to Determine the Safety and Tolerability of Tisagenlecleucel in Combination With Ibrutinib in Adult Patients With Relapsed and/or Refractory Diffuse Large B-cell Lymphoma",2019-06-11,TERMINATED,INTERVENTIONAL,PHASE1,Novartis Pharmaceuticals,Tisagenlecleucel|Ibrutinib,search
kymriah,NCT03896854,CART-19 T Cell in CD19 Positive Relapsed or Refractory Acute Myeloid Leukemia (AML),Pilot Study of the Efficacy and Safety of CD19 Targeted Chimeric Antigen Receptor Engineered T Cell in the Treatment of Relapsed or Refractory CD19 Positive Acute Myeloid Leukemia (AML),2017-10-18,UNKNOWN,INTERVENTIONAL,PHASE1|PHASE2,"Shanghai Unicar-Therapy Bio-medicine Technology Co.,Ltd",CART-19,search
kymriah,NCT01864889,Treatment of Relapsed and/or Chemotherapy Refractory B-cell Malignancy by CART19,Clinical Study of Chimeric CD(Cluster of Differentiation)19 Antigen Receptor-modified T Cells in Relapsed and/or Chemotherapy Refractory B-cell Leukemias and Lymphomas,2013-04,UNKNOWN,INTERVENTIONAL,NA,Chinese PLA General Hospital,anti-CD19-CAR vector-transduced T cells,search
kymriah,NCT05054257,CART19 Cells Effects in Patients with Relapsed or Refractory Acute Lymphoblastic Leukemia and Non-Hodgkin's Lymphoma,"Safety and Efficacy of Anti-CD19 Chimeric Antigen Receptor-modified Autologous T Cells (CART19) in Patients with Relapsed/refractory CD19+ Acute Lymphoblastic Leukemia and Non-Hodgkin's Lymphoma. a Dose Escalation, Open-label, Phase I Study.",2021-06-02,RECRUITING,INTERVENTIONAL,PHASE1,"Institute of Hematology and Blood Transfusion, Czech Republic",Autologous CAR19 T lymphocytes,search
kymriah,NCT03630159,Study of Tisagenlecleucel in Combination With Pembrolizumab in r/r Diffuse Large B-cell Lymphoma Patients,Phase Ib Study of Tisagenlecleucel in Combination With Pembrolizumab in Relapsed/Refractory (r/r) Diffuse Large B-cell Lymphoma (DLBCL) Patients.,2018-10-09,COMPLETED,INTERVENTIONAL,PHASE1,Novartis Pharmaceuticals,Tisagenlecleucel|Pembrolizumab,search
kymriah,NCT04134117,Tisagenlecleucel In Primary CNS Lymphoma,"Pilot Study of Tisagenlecleucel, CD19-targeted Chimeric Antigen Receptor (CAR) T Cells, in Patients With Primary Central Nervous System Lymphoma",2019-01-01,COMPLETED,INTERVENTIONAL,PHASE1,"Matthew J. Frigault, M.D.",Tisagenlecleucel,search
kymriah,NCT04225676,Study of Efficacy and Safety of Reinfusion of Tisagenlecleucel in Pediatric and Young Adult Patients With Acute Lymphoblastic Leukemia (ALL),"A Phase II, Open Label, Multi-center Trial to Determine the Efficacy and Safety of Tisagenlecleucel Re-infusion in Pediatric and Adolescent Young Adult (AYA) Patients With Acute Lymphoblastic Leukemia Experiencing Loss of B Cell Aplasia",2020-10-19,TERMINATED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,Tisagenlecleucel,search
kymriah,NCT04456023,Study of Tisagenlecleucel in Chinese Adult Patients With Relapsed or Refractory Diffuse Large B-cell Non-Hodgkin Lymphoma (DLBCL),"A Phase II, Single-arm, Multicenter Trial to Evaluate the Efficacy and Safety of Tisagenlecleucel in Chinese Adult Patients With Relapsed or Refractory Diffuse Large B-cell Non-Hodgkin Lymphoma (DLBCL)",2022-01-31,WITHDRAWN,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,Tisagenlecleucel,search
kymriah,NCT05480449,Autologous HuCART19 T Cells Manufactured Using the CliniMACS Prodigy Platform for Pediatric B-ALL (huCART19 Prodigy),Phase 1/2b Trial of Autologous Humanized CD19-Directed Chimeric Antigen Receptor T-Cells Manufactured Using the CliniMACS Prodigy Platform for the Treatment of Pediatric B Cell Acute Lymphoblastic Leukemia (B-ALL),2022-09-20,RECRUITING,INTERVENTIONAL,PHASE1|PHASE2,Stephan Grupp MD PhD,Autologous Humanized CD19-Directed Chimeric Antigen Receptor T-Cells (huCART19),search
kymriah,NCT02030834,Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas,Phase IIa Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRz and 4-Signaling Domains in Patients With Chemotherapy Relapsed or Refractory CD19+ Lymphomas,2014-02-05,COMPLETED,INTERVENTIONAL,PHASE2,University of Pennsylvania,CART-19,search
kymriah,NCT04234061,Clinical Trial to Assess The Efficacy and Safety of the Combination of Tisagenlecleucel And Ibrutinib in Mantle Cell Lymphoma,"A Phase II, Open-Label, Single Arm Trial to Assess The Efficacy and Safety of the Combination of Tisagenlecleucel And Ibrutinib in Mantle Cell Lymphoma",2020-04-07,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,"Peter MacCallum Cancer Centre, Australia",ibrutinib and Tisagenlecleucel,search
kymriah,NCT02228096,Study of Efficacy and Safety of CTL019 in Pediatric ALL Patients,"A Phase II, Single Arm, Multicenter Trial to Determine the Efficacy and Safety of CTL019 in Pediatric Patients With Relapsed and Refractory B-cell Acute Lymphoblastic Leukemia",2014-08-14,COMPLETED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,CTL019 T-cells,search
kymriah,NCT03628053,Tisagenlecleucel vs Blinatumomab or Inotuzumab for Patients With Relapsed/Refractory B-cell Precursor Acute Lymphoblastic Leukemia,"Tisagenlecleucel Versus Blinatumomab or Inotuzumab for Adult Patients With Relapsed/Refractory B-cell Precursor Acute Lymphoblastic Leukemia: A Randomized Open Label, Multicenter, Phase III Trial",2020-06-05,WITHDRAWN,INTERVENTIONAL,PHASE3,Novartis Pharmaceuticals,Tisagenlecleucel|Blinatumomab|Inotuzumab,search
kymriah,NCT02640209,Pilot Trial Of Autologous T Cells Engineered To Express Anti-CD19 Chimeric Antigen Receptor (CART19)In Combination With Ibrutinib In Patients With Relapsed Or Refractory CD19+ Chronic Lymphocytic Leukemia (CLL)Or Small Lymphocytic Lymphoma (SLL),Pilot Trial of Autologous T Cells Engineered to Express Anti-CD19 Chimeric Antigen Receptor (CART19) in Combination With Ibrutinib in Patients With Relapsed or Refractory CD19+ CLL or SLL,2016-01-29,TERMINATED,INTERVENTIONAL,EARLY_PHASE1,University of Pennsylvania,CART 19,search
kymriah,NCT02081937,CART-19 Immunotherapy in Mantle Cell Lymphoma,Anti-CD19 Chimeric Antigen Receptor Modified T Cells Infusion in Mantle Cell Lymphoma,2014-03,UNKNOWN,INTERVENTIONAL,PHASE1|PHASE2,Chinese PLA General Hospital,anti-CD19-CAR vector-transduced T cells,search
kymriah,NCT03391726,CART-19 Cells for R/R B-cell Lymphoma,CART-19 Cells For Patients With Relapsed or Refractory B-cell Lymphoma,2016-01-01,UNKNOWN,INTERVENTIONAL,PHASE2|PHASE3,Fujian Medical University,CART-19 cells,search
kymriah,NCT02794246,CART-19 Post-ASCT for Multiple Myeloma,Phase 2 Study Of Autologous T Cells Engineered To Express an Anti-CD19 Chimeric Antigen Receptor (CART-19) Following First-line Autologous Stem Cell Transplantation for High-risk Multiple Myeloma,2016-06,TERMINATED,INTERVENTIONAL,PHASE2,University of Pennsylvania,CART-19 cells,search
kymriah,NCT02445248,Study of Efficacy and Safety of CTL019 in Adult DLBCL Patients,"A Phase II, Single Arm, Multicenter Trial to Determine the Efficacy and Safety of CTL019 in Adult Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma (DLBCL)",2015-07-29,COMPLETED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,Tisagenlecleucel|Lymphodepleting chemotherapy,search
kymriah,NCT03497819,Autologous CARTmeso/19 Against Pancreatic Cancer,Pilot Study of Autologous Chimeric Antigen Receptor Cells Against Mesothelin and CD19 in Patients With Pancreatic Cancer,2017-10-01,UNKNOWN,INTERVENTIONAL,EARLY_PHASE1,First Affiliated Hospital of Wenzhou Medical University,CARTmeso CART19,search
kymriah,NCT04890236,"Duvelisib Exposure to Enhance Immune Profiles of T Cells in Patients With Recurrent or Refractory Diffuse Large B-Cell Lymphoma, DEEP T CELLS Study",Duvelisib Exposure to Enhance Immune Profiles of T Cells in Patients With Diffuse Large B Cell Lymphoma (DEEP T CELLS),2022-01-13,COMPLETED,INTERVENTIONAL,EARLY_PHASE1,Emory University,Duvelisib|Tisagenlecleucel,search
kymriah,NCT03101709,The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma,The Safety and Efficacy of CART-19 Cells in Relapse and Refractory Patients With CD19+ B-cell Lymphoma,2016-08,UNKNOWN,INTERVENTIONAL,PHASE1,Henan Cancer Hospital,Cyclophosphamide|Fludarabine|CART-19,search
kymriah,NCT02435849,Study of Efficacy and Safety of CTL019 in Pediatric ALL Patients,"A Phase II, Single Arm, Multicenter Trial to Determine the Efficacy and Safety of CTL019 in Pediatric Patients With Relapsed and Refractory B-cell Acute Lymphoblastic Leukemia",2015-04-08,COMPLETED,INTERVENTIONAL,PHASE2,Novartis Pharmaceuticals,CTL019,search
kymriah,NCT06003179,Optimizing Lymphodepletion to Improve Outcomes in Patients Receiving Cell Therapy With Kymriah,Optimizing Lymphodepletion to Improve Outcomes in Patients Receiving Anti Cluster of Differentiation Antigen 19 (Anti-CD19) Chimeric Antigen Receptor T (CAR T) Cell Therapy With Kymriah/tIsagenlecleucel (LOKI),2024-04-05,WITHDRAWN,INTERVENTIONAL,PHASE1,"University Health Network, Toronto",Cyclophosphamide|TLI|Fludarabine,search
kymriah,NCT01626495,Phase I/IIA Study of CART19 Cells for Patients With Chemotherapy Resistant or Refractory CD19+ Leukemia and Lymphoma,CHP 959 - A Phase I/IIA Study of Redirected Autologous T Cells Engineered to Contain Anti-CD19 Attached to TCRzeta and 4-1BB Signaling Domains in Patients With Chemotherapy Resistant Or Refractory CD19+ Leukemia and Lymphoma,2011-08-17,COMPLETED,INTERVENTIONAL,PHASE1|PHASE2,University of Pennsylvania,CART-19,search
