metric,technology_class,phase_from,phase_to,value,unit,n_programs,period_covered,comparator_value,comparator_label,verbatim,source_url,status,notes
transition_probability,haematological CAR-T/TCR therapy,NDA/BLA application,Approval,100.0,percent,10,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),90.0,"BIO haematological oncology NDA/BLA, 2011-2020",NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"10 completed registrations, 10 approvals (7 full, 3 accelerated). Other comparators: BIO all TAs 90.6%; BIO all oncology 92.0%; IQVIA 81%."
transition_probability,all therapeutic areas (BIO),Phase I,Phase II,52.0,percent,,Jan 2011-Nov 2020,,,Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO/Informa/QLS 'Clinical Development Success Rates and Contributing Factors 2011-2020' (Biomedtracker), as reproduced in the supplementary table."
transition_probability,all therapeutic areas (BIO),Phase II (incl. Phase I/II),Phase III,28.9,percent,,Jan 2011-Nov 2020,,,Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO/Informa/QLS 'Clinical Development Success Rates and Contributing Factors 2011-2020' (Biomedtracker), as reproduced in the supplementary table."
transition_probability,all therapeutic areas (BIO),Phase III (incl. Phase II/III),NDA/BLA application,57.8,percent,,Jan 2011-Nov 2020,,,Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO/Informa/QLS 'Clinical Development Success Rates and Contributing Factors 2011-2020' (Biomedtracker), as reproduced in the supplementary table."
transition_probability,all therapeutic areas (BIO),NDA/BLA application,Approval,90.6,percent,,Jan 2011-Nov 2020,,,NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO/Informa/QLS 'Clinical Development Success Rates and Contributing Factors 2011-2020' (Biomedtracker), as reproduced in the supplementary table."
likelihood_of_approval,all therapeutic areas (BIO),Phase I,Approval,7.9,percent,,Jan 2011-Nov 2020,,,Likelihood of Approval (LOA) 18.5% 7.6% 7.9% 5.3% 7.5% 7.3% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO/Informa/QLS 'Clinical Development Success Rates and Contributing Factors 2011-2020' (Biomedtracker), as reproduced in the supplementary table."
transition_probability,all oncology (BIO),Phase I,Phase II,48.8,percent,,Jan 2011-Nov 2020,,,Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, oncology disease area, as reproduced in the supplementary table."
transition_probability,all oncology (BIO),Phase II (incl. Phase I/II),Phase III,24.6,percent,,Jan 2011-Nov 2020,,,Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, oncology disease area, as reproduced in the supplementary table."
transition_probability,all oncology (BIO),Phase III (incl. Phase II/III),NDA/BLA application,47.7,percent,,Jan 2011-Nov 2020,,,Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, oncology disease area, as reproduced in the supplementary table."
transition_probability,all oncology (BIO),NDA/BLA application,Approval,92.0,percent,,Jan 2011-Nov 2020,,,NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, oncology disease area, as reproduced in the supplementary table."
likelihood_of_approval,all oncology (BIO),Phase I,Approval,5.3,percent,,Jan 2011-Nov 2020,,,Likelihood of Approval (LOA) 18.5% 7.6% 7.9% 5.3% 7.5% 7.3% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, oncology disease area, as reproduced in the supplementary table."
transition_probability,haematological oncology (BIO),Phase I,Phase II,50.1,percent,,Jan 2011-Nov 2020,,,Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, haematological oncology, as reproduced in the supplementary table."
transition_probability,haematological oncology (BIO),Phase II (incl. Phase I/II),Phase III,27.8,percent,,Jan 2011-Nov 2020,,,Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, haematological oncology, as reproduced in the supplementary table."
transition_probability,haematological oncology (BIO),Phase III (incl. Phase II/III),NDA/BLA application,60.0,percent,,Jan 2011-Nov 2020,,,Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, haematological oncology, as reproduced in the supplementary table."
transition_probability,haematological oncology (BIO),NDA/BLA application,Approval,90.0,percent,,Jan 2011-Nov 2020,,,NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, haematological oncology, as reproduced in the supplementary table."
likelihood_of_approval,haematological oncology (BIO),Phase I,Approval,7.5,percent,,Jan 2011-Nov 2020,,,Likelihood of Approval (LOA) 18.5% 7.6% 7.9% 5.3% 7.5% 7.3% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"BIO 2011-2020 report, haematological oncology, as reproduced in the supplementary table."
transition_probability,all therapeutic areas (IQVIA),Phase I,Phase II,45,percent,,2010-2023,,,Phase I 55.0% 26.3% 52.0% 48.8% 50.1% 45% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"IQVIA Institute 'Global Trends in R&D 2024' (IQVIA Pipeline Intelligence), as reproduced in the supplementary table; IQVIA values given to whole percent."
transition_probability,all therapeutic areas (IQVIA),Phase II (incl. Phase I/II),Phase III,36,percent,,2010-2023,,,Phase II + Phase I/II 49.2% 38.7% 28.9% 24.6% 27.8% 36% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"IQVIA Institute 'Global Trends in R&D 2024' (IQVIA Pipeline Intelligence), as reproduced in the supplementary table; IQVIA values given to whole percent."
transition_probability,all therapeutic areas (IQVIA),Phase III (incl. Phase II/III),NDA/BLA application,56,percent,,2010-2023,,,Phase III + Phase II/III 68.4% 75.0% 57.8% 47.7% 60.0% 56% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"IQVIA Institute 'Global Trends in R&D 2024' (IQVIA Pipeline Intelligence), as reproduced in the supplementary table; IQVIA values given to whole percent."
transition_probability,all therapeutic areas (IQVIA),NDA/BLA application,Approval,81,percent,,2010-2023,,,NDA/BLA Application 100.0% 100.0% 90.6% 92.0% 90.0% 81% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"IQVIA Institute 'Global Trends in R&D 2024' (IQVIA Pipeline Intelligence), as reproduced in the supplementary table; IQVIA values given to whole percent."
likelihood_of_approval,all therapeutic areas (IQVIA),Phase I,Approval,7.3,percent,,2010-2023,,,Likelihood of Approval (LOA) 18.5% 7.6% 7.9% 5.3% 7.5% 7.3% (supplementary p.5 table 'dCGT Success Rate Comparison to BIO and IQVIA'; columns in order: PAM Rare Disease Gene Therapy; PAM Haematological CAR-T/TCR Therapy; BIO All therapeutic areas; BIO All Oncology; BIO Haematological Oncology; IQVIA All Therapeutic Areas),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"IQVIA Institute 'Global Trends in R&D 2024' (IQVIA Pipeline Intelligence), as reproduced in the supplementary table; IQVIA values given to whole percent."
program_count,rare disease gene therapy,clinical entry (all phases),,195,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),402,haematological CAR-T/TCR programmes started,dCGT Trial Phase Level Outcomes: Orphan Gene Therapy 195 Started; Haematological CAR-T/TCR Therapy 402 Started,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Labelled 'Orphan Gene Therapy' in the outcomes table (supplementary p.4); same class as 'Rare Disease Gene Therapy' in the rate table. Programmes with active trials starting on or before 31 Dec 2023.
program_count,haematological CAR-T/TCR therapy,clinical entry (all phases),,402,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),195,orphan gene therapy programmes started,dCGT Trial Phase Level Outcomes: Orphan Gene Therapy 195 Started; Haematological CAR-T/TCR Therapy 402 Started,https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,Supplementary p.4 outcomes table.
program_count,durable CGT (both classes),clinical entry (all phases),,597,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,195 + 402 = 597 (arithmetic on the two 'Started' counts),https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,derived,"Derived: sum of the two verified 'Started' rows. Secondary coverage (wewillcure.com, 14 April 2025, via search snippet) states the analysis included 597 clinical trials (195 rare disease gene therapy, 402 CAR-T/TCR) initiated 1 Jan 1988 to 31 Dec 2023, consistent with this sum."
program_count,rare disease gene therapy,Phase 1,Active,14,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,haematological CAR-T/TCR therapy,Phase 1,Active,121,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Active' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
program_count,rare disease gene therapy,Phase 1,Completed,20,product-indication programmes,,1988-2023 (ClinicalTrials.gov trials starting on or before 31 Dec 2023; outcomes cut-off 31 Dec 2023),,,"dCGT Trial Phase Level Outcomes, Phase 1: Active 14 / 121; Completed 20 / 99; Advanced to subsequent Phase 11 / 26; No subsequent Phase 9 / 73 (Orphan Gene Therapy / Haematological CAR-T/TCR Therapy)",https://media.nature.com/original/magazine-assets/d41573-025-00036-8/50677254,verified-from-source,"Supplementary p.4 table; count of programmes in status 'Completed' at Phase 1. 'Active' = trial still in progress (excluded from rate denominators); 'Completed' = phase completed (rate denominator); 'Advanced' / 'No subsequent Phase' = numerator / failures. Programmes appear at every phase they pass through, so phase counts exceed the 'Started' total."
