nct,title,status,start_date,why,phase,enrollment,sponsor,sponsor_class,conditions,interventions,fetched_date,precision_medicine_match,in_study_halted_set,start_year,stratum,cell_n,has_reason,names_financial_cause,names_financial_or_business,denies_safety_cause,why_s,blocker,biz
NCT05241613,A Study of AC176 for the Treatment of Metastatic Castration Resistant Prostate Cancer,TERMINATED,2022-03-16,"Subject benefit-risk ratio changes, sponsor decides to voluntarily terminate study",PHASE1,28,Accutar Biotechnology Inc,INDUSTRY,Metastatic Castration Resistant Prostate Cancer,AC176,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,"Subject benefit-risk ratio changes, sponsor decides to voluntarily terminate study",Safety or toxicity,False
NCT06719973,Phase 1 Study of M9466 Combined With Carboplatin and Platinum-based Anticancer Therapy (DDRiver 521),WITHDRAWN,2025-05-14,"Study was terminated due to decision made not to proceed with the clinical trial DDRiver 521, that has not yet commenced enrolment, for strategic reasons.",PHASE1,0,"EMD Serono Research & Development Institute, Inc.",INDUSTRY,Advanced Solid Tumors,M9466|Carboplatin|Etoposide|Atezolizumab|M9446|M9446|Carboplatin,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,True,False,"Study was terminated due to decision made not to proceed with the clinical trial DDRiver 521, that has not yet commenced enrolment, for strategic reasons.","Funding, business or strategic decision",True
NCT05309902,A Study of Soticlestat in Healthy Adults To Evaluate the Effect on QTc Interval,WITHDRAWN,2022-10-11,Study not needed,PHASE1,0,Takeda,INDUSTRY,Healthy Volunteers,Soticlestat|Placebo|Moxifloxacin|Placebo,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Study not needed,"Funding, business or strategic decision",True
NCT06188208,A First-in-Human (FIH) Study to Evaluate the Safety and Tolerability of VVD-130850 in Participants With Advanced Solid and Hematologic Tumors,TERMINATED,2024-01-05,The study has ended,PHASE1,132,"Vividion Therapeutics, Inc.",INDUSTRY,Advanced Solid Tumors|Advanced Hematologic Tumors,VVD-130850|Pembrolizumab,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,The study has ended,Unclear,False
NCT06585488,"A First-in-human Study of BGB-53038, a Pan-KRAS Inhibitor, Alone or in Combinations in Participants With Advanced or Metastatic Solid Tumors With KRAS Mutations or Amplification",TERMINATED,2024-12-13,"The Sponsor has made the decision to terminate this study due to the lack of promising efficacy, internal prioritization, and highly competitive landscape.",PHASE1,47,BeOne Medicines,INDUSTRY,Metastatic Solid Tumors|Advanced Non-squamous Non-small-cell Lung Cancer|Advanced Colorectal Cancer|Advanced Pancreatic Ductal Adenocarcinoma|Advanced Gastric Cancer|Advanced Gastroesophageal Junction Cancer|Advanced Esophageal Adenocarcinoma,BGB-53038|Tislelizumab|Cetuximab,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,"The Sponsor has made the decision to terminate this study due to the lack of promising efficacy, internal prioritization, and highly competitive landscape.",Efficacy failure or futility,False
NCT05678881,"Safety, Tolerability, and Efficacy of RLS103 in a Clinical Model of Photosensitive Epilepsy",TERMINATED,2022-04-25,Lack of enrollment,PHASE1,2,Receptor Life Sciences,INDUSTRY,Epilepsy,High dose RLS103|placebo inhaled powder|Low dose RLS103,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Lack of enrollment,Recruitment or feasibility failure,False
NCT06487858,A Study of BGB-R046 as Monotherapy and in Combination With Tislelizumab in Solid Tumors,TERMINATED,2024-07-16,This decision is due to a company business decision with a strategy change on the BGB-R046 development in Advanced or Metastatic Solid Tumors.,PHASE1,42,BeOne Medicines,INDUSTRY,Solid Tumor,BGB-R046|Tislelizumab,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,This decision is due to a company business decision with a strategy change on the BGB-R046 development in Advanced or Metastatic Solid Tumors.,"Funding, business or strategic decision",True
NCT05769959,Study of RO7515629 in Participants With HLA-G Positive Solid Tumors,TERMINATED,2023-06-15,"Sponsor decision (not related to safety, efficacy or quality).",PHASE1,3,Hoffmann-La Roche,INDUSTRY,Renal Cell Carcinoma|Non-small Cell Lung Cancer|Pancreatic Adenocarcinoma|Colorectal Cancer|Ovarian Neoplasms,RO7515629|tocilizumab,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,True,"Sponsor decision (not related to safety, efficacy or quality).","Funding, business or strategic decision",True
NCT05942820,"The Safety, Tolerability, and Pharmacokinetics of Single and Multiple Ascending Doses of BWC0977 in Healthy Adult Volunteers",TERMINATED,2023-08-30,CMC challenges,PHASE1,4,Bugworks Research Inc.,INDUSTRY,Infectious Diseases|Bacterial Infections,BWC0977|Placebo,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,CMC challenges,Manufacturing or product supply,False
NCT02864784,"Investigating the Safety, Tolerability and Efficacy of Amorphous Calcium Carbonate (ACC) on the Treatment of Subjects With CRPC",WITHDRAWN,2022-06,Budget,PHASE1,0,Amorphical Ltd.,INDUSTRY,Castrate Resistant Prostate Cancer With Bone Metastasis,Amorphous calcium carbonate|Placebo,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,True,True,False,Budget,"Funding, business or strategic decision",True
NCT06163898,A Study to Evaluate Alnuctamab in Combination With Mezigdomide in Participants With Relapsed and/or Refractory Multiple Myeloma,TERMINATED,2024-02-27,Business objectives have changed,PHASE1,4,Celgene,INDUSTRY,Multiple Myeloma,Alnuctamab|Mezigdomide|Dexamethasone,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,Business objectives have changed,"Funding, business or strategic decision",True
NCT05241873,(Concerto) Study of BLU-451 in Advanced Cancers With EGFR Exon 20 Insertion Mutations,TERMINATED,2022-03-04,"Sponsor decision, not related to safety concerns",PHASE1,103,Blueprint Medicines Corporation,INDUSTRY,"Lung Neoplasm Malignant|Carcinoma, Non-Small-Cell Lung|Respiratory Tract Neoplasms|Neoplasms|Neoplasms by Site|Lung Diseases|Respiratory Tract Disease|Carcinoma, Bronchogenic|Bronchial Neoplasms|Adenocarcinoma|Carcinoma|Neoplasms by Histologic Type|EGFR Exon 20 Mutation|EGFR Exon 20 Insertion Mutation|EGFR Activating Mutation|Antineoplastic Agents|Metastatic Lung Cancer|Brain Metastases|EGFR-mutated NSCLC|EGFR Atypical Mutations, Including G719X and L861Q",BLU-451|Carboplatin|Pemetrexed,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,True,"Sponsor decision, not related to safety concerns","Funding, business or strategic decision",True
NCT05652868,Clinical Study of Antibody-Drug Conjugate MYTX-011 in Subjects With Non-Small Cell Lung Cancer,TERMINATED,2023-03-23,Business decision,PHASE1,227,Mythic Therapeutics,INDUSTRY,NSCLC|NSCLC Stage IV|NSCLC Stage IIIB|Non-Small Cell Lung Cancer|Advanced Non-Small Cell Squamous Lung Cancer|Advanced Non-Small Cell Lung Cancer|Advanced Non-Small Cell Non-Squamous Lung Cancer,MYTX-011,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT05621525,Phase I Study of the BBP-398 in Patients With Advance Solid Tumors,TERMINATED,2022-10-18,Business reason,PHASE1,7,LianBio LLC,INDUSTRY,Advanced Solid Tumor|Advanced or Metastatic Non-small Cell Lung Cancer,BBP-398,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,True,False,Business reason,"Funding, business or strategic decision",True
NCT06321562,Safety and Tolerability of a Timolol Releasing Intraocular Implant in Subjects With Primary Open-angle Glaucoma,TERMINATED,2023-03-01,The study was terminated early due to the difficulties to enrol participant,PHASE1,1,EyeD Pharma,INDUSTRY,Primary Open-angle Glaucoma,TimoD implant|Injector system,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,The study was terminated early due to the difficulties to enrol participant,Recruitment or feasibility failure,False
NCT06341647,Phase 1 Clinical Trial to Evaluate the Safety and Anti-Tumor Activity of AB-201,WITHDRAWN,2024-10-31,Determined that enrollment would be limited due to the change in care setting.,PHASE1,0,GC Cell Corporation,INDUSTRY,Breast Cancer|Gastric Cancer|Gastroesophageal Junction Adenocarcinoma,AB-201|Cyclophosphamide|Fludarabine,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,Determined that enrollment would be limited due to the change in care setting.,Recruitment or feasibility failure,False
NCT06611423,AZD3427 Effects on Renal Perfusion in Heart Failure Patients With Reduced Ejection Fraction and Renal Impairment,TERMINATED,2024-10-15,The Sponsor encountered difficulties in recruiting patients for clinical trial D8330C00004 and decided to end the study earlier for business reasons not affecting the benefit-risk balance.,PHASE1,10,AstraZeneca,INDUSTRY,Heart Failure With Reduced Ejection Fraction (HFrEF)|Renal Impairment,AZD3427|AZD3427 Placebo|Dopamine|Radiolabelled ligand|Saline,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,The Sponsor encountered difficulties in recruiting patients for clinical trial D8330C00004 and decided to end the study earlier for business reasons not affecting the benefit-risk balance.,Recruitment or feasibility failure,False
NCT04674735,Safety of APSLXR in Patients Presenting Vertigo of Vestibular Origin or Meniere's Disease,WITHDRAWN,2023-01,Cancelled by Sponsor,PHASE1,0,Apsen Farmaceutica S.A.,INDUSTRY,Meniere Disease|Vertigo|Vertigo Vestibular,APSLXR,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,Cancelled by Sponsor,"Funding, business or strategic decision",True
NCT05250856,CNP-201 in Subjects With Peanut Allergy,TERMINATED,2022-03-14,Lagging Enrollment and Administrative Reasons,PHASE1,15,"COUR Pharmaceutical Development Company, Inc.",INDUSTRY,Peanut Allergy,CNP-201|Placebo,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Lagging Enrollment and Administrative Reasons,Recruitment or feasibility failure,False
NCT05338346,A Study of ATG-018 (ATR Inhibitor) Treatment in Patients With Advanced Solid Tumors and Hematological Malignancies,TERMINATED,2022-07-08,Lack of efficacy of study compound,PHASE1,22,Antengene Discovery Limited,INDUSTRY,Advanced Solid Tumors|Hematological Malignancies,ATG-018,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Lack of efficacy of study compound,Efficacy failure or futility,False
NCT06628622,A Study to Test Whether BI 1356225 Improves Impulsive Behavior in People With Opioid Use Disorder Who Are Taking Buprenorphine,TERMINATED,2025-01-27,Sponsor decision,PHASE1,12,Boehringer Ingelheim,INDUSTRY,Opioid Use Disorder,BI 1356225|Placebo,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT06299761,Study of the RNR Inhibitor BBI-825 in Subjects With Tumors With Resistance Gene Amplifications,TERMINATED,2024-03-28,Strategic decision made following an assessment of preliminary PK data from the Part 1 portion of the trial showing a lack of dose proportional exposure and the increasing complexity and associated development costs in this landscape.,PHASE1,19,"Boundless Bio, Inc.",INDUSTRY,Solid Tumor,BBI-825,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,True,True,False,Strategic decision made following an assessment of preliminary PK data from the Part 1 portion of the trial showing a lack of dose proportional exposure and the increasing complexity and associated development costs in this landscape.,"Funding, business or strategic decision",True
NCT05605119,"First in Human, Dose Escalation, Dose Expansion Study of AUR105",TERMINATED,2022-11-30,Patient recruitment problems.,PHASE1,17,Aurigene Discovery Technologies Limited,INDUSTRY,"Solid Tumor, Adult|Non-hodgkin Lymphoma|Hodgkin Lymphoma",AUR105,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Patient recruitment problems.,Recruitment or feasibility failure,False
NCT05490030,"Pharmacokinetics of TNO155 in Participants With Mild, Moderate, or Severe Hepatic Impairment Compared to Matched Healthy Participants",WITHDRAWN,2025-03-06,Sponsor's decision,PHASE1,0,Novartis Pharmaceuticals,INDUSTRY,Hepatic Impairment,TNO155,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,False,False,Sponsor's decision,"Funding, business or strategic decision",True
NCT06466187,A Study of SGN-MesoC2 in Advanced Solid Tumors,TERMINATED,2024-08-02,The trial was terminated for strategic reasons. The decision was not based on any safety concerns,PHASE1,19,"Seagen, a wholly owned subsidiary of Pfizer",INDUSTRY,"Carcinoma, Non-Small-Cell Lung|Ovarian Neoplasms|Pancreatic Adenocarcinoma|Colorectal Neoplasms|Mesothelioma|Other Solid Tumors|Endometrial",PF-08052666,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,The trial was terminated for strategic reasons. The decision was not based on any safety concerns,"Funding, business or strategic decision",True
NCT06009237,"A Study to Assess Pharmacokinetics, Safety, and Tolerability of ABBV-903 in Healthy Japanese and Han Chinese Participants",TERMINATED,2023-08-23,Strategic considerations,PHASE1,24,AbbVie,INDUSTRY,Healthy Volunteers,ABBV-903|Placebo for ABBV-903,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,Strategic considerations,"Funding, business or strategic decision",True
NCT05532046,"A Study to Learn How Safe Study Drug BAY2413555 is, How it Affects the Body, and How it Moves Into, Through, and Out of the Body Over 4 Weeks of Use in Participants With Heart Failure and Implanted Cardiac Defibrillator or Cardiac Resynchronization Devices (ICD/CRT)",TERMINATED,2022-09-20,Due to new preclinical findings in a chronic toxicology study.,PHASE1,22,Bayer,INDUSTRY,Chronic Heart Failure,BAY2413555 Dose 1|BAY2413555 Dose 2|Placebo to BAY2413555,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,Due to new preclinical findings in a chronic toxicology study.,Safety or toxicity,False
NCT06034860,Study of MT-8421 as Monotherapy and in Combination With Nivolumab in Patients With Selected Advanced Solid Cancer Types,TERMINATED,2023-11-01,Sponsor Termination,PHASE1,15,"Molecular Templates, Inc.",INDUSTRY,Non Small Cell Lung Cancer|Hepatocellular Carcinoma|Melanoma|Renal Cell Carcinoma|Microsatellite Instability High|Mismatch Repair Deficiency|Mesothelioma|Esophageal Squamous Cell Carcinoma|Squamous Cell Carcinoma of Head and Neck|Urothelial Carcinoma|Cervical Cancer,MT-8421|Nivolumab,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,Sponsor Termination,"Funding, business or strategic decision",True
NCT05384119,Phase 1b/2 Study of TTI-101 in Combination for Patients With Metastatic Hormone Receptor-Positive and HER2-Negative Breast Cancer,TERMINATED,2023-01-09,The study was terminated prior to Phase 2 due to slow accrual.,PHASE1,6,"Tvardi Therapeutics, Incorporated",INDUSTRY,Breast Cancer,TTI-101|Palbociclib|Aromatase inhibitor (AI)|fulvestrant|ribociclib,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,The study was terminated prior to Phase 2 due to slow accrual.,Recruitment or feasibility failure,False
NCT06961370,"A Study to Investigate Safety, Tolerability, Pharmacokinetics (PK), Pharmacodynamics (PD), and Immunogenicity of RO7669330 in Participants With Geographic Atrophy (GA) Secondary to Age-related Macular Degeneration (AMD)",TERMINATED,2025-07-16,The study was terminated prematurely by the Sponsor due to observation of dose-limiting adverse events meeting the protocol-defined stopping criteria.,PHASE1,27,Hoffmann-La Roche,INDUSTRY,Geographic Atrophy|Age-related Macular Degeneration,RO7669330|Syfovre™|Izervay™,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,False,False,The study was terminated prematurely by the Sponsor due to observation of dose-limiting adverse events meeting the protocol-defined stopping criteria.,Safety or toxicity,False
NCT05644600,A Study to Assess the Effect of AZD5055 on the Pharmacokinetics (PK) of Nintedanib in Healthy Participants.,TERMINATED,2023-05-26,The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.,PHASE1,18,AstraZeneca,INDUSTRY,Healthy Subjects,Nintedanib|AZD5055,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,The study was terminated as no drug-drug interactions were observed in Part-A of the study and therefore Part-B of the study was not required as per protocol.,"Investigator, site or administrative",False
NCT05596045,"Study to Evaluate Safety, Tolerability, Efficacy and Pharmacokinetics of ASC10 in Mild to Moderate COVID-19 Patients",WITHDRAWN,2022-11-28,This study has been cancelled due to business reasons.,PHASE1,0,"Ascletis Pharmaceuticals Co., Ltd.",INDUSTRY,SARS CoV 2 Infection,ASC10|Placebo,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,True,False,This study has been cancelled due to business reasons.,"Funding, business or strategic decision",True
NCT06704724,A Study to Learn About the Study Medicine PF-07985045 When Given Alone or With Other Anti-cancer Therapies in People With Advanced Solid Tumors That Have a Change in a Gene.,TERMINATED,2024-12-10,The trial was terminated for strategic business reasons; the decision was not based on any safety and/or efficacy concerns.,PHASE1,30,Pfizer,INDUSTRY,"Carcinoma, Pancreatic Ductal|Colorectal Neoplasms|Carcinoma, Non-Small-Cell Lung",PF-07985045|Gemcitabine|Nab-paclitaxel|Cetuximab|Fluorouracil|Oxaliplatin|Leucovorin|Bevacizumab|Pembrolizumab|Sasanlimab|pemetrexed|Cisplatin|Paclitaxel|Carboplatin|PF-07284892,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,The trial was terminated for strategic business reasons; the decision was not based on any safety and/or efficacy concerns.,"Funding, business or strategic decision",True
NCT05644626,"Safety, Pharmacokinetics and Antitumor Activity of BGB-B167 Alone and in Combination With Tislelizumab in Participants With Solid Tumors in Chinese Participants",WITHDRAWN,2024-03,Sponsor determined the data was no longer needed.,PHASE1,0,BeiGene,INDUSTRY,Solid Tumors,BGB-B167|Tislelizumab,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,Sponsor determined the data was no longer needed.,"Funding, business or strategic decision",True
NCT05961839,Study of SGR-2921 in Relapsed/Refractory Acute Myeloid Leukemia or Myelodysplastic Syndrome,TERMINATED,2023-09-27,Company decision,PHASE1,66,"Schrödinger, Inc.",INDUSTRY,Acute Myeloid Leukemia|High-Risk and Very High-Risk Myelodysplastic Syndromes,SGR-2921,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,False,False,Company decision,"Funding, business or strategic decision",True
NCT06340581,"A Study to Assess the Lung Exposure Bioequivalence of Budesonide, Glycopyrronium, & Formoterol (BGF) Metered Dose Inhaler (MDI) With a Next-generation Propellant (NGP) With a Spacer, BGF MDI Hydrofluoroalkane (HFA) With a Spacer, as Well as BGF MDI NGP Without a Spacer",WITHDRAWN,2024-10-17,Study no longer required.,PHASE1,0,AstraZeneca,INDUSTRY,Healthy,Treatment A: BGF MDI HFA|Treatment B: BGF MDI HFO|Treatment C: BGF MDI HFO|AeroChamber Plus Flow-Vu Spacer,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,Study no longer required.,"Funding, business or strategic decision",True
NCT05639153,"A Trial to Evaluate the Safety, Tolerability, Pharmacokinetics and Preliminary Efficacy of DR30303 in Patients With Advanced Solid Tumors",TERMINATED,2022-05-13,"This trial was terminated voluntarily by the Sponsor for reasons related to its corporate strategic development, with no safety concerns or efficacy signals related to the investigational product identified.",PHASE1,13,"Zhejiang Doer Biologics Co., Ltd.",INDUSTRY,Malignant Neoplasm of Digestive System,DR30303,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,True,True,True,"This trial was terminated voluntarily by the Sponsor for reasons related to its corporate strategic development, with no safety concerns or efficacy signals related to the investigational product identified.","Funding, business or strategic decision",True
NCT06222034,Study to Measure Filgotinib in the Blood of Children and Teenagers With Arthritis Taking Filgotinib (SCALESIA),TERMINATED,2024-05-13,The sponsor decided to stop recruitment and to early terminate the trial with 9 enrolled patients.,PHASE1,9,Alfasigma S.p.A.,INDUSTRY,Juvenile Idiopathic Arthritis,Filgotinib|Filgotinib,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,The sponsor decided to stop recruitment and to early terminate the trial with 9 enrolled patients.,"Funding, business or strategic decision",True
NCT05330208,"Single Ascending Dose and Multiple Dose Study to Assess the Safety, Tolerability, Pharmacokinetics and Pharmacodynamics of SHR-1816 in Healthy Subjects",TERMINATED,2022-05-18,Sponsor internal strategy change.,PHASE1,60,"Beijing Suncadia Pharmaceuticals Co., Ltd",INDUSTRY,Diabetes,SHR-1816|Placebo,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,True,False,Sponsor internal strategy change.,"Funding, business or strategic decision",True
NCT05958199,A Study of NPX267 for Subjects With Solid Tumors Known to Express HHLA2/B7-H7,SUSPENDED,2023-07-21,Business decision,PHASE1,131,"NextPoint Therapeutics, Inc.",INDUSTRY,Metastatic Malignant Neoplasm,NPX267,2026-09-07,False,False,2023,phase 1 x 2022-2025,29,True,False,True,False,Business decision,"Funding, business or strategic decision",True
NCT05828303,"A Phase 1 Study to Evaluate the Potential Drug Interactions Between Repotrectinib and Metformin, Digoxin, and Rosuvastatin in Patients With Advanced Solid Tumors",WITHDRAWN,2024-11-15,Insufficient enrollment,PHASE1,0,"Turning Point Therapeutics, Inc.",INDUSTRY,Advanced Solid Tumor|Metastatic Solid Tumor,TPX-0005|Metformin Hydrochloride|Digoxin|Rosuvastatin Calcium,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,Insufficient enrollment,Recruitment or feasibility failure,False
NCT06078202,A Study to Assess the Relative Bioavailability of Three Immediate-Release Tablet Formulations of ABBV-903 in Healthy Adult Volunteers,WITHDRAWN,2024-12-01,Strategic considerations,PHASE1,0,AbbVie,INDUSTRY,Healthy Volunteers,ABBV-903,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,True,False,Strategic considerations,"Funding, business or strategic decision",True
NCT05129280,"A Study to Evaluate Safety, Pharmacokinetics, and Preliminary Anti-tumor Activity of RO7444973 in Participants With Unresectable and/or Metastatic MAGE-A4-positive Solid Tumors",TERMINATED,2022-01-25,The study was terminated due to program discontinuation.,PHASE1,23,Hoffmann-La Roche,INDUSTRY,Solid Tumors,RO7444973|Tocilizumab,2026-09-07,False,False,2022,phase 1 x 2022-2025,29,True,False,False,False,The study was terminated due to program discontinuation.,"Funding, business or strategic decision",True
NCT07431398,Single-dose Pharmacokinetics of Pociredir in Participants With Sickle Cell Disease,TERMINATED,2025-12-13,Sponsor decision,PHASE1,13,Fulcrum Therapeutics,INDUSTRY,Sickle Cell Disease,Pociredir,2026-09-07,False,False,2025,phase 1 x 2022-2025,29,True,False,False,False,Sponsor decision,"Funding, business or strategic decision",True
NCT06061523,A Clinical Trial to Evaluate Bioavailability and Effect of Food for Sotorasib in Healthy Participants,WITHDRAWN,2024-07-15,FDA and EMA agreed existing data are appropriate for approval and no further BE studies are required.,PHASE1,0,Amgen,INDUSTRY,Healthy Participants,Sotorasib,2026-09-07,False,False,2024,phase 1 x 2022-2025,29,True,False,False,False,FDA and EMA agreed existing data are appropriate for approval and no further BE studies are required.,Regulatory or ethics hold,False
