why,human_category,categories_allowed
Study discontinued due to sponsor decision,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Sentinel MRD test offers no additional or increased benefits to patients compared to current marketed alternatives,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No longer have funding support to complete the pharmacogenetics component.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Replaced by study by different sponsor,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Company decision to stop trial, withdraw the IND and close down operations.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Internal decision.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
another clinical study for regulatory approval is planned,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Loss of funding for the continuation of the Study,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No eligible patients could be found and funding was lost,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Feasibility Concerns,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Transition of study Sponsor.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The MMRF has learned of the limitations of using a blood sample to collect genomic data, compared to a bone marrow aspirate. We decided that our resources are best served in other areas at this time.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Difficulties recruiting participants,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Decision of Sponsor.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Recruitment issue,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The study was terminated early due to a strategic realignment of the sponsor's business plan, not related to safety, efficacy, or data integrity concerns.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"The study has been withdrawn due to significant changes in its scope, which no longer align with the original protocol.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Due to limitation of production capacity,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Poor accrual,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Unanticipated delays, not for safety reasons",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Per sponsor and PI institution discussions,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Early termination leading to no patients enrolled in cohort B.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Unable to finalize study agreements,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Seeking financial support.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
This trial did not start. No participants enrolled,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Lack of Eligible Subjects,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
funding refused,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Patients were enrolled under global Phase 1/2 protocol RP-L201-0318.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Terminated early for business reasons.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
investigator choice,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
we are suspending this study until we have continued funding.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Recruiting and financial constraints,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
decided by the sponsor,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
No longer conducting this retrospective research,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Per Principal Investigator request,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Insufficient enrollment,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Interim analysis did not show sufficient immunogenicity of IMP compared to placebo,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Insufficient resources.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
"Based on the available clinical data and capital requirements for continued development, the Company has decided to terminate this study.",,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
no measurable response was detected at the 50% increase threshold.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
The scientific director decided to terminate: low priority study with slow accrual,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Covid prevented us from performing the study and the funding ran out,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Difficulties in patient recruitment and clinical strategy modification based on new clinical data generated in the NKR-2 early development.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Enrollment has been temporarily paused pending ethics review and implementation of the revised study protocol. Follow-up of previously enrolled participants is continuing.,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Funder of the study terminated contract,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
Both the sponsors and collaborator are considering terminating the study,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
interim assessment by sponsor,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
funding issues,,"Safety or toxicity | Efficacy failure or futility | Recruitment or feasibility failure | Funding, business or strategic decision | Manufacturing or product supply | Regulatory or ethics hold | COVID-19 disruption | Investigator, site or administrative | Protocol redesign or replacement | Administrative rollover or transfer (not a failure) | Unclear"
