product,platform_class,series_region,regimen,first_in_human,first_approval,fda_approval,clinical_stage_years,first_revenue_quarter_end,months_first_approval_to_first_revenue,months_fda_to_first_revenue,last_quarter_end,follow_up_years_from_first_approval,cumulative_patients_low,cumulative_patients_central,denominator_geography,denominator_family,prevalent_low,prevalent_high,annual_low,annual_high,pool_at_last_quarter_low,pool_at_last_quarter_high,penetration_low,penetration_high,runrate_penetration_low,runrate_penetration_high,months_to_quarter_of_pool_conservative,status_quarter_conservative,months_to_quarter_of_pool_optimistic,status_quarter_optimistic,months_to_half_of_pool_conservative,status_half_conservative,months_to_half_of_pool_optimistic,status_half_optimistic,h1_reading,flags,pool_basis
luxturna,AAV subretinal,Total,one-time,2007-09-01,2017-12-19,2017-12-19,10.3,2018-03-31,3.4,3.4,2026-06-30,8.53,245,323,US,prevalent,1000.0,3000.0,,,1000,3000,0.082,0.323,,,102.3,censored,90.3,reached,102.3,censored,102.3,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,,"static: all indications with a range, from launch"
lyfgenia,lentiviral ex vivo,Total,one-time,2013-06-07,2023-12-08,2023-12-08,10.5,2024-09-30,9.8,9.8,2025-03-31,1.31,8,10,US,prevalent,20000.0,25000.0,,,20000,25000,0.0,0.001,,,15.7,censored,15.7,censored,15.7,censored,15.7,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
omisirge,expanded cord blood,Total,one-time,2010-11-01,2023-04-17,2023-04-17,12.46,2023-09-30,5.5,5.5,2024-03-31,0.96,8,10,US,annual,,,1000.0,1000.0,750,750,0.011,0.014,0.008,0.01,11.5,censored,11.5,censored,11.5,censored,11.5,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
papzimeos,adenoviral immunotherapy,Total,one-time,2021-03-16,2025-08-14,2025-08-14,4.41,2025-12-31,4.6,4.6,2026-06-30,0.88,78,103,US,prevalent,27000.0,27000.0,,,27000,27000,0.003,0.004,,,10.5,censored,10.5,censored,10.5,censored,10.5,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
provenge,autologous cellular immunotherapy,Total,course,1999-11-01,2010-04-29,2010-04-29,10.49,2010-06-30,2.0,2.0,2016-12-31,6.67,17772,23385,,,,,,,,,,,,,,,,,,,,,,no eligible range with a verified or derived row,"static: all indications with a range, from launch"
roctavian,AAV systemic,Total,one-time,2015-09-28,2022-08-24,2023-06-30,6.9,2023-09-30,13.2,3.0,2026-06-30,3.85,28,37,US,prevalent,2500.0,11000.0,,,2500,11000,0.003,0.015,,,46.2,censored,46.2,censored,46.2,censored,46.2,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
ryoncil,mesenchymal stromal cells,Total,course,2005-04-27,2024-12-19,2024-12-19,19.65,2025-06-30,6.3,6.3,2026-06-30,1.53,87,114,US,annual,,,443.0,443.0,553,553,0.157,0.207,0.179,0.236,18.3,censored,18.3,censored,18.3,censored,18.3,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
skysona,lentiviral ex vivo,US,one-time,2013-08-21,2021-07-16,2022-09-16,7.9,2023-03-31,20.5,6.4,2025-03-31,3.71,7,10,US,annual,,,10.0,70.0,22,157,0.047,0.437,0.046,0.44,44.5,censored,20.5,reached,44.5,censored,26.5,reached,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,"static: all indications with a range, from launch"
tecartus,autologous CAR-T,US,one-time,2015-11-09,2020-07-24,2020-07-24,4.71,2020-09-30,2.2,2.2,2026-06-30,5.93,2901,3817,US,annual,,,3250,3250,15474,15474,0.187,0.247,0.108,0.142,17.2,reached,17.2,reached,17.2,reached,17.2,reached,"not decidable: pool understated (an indication in force has no eligible row), so reaching half of it is not informative",label indication US:MCL in force has no eligible row (first seen 2020-09-30): pool understated; annual range for US:ALL_adult borrowed from aucatzyl; US revenue series over a US denominator,label-dated: US:ALL_adult US:MCL
tecelra,TCR-T,Total,one-time,2017-05-15,2024-08-01,2024-08-01,7.21,2024-12-31,5.0,5.0,2025-06-30,0.91,22,30,US,annual,,,64.0,400.0,48,298,0.075,0.619,0.056,0.461,10.9,censored,8.0,reached,10.9,censored,10.9,reached,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
vyjuvek,HSV topical,Total,chronic,2018-05-06,2023-05-19,2023-05-19,5.03,2023-09-30,4.4,4.4,2026-06-30,3.12,1531,2014,US/US,prevalent,951.0,3000.0,19.0,19.0,1008,3057,,,0.233,0.966,,not applicable,,not applicable,,not applicable,,not applicable,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,"prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated; annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated; chronic dosing: counts are patient-years at the annual cost; cumulative penetration not meaningful, run-rate shown","static: all indications with a range, from launch"
yescarta,autologous CAR-T,US,one-time,2009-02-17,2017-10-18,2017-10-18,8.67,2017-12-31,2.4,2.4,2026-06-30,8.7,12008,15800,US,annual,,,5400,7200,49360,73889,0.163,0.32,0.195,0.343,104.4,censored,62.4,reached,104.4,censored,104.4,censored,half of eligible not reached and follow-up already exceeds clinical stage: post-approval stage is the longer one,label indication US:FL_3L in force has no eligible row (first seen 2021-03-31): pool understated; US revenue series over a US denominator,label-dated: US:FL_3L US:LBCL_2L
zevaskyn,gene-modified keratinocyte sheets,Total,one-time,2010-10-05,2025-04-28,2025-04-28,14.56,2025-12-31,8.1,8.1,2026-06-30,1.17,7,10,US/US,prevalent,452.0,3850.0,11.0,11.0,460,3858,0.002,0.021,0.664,0.864,14.1,censored,14.1,censored,14.1,censored,14.1,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated; annual: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
zolgensma,AAV systemic,Total,one-time,2014-05-05,2019-05-24,2019-05-24,5.05,2019-06-30,1.2,1.2,2026-06-30,7.1,3920,5157,US/US+EU,prevalent,490.0,1000.0,457.0,855.0,3803,7199,0.544,1.356,0.702,1.728,22.2,reached,7.3,reached,61.2,reached,16.3,reached,post-approval to half of eligible exceeds clinical stage,prevalent: worldwide revenue over a US-only denominator (no EU range): penetration overstated,"static: all indications with a range, from launch"
zynteglo,lentiviral ex vivo,US,one-time,2013-06-07,2019-05-29,2022-08-17,5.97,2023-06-30,49.0,10.4,2025-03-31,5.84,38,50,US,prevalent,1000.0,1500.0,,,1000,1500,0.025,0.05,,,70.1,censored,70.1,censored,70.1,censored,70.1,censored,not yet decidable: half of eligible not reached at either end of the range and follow-up shorter than clinical stage,US revenue series over a US denominator,"static: all indications with a range, from launch"
