product_key,system,body,indication_key,date_in_force,price,currency,price_basis,price_usd_at_ecb_annual_rate,us_launch_list_usd,ratio_to_us_launch_list,range_in_source,source_url
breyanzi,Germany,G-BA,MCL_3L,2026-06-04,224500.0,EUR,Jahrestherapiekosten Beschluss,253681,410300.0,0.618,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1295/
breyanzi,Italy,AIFA,LBCL_3L,2024-02-08,345000.0,EUR,ex-factory GU (prezzo al pubblico IVA inclusa EUR 569.388),373421,410300.0,0.91,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2024-02-08&atto.codiceRedazionale=24A00638
breyanzi,Italy,AIFA,LBCL_2L,2025-12-15,345000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 569.388,00)",389844,410300.0,0.95,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/9a2189a6-8eaf-4c35-9e2f-86ecbae750c8 | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2025-12-15&atto.codiceRedazionale=25A06661
carvykti,Canada,CADTH,MM_4L,2023-03-08,632455.0,CAD,"submitted list ($632,455 per administration)",,465000.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/PG0302
carvykti,Canada,CDA-AMC,MM_2L,2024-09-11,632455.0,CAD,"submitted list ($632,455 per patient as a one-time infusion)",,465000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK610233/
carvykti,Germany,G-BA,MM_4L,2023-08-17,420000.0,EUR,Jahrestherapiekosten Beschluss,454133,465000.0,0.977,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/924/
carvykti,Germany,G-BA,MM_2L,2025-05-15,285000.0,EUR,Jahrestherapiekosten Beschluss,322045,465000.0,0.693,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1088/
carvykti,Italy,AIFA,MM_2L,2026-04-03,420000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 693.168,00)",474593,465000.0,1.021,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/a843b75f-3de6-4520-9580-d4e45c9493ea | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2026-04-03&atto.codiceRedazionale=26A01675
casgevy,Canada,CDA-AMC,SCD_VOC_12plus,2024-10-23,2800000.0,CAD,"submitted list ($2,800,000 per administration)",,2200000.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/SG0830
casgevy,England,NICE,TDT_12plus,2024-09-11,1651000.0,GBP,list,2110767,2200000.0,0.959,False,https://www.nice.org.uk/guidance/ta1003
casgevy,England,NICE,SCD_VOC_12plus,2025-02-26,1651000.0,GBP,list,2177426,2200000.0,0.99,False,https://www.nice.org.uk/guidance/ta1044
casgevy,Germany,G-BA,TDT_12plus,2025-07-03,2200000.0,EUR,Jahrestherapiekosten Beschluss,2485963,2200000.0,1.13,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1166/
casgevy,Italy,AIFA,TDT_12plus,2025-10-07,1900000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 3.135.783,95)",2146968,2200000.0,0.976,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/1dcd6c1a-fc18-4340-917b-f61af11f8b18 | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2025-10-07&atto.codiceRedazionale=25A05449
ebvallo,France,CEPS (price),PTLD_EBV_2L,2025-07-04,75000.0,EUR,tarif de responsabilité,84749,,,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000051844592
ebvallo,Germany,G-BA,PTLD_2L,2023-10-05,1071000.0,EUR,Jahrestherapiekosten Beschluss,1158039,,,True,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/947/
ebvallo,Italy,AIFA,EBV_PTLD_2L,2025-03-13,75000.0,EUR,"ex-factory GU per confezione (prezzo al pubblico IVA inclusa EUR 123.780,00)",84749,,,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2025-03-13&atto.codiceRedazionale=25A01601
glybera,Germany,G-BA,LPLD,2015-05-21,1318431.9,EUR,Jahrestherapiekosten Beschluss,1462817,,,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/146/
hemgenix,Canada,CADTH,HEMB_adult,2024-02-28,4690000.0,CAD,"submitted list ($4,690,000.00 per administration per patient)",,3500000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK604816/
hemgenix,England,NICE,HEMB_adult,2024-07-24,2600000.0,GBP,list,3324042,3500000.0,0.95,False,https://www.nice.org.uk/guidance/ta989
hemgenix,Italy,AIFA,HEMB_adult,2025-09-03,2800000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 4.621.120,00)",3163953,3500000.0,0.904,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/2a1a8371-ee7e-4509-b7af-3edf78fd93b7 | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2025-09-03&atto.codiceRedazionale=25A04851
imlygic,England,NICE,MEL_unresectable_3B_4M1a,2016-09-28,1670.0,GBP,list,2256,,,False,https://www.nice.org.uk/guidance/ta410
imlygic,Germany,G-BA,MEL_1L_BRAFmut,2016-12-15,144575.6,EUR,Jahrestherapiekosten Beschluss,160031,,,True,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/243/
kebilidi,England,NICE,AADC_severe_18m_plus,2023-04-19,3010451.0,GBP,list,3742420,,,False,https://www.nice.org.uk/guidance/hst26
kebilidi,Germany,G-BA,AADC,2023-02-02,4165000.0,EUR,Jahrestherapiekosten Beschluss,4503484,,,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/868/
kebilidi,Italy,AIFA,AADC,2023-12-04,3500000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 5.776.444,11)",3784440,,,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-12-04&atto.codiceRedazionale=23A06557
kymriah,Canada,CADTH,FL_3L,2023-07-12,450000.0,CAD,"submitted list (one-time cost of $450,000 per infusion)",,475000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK599771/
kymriah,England,NICE,ALL_ped,2018-12-21,282000.0,GBP,list,376429,475000.0,0.792,False,https://www.nice.org.uk/guidance/ta554
kymriah,England,NICE,LBCL_3L,2019-03-13,282000.0,GBP,list,359652,475000.0,0.757,False,https://www.nice.org.uk/guidance/ta567
kymriah,England,NICE,ALL_ped,2024-05-15,282000.0,GBP,list,360531,475000.0,0.759,False,https://www.nice.org.uk/guidance/ta975
kymriah,France,CEPS (price),ALL_ped,2019-12-26,297666.0,EUR,tarif de responsabilité,333229,475000.0,0.702,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000039668553
kymriah,France,CEPS (price),FL_3L,2023-09-14,251750.0,EUR,tarif de responsabilité,272209,475000.0,0.573,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000048068436
kymriah,Germany,G-BA,ALL_ped,2019-03-07,320000.0,EUR,Jahrestherapiekosten Beschluss,358232,475000.0,0.754,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/386/
kymriah,Germany,G-BA,ALL_ped,2020-09-17,275000.0,EUR,Jahrestherapiekosten Beschluss,314104,475000.0,0.661,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/533/
kymriah,Germany,G-BA,FL_3L,2022-12-01,265000.0,EUR,Jahrestherapiekosten Beschluss,279058,475000.0,0.587,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/840/
kymriah,Germany,G-BA,ALL_ped,2024-02-15,239000.0,EUR,Jahrestherapiekosten Beschluss,258689,475000.0,0.545,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/990/
kymriah,Italy,AIFA,ALL_ped,2019-08-12,320000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00; sconto/condizioni negoziali confidenziali)",358232,475000.0,0.754,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-08-12&atto.codiceRedazionale=19A05147
kymriah,Italy,AIFA,ALL_ped;LBCL_3L,2022-12-12,320000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00)",336976,475000.0,0.709,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-12&atto.codiceRedazionale=22A06867
kymriah,Italy,AIFA,FL_3L,2023-08-08,320000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 528.128,00)",346006,475000.0,0.728,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-08-08&atto.codiceRedazionale=23A04400
lenmeldy,England,NICE,MLD_early,2022-03-28,2875000.0,GBP,list,3550251,4250000.0,0.835,False,https://www.nice.org.uk/guidance/hst18
lenmeldy,Germany,G-BA,MLD_presymptomatic,2021-11-04,2875000.0,EUR,Jahrestherapiekosten Beschluss,3400378,4250000.0,0.8,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/684/
lenmeldy,Italy,AIFA,MLD_early,2022-04-07,2875000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 4.744.936,23)",3027515,4250000.0,0.712,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-04-07&atto.codiceRedazionale=22A02124
lenmeldy,Italy,AIFA,MLD_early,2025-06-17,2875000.0,EUR,"ex-factory TrovaNormeFarmaco (prezzo al pubblico IVA inclusa EUR 4.744.936,23)",3248702,4250000.0,0.764,False,https://trovanorme.aifa.gov.it/tnf-service/determina/tnf/pubblicate/8f094c47-3199-420b-b333-971fc940aef5 | https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2025-06-17&atto.codiceRedazionale=25A03427
luxturna,Canada,CADTH,RPE65,2020-09-16,1031500.0,CAD,"submitted list ($515,750 per injection, one injection per eye; $1,031,500 per patient assuming both eyes)",,850000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK568877/
luxturna,England,NICE,RPE65,2019-10-09,613410.0,GBP,list,782319,850000.0,0.92,False,https://www.nice.org.uk/guidance/hst11
luxturna,France,CEPS (price),RPE65,2021-08-06,290000.0,EUR,tarif de responsabilité,342995,850000.0,0.404,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000043910352
luxturna,Germany,G-BA,RPE65,2019-10-17,821100.0,EUR,Jahrestherapiekosten Beschluss,919201,850000.0,1.081,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/454/
luxturna,Germany,G-BA,RPE65,2022-09-15,702100.0,EUR,Jahrestherapiekosten Beschluss,739345,850000.0,0.87,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/813/
luxturna,Italy,AIFA,RPE65,2021-01-09,360000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 594.144,00)",425787,850000.0,0.501,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2021-01-09&atto.codiceRedazionale=20A07274
provenge,Germany,G-BA,mCRPC_asymptomatic,2015-03-19,79952.58,EUR,Jahrestherapiekosten Beschluss,88708,93000.0,0.954,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/143/
roctavian,Germany,G-BA,HEMA_adult,2023-03-16,2143958.4,EUR,Jahrestherapiekosten Beschluss,2318195,2900000.0,0.799,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/877/
roctavian,Italy,AIFA,HEMA_adult,2024-01-22,60781.25,EUR,"ex-factory GU per flaconcino da 8 ml (prezzo al pubblico IVA inclusa EUR 100.313,38 per flaconcino; dose weight-based, multiple vials per patient)",65788,2900000.0,0.023,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2024-01-22&atto.codiceRedazionale=24A00268
strimvelis,England,NICE,ADA_SCID,2018-02-07,505000.0,GBP,list,674102,,,False,https://www.nice.org.uk/guidance/hst7
strimvelis,Italy,AIFA,ADA_SCID,2016-08-01,594000.0,EUR,ex-factory GU (no public price stated in the Determina),657500,,,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2016-08-01&atto.codiceRedazionale=16A05546
tecartus,Canada,CADTH,MCL_3L,2021-05-13,533523.0,CAD,"submitted list ($533,523 per infusion)",,373000.0,,False,https://canjhealthtechnol.ca/index.php/cjht/article/view/pg0219
tecartus,Canada,CADTH,ALL_adult,2023-02-08,533523.1,CAD,"submitted list ($533,523.10 per infusion, one-time dose)",,373000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK596615/
tecartus,England,NICE,ALL_adult_26plus,2023-06-07,316118.0,GBP,list,392980,373000.0,1.054,False,https://www.nice.org.uk/guidance/ta893
tecartus,France,CEPS (price),MCL_3L,2022-08-09,360000.0,EUR,tarif de responsabilité,379098,373000.0,1.016,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000046161266
tecartus,France,CEPS (price),ALL_adult_3L,2024-07-04,271000.0,EUR,tarif de responsabilité,293325,373000.0,0.786,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000049872035
tecartus,Germany,G-BA,MCL_3L,2021-08-05,360000.0,EUR,Jahrestherapiekosten Beschluss,425787,373000.0,1.142,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/657/
tecartus,Germany,G-BA,ALL_adult,2023-03-16,282000.0,EUR,Jahrestherapiekosten Beschluss,304918,373000.0,0.817,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/878/
tecartus,Italy,AIFA,MCL_3L,2022-03-11,360000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 594.144,00)",379098,373000.0,1.016,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-03-11&atto.codiceRedazionale=22A01661
tecartus,Italy,AIFA,ALL_adult_26plus,2023-12-04,360000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 594.144,00)",389257,373000.0,1.044,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-12-04&atto.codiceRedazionale=23A06556
vyjuvek,Germany,G-BA,DEB_COL7A1,2026-02-19,1488641.84,EUR,Jahrestherapiekosten Beschluss,1682140,631000.0,2.666,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1250/
yescarta,Canada,CADTH,LBCL_2L,2022-11-08,485021.0,CAD,"submitted list ($485,021 per single infusion)",,373000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK601820/
yescarta,Canada,CADTH,FL_3L,2023-09-13,485021.0,CAD,"submitted list (one-time cost of $485,021)",,373000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK599982/
yescarta,England,NICE,LBCL_3L,2023-02-28,280451.0,GBP,list,348641,373000.0,0.935,False,https://www.nice.org.uk/guidance/ta872
yescarta,England,NICE,LBCL_2L,2023-06-07,280451.0,GBP,list,348641,373000.0,0.935,False,https://www.nice.org.uk/guidance/ta895
yescarta,France,CEPS (price),LBCL_3L,2019-07-13,327000.0,EUR,tarif de responsabilité,366068,373000.0,0.981,False,https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000038758420
yescarta,Germany,G-BA,LBCL_3L,2019-05-02,389130.0,EUR,Jahrestherapiekosten Beschluss,435621,373000.0,1.168,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/408/
yescarta,Germany,G-BA,LBCL_3L,2022-11-03,282000.0,EUR,Jahrestherapiekosten Beschluss,296960,373000.0,0.796,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/833/
yescarta,Germany,G-BA,LBCL_3L,2023-12-21,272000.0,EUR,Jahrestherapiekosten Beschluss,294105,373000.0,0.788,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/968/
yescarta,Germany,G-BA,LBCL_2L,2024-12-19,272000.0,EUR,Jahrestherapiekosten Beschluss,294407,373000.0,0.789,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/1097/
yescarta,Italy,AIFA,LBCL_3L,2019-11-11,327000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)",366068,373000.0,0.981,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2019-11-11&atto.codiceRedazionale=19A06932
yescarta,Italy,AIFA,LBCL_3L,2022-12-13,327000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)",344347,373000.0,0.923,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2022-12-13&atto.codiceRedazionale=22A07030
yescarta,Italy,AIFA,LBCL_2L,2023-11-11,327000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 539.680,80)",353575,373000.0,0.948,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2023-11-11&atto.codiceRedazionale=23A06207
zalmoxis,Germany,G-BA,haploHSCT_adjunct,2018-07-05,378949.56,EUR,Jahrestherapiekosten Beschluss,447522,,,True,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/340/
zalmoxis,Italy,AIFA,haploHSCT_adjunct,2018-02-14,149000.0,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 245.909,60)",175962,,,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2018-02-14&atto.codiceRedazionale=18A00972
zolgensma,Canada,CADTH,SMA_ped,2020-11-18,2910500.0,CAD,"submitted list (all kits priced at $2,910,500, one-time total drug acquisition cost)",,2125000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK584044/
zolgensma,Canada,CADTH,SMA_ped,2021-03-17,2910500.0,CAD,"submitted list ($2,910,500 per kit/one-time)",,2125000.0,,False,https://www.ncbi.nlm.nih.gov/books/NBK584044/
zolgensma,England,NICE,SMA_type1,2021-07-07,1795000.0,GBP,list,2469765,2125000.0,1.162,False,https://www.nice.org.uk/guidance/hst15
zolgensma,England,NICE,SMA_presymptomatic,2023-04-19,1795000.0,GBP,list,2231441,2125000.0,1.05,False,https://www.nice.org.uk/guidance/hst24
zolgensma,Germany,G-BA,SMA_type1,2021-11-04,2314550.0,EUR,Jahrestherapiekosten Beschluss,2737512,2125000.0,1.288,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/689/
zolgensma,Italy,AIFA,SMA_type1,2021-03-13,2155124.65,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 3.556.817,72)",2548953,2125000.0,1.2,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2021-03-13&atto.codiceRedazionale=21A01554
zolgensma,Italy,AIFA,SMA_type1;SMA_presymptomatic_3SMN2,2024-03-16,2155124.65,EUR,"ex-factory GU (prezzo al pubblico IVA inclusa EUR 3.556.817,72)",2332665,2125000.0,1.098,False,https://www.gazzettaufficiale.it/atto/serie_generale/caricaDettaglioAtto/originario?atto.dataPubblicazioneGazzetta=2024-03-16&atto.codiceRedazionale=24A01361
zynteglo,Germany,G-BA,TDT_12plus,2020-05-14,1874250.0,EUR,Jahrestherapiekosten Beschluss,2140761,2800000.0,0.765,False,https://www.g-ba.de/bewertungsverfahren/nutzenbewertung/506/
