product,cohort_product,platform_class,regimen,patient_unit,total_series_basis,fda_approval_date,eu_authorisation_date,first_revenue_quarter,months_fda_to_first_revenue_qend,months_first_approval_to_first_revenue_qend,quarters_with_revenue,quarters_allocated,last_quarter,cumulative_revenue_usd_m,list_price_usd,price_source,price_note,cumulative_patients_low,cumulative_patients_central,latest_disclosed_count,us_cumulative_low,us_cumulative_central,europe_cumulative_central
lenmeldy,Lenmeldy / Libmeldy,lentiviral ex vivo,one-time,patients,Total as reported,2024-03-18,2020-12-17,2022Q1,-23.6,15.4,19,0,2026Q2,121.9,4250000.0,,fallback table in build_uptake_series_2026-09-04.py (launch WAC from memory; replace with a sourced row),29,38,,,,
luxturna,Luxturna,AAV subretinal,one-time,patients,Total as reported,2017-12-19,2018-11-22,2018Q1,3.4,3.4,23,16,2026Q2,208.6,850000.0,https://www.sec.gov/Archives/edgar/data/1609351/000095010319002292/dp102644_ex9902.htm,"verified-from-source; USD per patient (both eyes); Roche Media Relations, ""Key Messages and Q&A: Roche / Spark ",245,323,,,,
lyfgenia,Lyfgenia,lentiviral ex vivo,one-time,patients,US series used as total (US-only reporting),2023-12-08,,2024Q3,9.8,9.8,6,0,2025Q1,24.0,3100000.0,https://www.sec.gov/Archives/edgar/data/1293971/000119312523292087/d84993dex991.htm,"verified-from-source; USD per treatment; bluebird bio 8-K Ex-99.1, LYFGENIA FDA approval investor pre",8,10,,8,10,
omisirge,Omisirge,expanded cord blood,one-time,patients,Total as reported,2023-04-17,,2023Q3,5.5,5.5,4,0,2024Q1,2.7,338000.0,https://search.brave.com/search?q=Gamida+Cell+Omisirge+omidubicel+price+%24338%2C000+wholesale+acquisition+cost&source=web,"provisional-from-snippet; USD per treatment; Global Reach Health page on the Omisirge approval, as shown ",8,10,,,,
papzimeos,Papzimeos,adenoviral immunotherapy,one-time,patients,Total as reported,2025-08-14,,2025Q4,4.6,4.6,3,0,2026Q2,78.1,1000000.0,,fallback table in build_uptake_series_2026-09-04.py (launch WAC from memory; replace with a sourced row),78,103,,,,
provenge,Provenge,autologous cellular immunotherapy,course,courses,Total as reported,2010-04-29,2013-09-06,2010Q2,2.0,2.0,26,8,2016Q4,1652.8,93000.0,https://search.brave.com/search?q=Dendreon+Provenge+%2493%2C000+price+course+of+treatment+2010+announced&source=web,"provisional-from-snippet; USD per course of treatment (3 infusions; Reuters, 'U.S. FDA OKs Dendreon's prostate cancer vaccine' (",17772,23385,,,,
roctavian,Roctavian,AAV systemic,one-time,patients,Total as reported,2023-06-30,2022-08-24,2023Q3,3.0,13.2,15,0,2026Q2,81.1,2900000.0,https://www.delveinsight.com/blog/biomarins-roctavian-first-hemophilia-a-gene-therapy,"provisional-from-snippet; USD per treatment; DelveInsight, FDA Nods BioMarin's Roctavian, First Hemophili",28,37,"5 (patients_period, 2024-06-30, verified-from-source)",,,
ryoncil,Ryoncil,mesenchymal stromal cells,course,courses,Total as reported,2024-12-19,,2025Q2,6.3,6.3,6,0,2026Q2,134.6,1550000.0,https://search.brave.com/search?q=Mesoblast+Ryoncil+remestemcel+price+per+vial+wholesale+acquisition+cost+per+course+of+treatment&source=web,provisional-from-snippet; USD per course of treatment (8 infusions; BioWorld (2025-03-04) as shown in Brave search results,87,114,,,,
skysona,Skysona,lentiviral ex vivo,one-time,patients,US series used as total (US-only reporting),2022-09-16,2021-07-16,2023Q1,6.4,20.5,9,0,2025Q1,22.3,3000000.0,https://www.sec.gov/Archives/edgar/data/1293971/000129397122000055/exhibit99120220916.htm,"verified-from-source; USD per treatment; bluebird bio 8-K Ex-99.1, bluebird bio Receives FDA Accelera",7,10,,7,10,
tecartus,Tecartus,autologous CAR-T,one-time,patients,Total as reported,2020-07-24,2020-12-14,2020Q3,2.2,2.2,24,0,2026Q2,1780.0,373000.0,https://www.healio.com/news/hematology-oncology/20200724/fda-approves-tecartus-first-car-tcell-therapy-for-mantle-cell-lymphoma,"provisional-from-snippet; USD per treatment; Healio, 'FDA approves Tecartus, first CAR T-cell therapy for",4772,6279,,2901,3817,2117
tecelra,Tecelra,TCR-T,one-time,patients,Total as reported,2024-08-01,,2024Q4,5.0,5.0,4,0,2025Q2,16.3,727000.0,,fallback table in build_uptake_series_2026-09-04.py (launch WAC from memory; replace with a sourced row),22,30,,,,
tudriqev,Tudriqev,oncolytic HSV,one-time,patients,Total as reported,2026-08-06,,,,,1,0,2026Q2,0.0,,,NO PRICE: patients not computed; add a US list_price row to the disclosure file,,,,,,
vyjuvek,Vyjuvek,HSV topical,chronic,patient-years at annual cost,Total as reported,2023-05-19,2025-04-23,2023Q3,4.4,4.4,12,0,2026Q2,965.9,631000.0,,fallback table in build_uptake_series_2026-09-04.py (launch WAC from memory; replace with a sourced row),1531,2014,,576,758,83
yescarta,Yescarta,autologous CAR-T,one-time,patients,Total as reported,2017-10-18,2018-08-23,2017Q4,2.4,2.4,35,0,2026Q2,8388.0,373000.0,https://www.gilead.com/news/news-details/2017/kites-yescarta-axicabtagene-ciloleucel-becomes-first-car-t-therapy-approved-by-the-fda-for-the-treatment-of-adult-patients-with-relapsed-or-refractory-large-b-cell-lymphoma-after-two-or-more,verified-from-source; USD per treatment; Kite's Yescarta (axicabtagene ciloleucel) Becomes First CAR ,22488,29589,"31000 (patients_cumulative, 2025-08, provisional-from-snippet)",12008,15800,10509
zevaskyn,Zevaskyn,gene-modified keratinocyte sheets,one-time,patients,Total as reported,2025-04-28,,2025Q4,8.1,8.1,5,0,2026Q2,22.5,3100000.0,,fallback table in build_uptake_series_2026-09-04.py (launch WAC from memory; replace with a sourced row),7,10,,,,
zolgensma,Zolgensma,AAV systemic,one-time,patients,Total as reported,2019-05-24,2020-05-18,2019Q2,1.2,1.2,29,0,2026Q2,8329.0,2125000.0,https://www.novartis.com/news/media-releases/avexis-announces-innovative-zolgensma-gene-therapy-access-programs-us-payers-and-families,verified-from-source; USD per treatment; AveXis (Novartis) media release: AveXis Announces Innovative,3920,5157,"5500 (patients_cumulative, 2026-07-21, verified-from-source)",,,
zynteglo,Zynteglo,lentiviral ex vivo,one-time,patients,US series used as total (US-only reporting),2022-08-17,2019-05-29,2023Q2,10.4,49.0,9,0,2025Q1,105.3,2800000.0,https://www.sec.gov/Archives/edgar/data/1293971/000129397122000051/exhibit99220220817.htm,"verified-from-source; USD per treatment; bluebird bio 8-K Ex-99.2, ZYNTEGLO commercial infrastructure",38,49,,38,49,
