product,hcpcs,asp_file_quarter,sales_quarter,payment_limit_usd,implied_asp_usd,dosage_unit,list_price_usd_at_sales_quarter,list_price_source,asp_over_list
breyanzi,Q2054,2026Q2,2025Q4,562260.836,530435,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
breyanzi,Q2054,2026Q3,2026Q1,579570.614,546765,"Up to 110 million CAR-positive viable T cells, per therapeutic dose",,,
carvykti,Q2056,2023Q3,2023Q1,492900.0,465000,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2023Q4,2023Q2,497024.646,468891,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2024Q1,2023Q3,507195.92,478487,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2024Q2,2023Q4,507495.551,478769,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2024Q3,2024Q1,507687.0,478950,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2024Q4,2024Q2,527123.433,497286,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2025Q1,2024Q3,551318.337,520112,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2025Q2,2024Q4,553169.299,521858,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2025Q3,2025Q1,553378.83,522055,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2025Q4,2025Q2,565868.945,533839,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2026Q1,2025Q3,587649.574,554386,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2026Q2,2025Q4,588494.808,555184,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
carvykti,Q2056,2026Q3,2026Q1,587977.755,554696,up to 100 million autologous b-cell maturation antigen (bcma) directed car-positive t cells,,,
imlygic,J9325,2017Q1,2016Q3,46.131,44,1 million PFU,,,
imlygic,J9325,2018Q1,2017Q3,48.268,46,1 million PFU,,,
imlygic,J9325,2019Q1,2018Q3,50.047,47,1 million PFU,,,
imlygic,J9325,2020Q1,2019Q3,51.438,49,1 million PFU,,,
imlygic,J9325,2021Q1,2020Q3,54.017,51,1 million PFU,,,
imlygic,J9325,2021Q2,2020Q4,54.093,51,1 million PFU,,,
imlygic,J9325,2021Q3,2021Q1,56.514,53,1 million PFU,,,
imlygic,J9325,2021Q4,2021Q2,57.261,54,1 million PFU,,,
imlygic,J9325,2022Q1,2021Q3,57.217,54,1 million PFU,,,
imlygic,J9325,2022Q2,2021Q4,57.174,54,1 million PFU,,,
imlygic,J9325,2022Q3,2022Q1,59.678,56,1 million PFU,,,
imlygic,J9325,2022Q4,2022Q2,60.62,57,1 million PFU,,,
imlygic,J9325,2023Q1,2022Q3,62.678,59,1 million PFU,,,
imlygic,J9325,2023Q2,2022Q4,62.357,59,1 million PFU,,,
imlygic,J9325,2023Q3,2023Q1,66.054,62,1 million PFU,,,
imlygic,J9325,2023Q4,2023Q2,66.295,63,1 million PFU,,,
imlygic,J9325,2024Q1,2023Q3,66.587,63,1 million PFU,,,
imlygic,J9325,2024Q2,2023Q4,66.802,63,1 million PFU,,,
imlygic,J9325,2024Q3,2024Q1,69.959,66,1 million PFU,,,
imlygic,J9325,2024Q4,2024Q2,70.361,66,1 million PFU,,,
imlygic,J9325,2025Q1,2024Q3,70.367,66,1 million PFU,,,
imlygic,J9325,2025Q2,2024Q4,70.376,66,1 million PFU,,,
imlygic,J9325,2025Q3,2025Q1,73.547,69,1 million PFU,,,
imlygic,J9325,2025Q4,2025Q2,73.935,70,1 million PFU,,,
imlygic,J9325,2026Q1,2025Q3,73.939,70,1 million PFU,,,
imlygic,J9325,2026Q2,2025Q4,73.942,70,1 million PFU,,,
imlygic,J9325,2026Q3,2026Q1,77.339,73,1 million PFU,,,
kymriah,Q2042,2023Q4,2023Q2,484623.489,457192,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2024Q1,2023Q3,511072.497,482144,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2024Q2,2023Q4,518240.68,488906,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2024Q3,2024Q1,523452.561,493823,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2024Q4,2024Q2,529192.855,499239,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2025Q1,2024Q3,565623.836,533607,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2025Q2,2024Q4,578771.123,546010,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2025Q3,2025Q1,578324.579,545589,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2025Q4,2025Q2,591726.201,558232,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2026Q1,2025Q3,566531.304,534463,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2026Q2,2025Q4,614180.808,579416,up to 600 million CAR-positive viable T cells,,,
kymriah,Q2042,2026Q3,2026Q1,611693.171,577069,up to 600 million CAR-positive viable T cells,,,
provenge,Q2043,2011Q3,2011Q1,32860.0,31000,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2012Q1,2011Q3,32860.0,31000,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2013Q1,2012Q3,32560.449,30717,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2014Q1,2013Q3,33480.933,31586,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2015Q1,2014Q3,34775.984,32808,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2016Q1,2015Q3,36413.474,34352,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2017Q1,2016Q3,37941.905,35794,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2018Q1,2017Q3,39924.058,37664,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2019Q1,2018Q3,42616.294,40204,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2020Q1,2019Q3,45942.628,43342,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2021Q1,2020Q3,49649.408,46839,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2021Q2,2020Q4,51363.252,48456,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2021Q3,2021Q1,51712.975,48786,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2021Q4,2021Q2,53017.576,50017,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2022Q1,2021Q3,52421.579,49454,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2022Q2,2021Q4,52916.501,49921,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2022Q3,2022Q1,55114.745,51995,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2022Q4,2022Q2,53505.534,50477,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2023Q1,2022Q3,53981.464,50926,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2023Q2,2022Q4,53630.369,50595,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2023Q3,2023Q1,53062.441,50059,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2023Q4,2023Q2,53472.873,50446,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2024Q1,2023Q3,53426.656,50403,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2024Q2,2023Q4,55453.567,52315,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2024Q3,2024Q1,55512.784,52371,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2024Q4,2024Q2,55015.225,51901,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2025Q1,2024Q3,55536.498,52393,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2025Q2,2024Q4,57017.103,53790,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2025Q3,2025Q1,55945.971,52779,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2025Q4,2025Q2,55272.324,52144,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2026Q1,2025Q3,54404.108,51325,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2026Q2,2025Q4,56269.192,53084,Per infusion (minimum 50 million cells),,,
provenge,Q2043,2026Q3,2026Q1,55932.427,52766,Per infusion (minimum 50 million cells),,,
ryoncil,J3402,2025Q4,2025Q2,205640.0,194000,Per Therapeutic Dose,,,
ryoncil,J3402,2026Q1,2025Q3,201669.021,190254,Per Therapeutic Dose,,,
ryoncil,J3402,2026Q2,2025Q4,202713.584,191239,Per Therapeutic Dose,,,
ryoncil,J3402,2026Q3,2026Q1,203659.763,192132,Per Therapeutic Dose,,,
tecartus,Q2053,2023Q2,2022Q4,448752.402,423351,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,399000.0,"2022-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.061
tecartus,Q2053,2023Q3,2023Q1,449440.0,424000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,424000.0,"2023-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.0
tecartus,Q2053,2023Q4,2023Q2,449440.0,424000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,424000.0,"2023-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.0
tecartus,Q2053,2024Q1,2023Q3,449440.0,424000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,424000.0,"2023-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.0
tecartus,Q2053,2024Q2,2023Q4,449440.0,424000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,424000.0,"2023-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.0
tecartus,Q2053,2024Q3,2024Q1,449440.0,424000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2024-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.918
tecartus,Q2053,2024Q4,2024Q2,460530.402,434463,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2024-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.94
tecartus,Q2053,2025Q1,2024Q3,488051.51,460426,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2024-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.997
tecartus,Q2053,2025Q2,2024Q4,489399.157,461697,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2024-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.999
tecartus,Q2053,2025Q3,2025Q1,489720.0,462000,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2025-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.0
tecartus,Q2053,2025Q4,2025Q2,489304.608,461608,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2025-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.999
tecartus,Q2053,2026Q1,2025Q3,489450.202,461745,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2025-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.999
tecartus,Q2053,2026Q2,2025Q4,489290.601,461595,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2025-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",0.999
tecartus,Q2053,2026Q3,2026Q1,510103.919,481230,UP TO 200 MILLION AUTOLOGOUS ANTI-CD19 CAR POSITIVE VIABLE T CELLS,462000.0,"2025-01-01 verified-from-source Pulice TD, Schulman K. 'CAR-T Therapy: Escalating ",1.042
tecelra,Q2057,2025Q3,2025Q1,770620.0,727000,PER THERAPEUTIC DOSE,,,
tecelra,Q2057,2025Q4,2025Q2,770620.0,727000,PER THERAPEUTIC DOSE,,,
tecelra,Q2057,2026Q1,2025Q3,770620.0,727000,PER THERAPEUTIC DOSE,,,
tecelra,Q2057,2026Q2,2025Q4,770620.0,727000,PER THERAPEUTIC DOSE,,,
tecelra,Q2057,2026Q3,2026Q1,813967.375,767894,PER THERAPEUTIC DOSE,,,
vyjuvek,J3401,2024Q2,2023Q4,1007.636,951,0.1 ML,,,
vyjuvek,J3401,2024Q3,2024Q1,996.939,941,0.1 ML,,,
vyjuvek,J3401,2024Q4,2024Q2,996.961,941,0.1 ML,,,
vyjuvek,J3401,2025Q1,2024Q3,1016.784,959,0.1 ML,,,
vyjuvek,J3401,2025Q2,2024Q4,1016.669,959,0.1 ML,,,
vyjuvek,J3401,2025Q3,2025Q1,1037.118,978,0.1 ML,,,
vyjuvek,J3401,2025Q4,2025Q2,1025.436,967,0.1 ML,,,
vyjuvek,J3401,2026Q1,2025Q3,1014.786,957,0.1 ML,,,
vyjuvek,J3401,2026Q2,2025Q4,1004.582,948,0.1 ML,,,
vyjuvek,J3401,2026Q3,2026Q1,1032.437,974,0.1 ML,,,
yescarta,Q2041,2023Q2,2022Q4,449245.861,423817,UP TO 200 MILLION CAR T CELLS,399000.0,2022-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.062
yescarta,Q2041,2023Q3,2023Q1,449440.0,424000,UP TO 200 MILLION CAR T CELLS,424000.0,2023-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.0
yescarta,Q2041,2023Q4,2023Q2,449341.851,423907,UP TO 200 MILLION CAR T CELLS,424000.0,2023-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.0
yescarta,Q2041,2024Q1,2023Q3,449440.0,424000,UP TO 200 MILLION CAR T CELLS,424000.0,2023-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.0
yescarta,Q2041,2024Q2,2023Q4,459381.446,433379,UP TO 200 MILLION CAR T CELLS,424000.0,2023-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.022
yescarta,Q2041,2024Q3,2024Q1,489136.91,461450,UP TO 200 MILLION CAR T CELLS,462000.0,2024-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.999
yescarta,Q2041,2024Q4,2024Q2,489455.958,461751,UP TO 200 MILLION CAR T CELLS,462000.0,2024-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.999
yescarta,Q2041,2025Q1,2024Q3,489517.151,461809,UP TO 200 MILLION CAR T CELLS,462000.0,2024-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.0
yescarta,Q2041,2025Q2,2024Q4,502840.728,474378,UP TO 200 MILLION CAR T CELLS,462000.0,2024-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.027
yescarta,Q2041,2025Q3,2025Q1,533076.476,502902,UP TO 200 MILLION CAR T CELLS,503580.0,2025-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.999
yescarta,Q2041,2025Q4,2025Q2,533230.171,503047,UP TO 200 MILLION CAR T CELLS,503580.0,2025-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.999
yescarta,Q2041,2026Q1,2025Q3,532192.241,502068,UP TO 200 MILLION CAR T CELLS,503580.0,2025-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.997
yescarta,Q2041,2026Q2,2025Q4,531849.118,501744,UP TO 200 MILLION CAR T CELLS,503580.0,2025-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,0.996
yescarta,Q2041,2026Q3,2026Q1,562500.892,530661,UP TO 200 MILLION CAR T CELLS,503580.0,2025-01-01 provisional-from-snippet CAR-T Therapy: Escalating Costs in an Expanding Ma,1.054
