product,record_type,as_of_date,region,value,unit,verbatim,source_doc,source_url,status,notes,product_key
Casgevy,centres,2024-12-31,Global,50,authorized treatment centres,Vertex has activated more than 50 authorized treatment centers (ATCs) globally,"Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-10)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000029/ex-991_q42024.htm,verified-from-source,"Value is a floor (""more than 50"").",casgevy
Casgevy,patients_cell_collection,2024-12-31,Global,50,patients,more than 50 patients have initiated cell collection,"Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2024 Financial Results (2025-02-10)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000029/ex-991_q42024.htm,verified-from-source,"Cumulative since launch, floor. Q3 2025 call later stated the full-year 2024 first-cell-collection total was 55 (""110 in the first 9 months of 2025, double our full year 2024 total"").",casgevy
Casgevy,centres,2025-05-01,Global,65,authorized treatment centres,"Since launch through May 1st, Vertex has activated more than 65 authorized treatment centers (ATCs) globally and approximately 90 patients have had their first cell collection.","Vertex 8-K Ex-99.1, First Quarter 2025 Financial Results (2025-05-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/ex-991_q12025.htm,verified-from-source,"Floor. As-of 1 May 2025, not quarter end.",casgevy
Casgevy,patients_cell_collection,2025-05-01,Global,90,patients,"Since launch through May 1st, Vertex has activated more than 65 authorized treatment centers (ATCs) globally and approximately 90 patients have had their first cell collection.","Vertex 8-K Ex-99.1, First Quarter 2025 Financial Results (2025-05-05)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000171/ex-991_q12025.htm,verified-from-source,"Cumulative since launch, approximate. No infusion count disclosed for Q1 2025.",casgevy
Casgevy,centres,2025-06-30,Global,75,authorized treatment centres,Vertex has met its goal of activating more than 75 authorized treatment centers (ATCs) globally.,"Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,Floor. Last quarter in which Vertex gave a global ATC count.,casgevy
Casgevy,patients_cell_collection,2025-06-30,Global,115,patients,"Globally, since launch through June 30th, 2025, approximately 115 patients have had their first cell collection, and 29 patients have received infusions of CASGEVY, including 16 infused in the second quarter of 2025.","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,Cumulative since launch.,casgevy
Casgevy,patients_infused,2025-06-30,Global,29,patients,"Globally, since launch through June 30th, 2025, approximately 115 patients have had their first cell collection, and 29 patients have received infusions of CASGEVY, including 16 infused in the second quarter of 2025.","Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,"CUMULATIVE since launch = 29. Of which 16 in Q2 2025 alone. Cumulative revenue through 2025Q2 = 2.0+8.0+14.2+30.4 = $54.6M against 29 infusions => ~$1.88M per infusion (vs $2.2M US WAC), consistent with lower ex-US net prices.",casgevy
Casgevy,patients_infused,2025-06-30,Global,16,patients,including 16 infused in the second quarter of 2025,"Vertex 8-K Ex-99.1, Second Quarter 2025 Financial Results (2025-08-04)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000213/ex-991_q22025.htm,verified-from-source,Quarterly (in-period) infusion count for 2025Q2. Q2 2025 revenue $30.4M / 16 = $1.90M per infusion.,casgevy
Casgevy,patients_cell_collection,2025-09-30,Global,165,patients,"Globally, since launch through September 30th, 2025, approximately 165 people with SCD or TDT have had their first cell collection","Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,"Cumulative since launch. Q3 2025 call gave ""More than 160 patients now have had their first cell collection. This includes 110 in the first 9 months of 2025, double our full year 2024 total.""",casgevy
Casgevy,patients_infused,2025-09-30,Global,39,patients,"39 people with SCD or TDT have received infusions of CASGEVY, including 10 people infused in the third quarter","Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,CUMULATIVE since launch = 39. Cumulative revenue through 2025Q3 = $71.5M => ~$1.83M per infusion.,casgevy
Casgevy,patients_infused,2025-09-30,Global,10,patients,including 10 people infused in the third quarter,"Vertex 8-K Ex-99.1, Third Quarter 2025 Financial Results (2025-11-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532025000230/ex-991_q32025.htm,verified-from-source,Quarterly count for 2025Q3. Q3 2025 revenue $16.9M / 10 = $1.69M per infusion.,casgevy
Casgevy,centres,2025-09-30,Global,25,authorized treatment centres,25 ATCs had initiated more than 5 patients and at least one ATC in each of the 3 regions had initiated 20 or more patients,"Vertex Q3 2025 earnings call transcript (2025-11-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2025/11/27/vertex-vrtx-q3-2025-earnings-call-transcript/,provisional-from-snippet,"NOT a total ATC count - this is the subset of ATCs that had initiated more than 5 patients. Total activated ATCs at this date not disclosed (last total was ""more than 75"" at 2025-06-30).",casgevy
Casgevy,patients_cell_collection,2025-09-30,Global,300,patients,nearly 300 patients have been referred by their physicians to an ATC to initiate the treatment process,"Vertex Q3 2025 earnings call transcript (2025-11-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2025/11/27/vertex-vrtx-q3-2025-earnings-call-transcript/,provisional-from-snippet,"REFERRALS, not cell collections - an earlier funnel stage. Recorded here for funnel calibration only; do not confuse with the 165 first cell collections.",casgevy
Casgevy,patients_cell_collection,2025-12-31,Global,147,patients,"Globally, in 2025, 147 people with SCD or TDT had their first cell collection for CASGEVY.","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results (2026-02-12)",https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,verified-from-source,"IN-YEAR 2025 count, not cumulative. Cumulative since launch approx 55 (2024) + 147 (2025) = 202. Q4 2025 call gave 37 first cell collections in Q4 2025.",casgevy
Casgevy,patients_infused,2025-12-31,Global,64,patients,"This reflects 64 patients receiving infusions of CASGEVY in 2025, including 30 people infused in the fourth quarter of 2025.","Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results (2026-02-12)",https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,verified-from-source,IN-YEAR 2025 count = 64. Cumulative since launch approx 65 (1 in 2024 + 64 in 2025). FY2025 revenue $115.8M / 64 = $1.81M per infusion.,casgevy
Casgevy,patients_infused,2025-12-31,Global,30,patients,including 30 people infused in the fourth quarter of 2025,"Vertex 8-K Ex-99.1, Fourth Quarter and Full Year 2025 Financial Results (2026-02-12)",https://www.sec.gov/Archives/edgar/data/875320/000087532026000034/ex-991_q42025.htm,verified-from-source,Quarterly count for 2025Q4. Q4 2025 revenue $54.3M / 30 = $1.81M per infusion.,casgevy
Casgevy,patients_cell_collection,2025-12-31,Global,111,patients,111 new patient initiations,"Vertex Q4 2025 earnings call transcript (2026-02-12), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2026/02/12/vertex-vrtx-q4-2025-earnings-call-transcript/,provisional-from-snippet,"""Patient initiations"" in Q4 2025 - an upstream funnel metric (treatment journey started), NOT cell collection. Vertex switched its headline operating metric to initiations from Q4 2025 onward.",casgevy
Casgevy,patients_cell_collection,2025-12-31,Global,300,patients,approximately 300 people with SCD or TDT initiated treatment with CASGEVY,Vertex Form 10-K for FY2025 (2026-02-13),https://www.sec.gov/Archives/edgar/data/875320/000087532026000056/vrtx-20251231.htm,verified-from-source,"IN-YEAR 2025 treatment initiations (upstream of cell collection). Same 10-K confirms ""64 people received infusions of CASGEVY"" globally in 2025.",casgevy
Casgevy,patients_cell_collection,2026-03-31,Global,500,patients,"Over 500 patients have now initiated the CASGEVY treatment journey. Hundreds have had their first cell collection, and many patients have had their cells edited and are ready for infusion","Vertex Q1 2026 earnings call transcript (2026-05-04), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2026/05/04/vertex-vrtx-q1-2026-earnings-call-transcript/,provisional-from-snippet,"CUMULATIVE treatment-journey initiations since launch, floor (""over 500""). First cell collections given only qualitatively as ""hundreds"". No cumulative infusion count disclosed for 2026Q1. Transcript renders CASGEVY as ""KASJEVY"" (transcription artefact).",casgevy
Casgevy,patients_cell_collection,2026-06-30,Global,100,patients,Second quarter 2026 was also the third sequential quarter with more than 100 patient initiations.,"Vertex Q2 2026 earnings call transcript (2026-08-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2026/08/10/vertex-vrtx-q2-2026-earnings-call-transcript/,provisional-from-snippet,"In-quarter initiations, floor (>100) for each of 2025Q4, 2026Q1 and 2026Q2.",casgevy
Casgevy,patients_infused,2026-06-30,Global,64,patients,There were more CASGEVY infusions in the first half of 2026 than in all of 2025.,"Vertex Q2 2026 earnings call transcript (2026-08-03), via The Motley Fool",https://www.fool.com/earnings/call-transcripts/2026/08/10/vertex-vrtx-q2-2026-earnings-call-transcript/,provisional-from-snippet,"FLOOR ONLY: H1 2026 infusions > 64 (the 2025 full-year total). Vertex gave no exact 2026 infusion counts. Implied from revenue at ~$1.81M/infusion: H1 2026 $119.3M => approx 66 infusions, consistent with the floor. This is the principal calibration gap.",casgevy
Casgevy,centres,2026-06-30,Global,,authorized treatment centres,increased patient infusions of CASGEVY through Vertex's global ATC network,"Vertex 8-K Ex-99.1, Second Quarter 2026 Financial Results (2026-08-03)",https://www.sec.gov/Archives/edgar/data/875320/000087532026000256/ex-991_q22026.htm,verified-from-source,"No ATC count disclosed in 2026Q1 or 2026Q2. Last disclosed global total is ""more than 75"" at 2025-06-30. Approved in 39 countries as of 2026Q2.",casgevy
Casgevy,list_price,2026-08-03,Global,,note,"Vertex recognizes net product revenues when customers obtain control, which occurs upon delivery for small molecule products and upon infusion for gene-therapy products including CASGEVY","Vertex Form 10-K FY2025, Revenue Recognition accounting policy (2026-02-13); phrase ""upon infusion"" confirmed present in FY2023, FY2024 and FY2025 10-Ks via EDGAR full-text search",https://www.sec.gov/Archives/edgar/data/875320/000087532026000056/vrtx-20251231.htm,provisional-from-snippet,"REVENUE RECOGNITION POINT = INFUSION, not cell collection. Wording here is reconstructed from a search snippet: the 10-K body exceeded the fetch limit so the exact sentence could not be read in full. Corroborated verbatim by the Q3 2024 release: ""In the third quarter of 2024, Vertex's product revenue included revenue from the first patient infused with CASGEVY."" Row typed as list_price only because record_type is a closed set.",casgevy
Hemgenix,list_price,2022-11-22,US,3500000,USD per treatment,"FDA approves $3.5 million treatment for hemophilia, now the most expensive drug in the world",CNN Health 23 Nov 2022,https://www.cnn.com/2022/11/23/health/hemophilia-drug-hemgenix/,provisional-from-snippet,Wholesale acquisition cost / list price confirmed by CSL Behring to media at FDA approval. No CSL primary web page found that states the number; CSL's own approval press release does not give a price.,hemgenix
Hemgenix,list_price,2022-11-23,US,3500000,USD per treatment,"Sporting a $3.5M price tag, CSL and uniQure's hemophilia B gene therapy crosses FDA finish line",FiercePharma 23 Nov 2022,https://www.fiercepharma.com/pharma/csl-and-uniqures-hemophilia-b-gene-therapy-scores-approval-35-million-price-tag,provisional-from-snippet,Corroborating trade-press report of the same $3.5m US list price. Article body not retrievable (HTTP 403); headline only.,hemgenix
Hemgenix,list_price,2024-11-20,US,3500000,USD per treatment,List price: $3.5 million per treatment,BioProcess International 20 Nov 2024,https://www.bioprocessintl.com/therapeutic-class/csl-dedicated-to-hemgenix-as-it-turns-back-on-lenti-based-gene-therapies,provisional-from-snippet,Page read in full; confirms the $3.5m US list price was still current in late 2024.,hemgenix
Hemgenix,list_price,2025-06,UK,2600000,GBP per dose,Hemgenix is marketed at a list price of £2.6 million per dose,PET / pharmaphorum coverage of NICE managed access recommendation,https://www.progress.org.uk/nhs-funding-approved-for-haemophilia-b-gene-therapy/,provisional-from-snippet,"NHS pays an undisclosed confidential discount under an outcomes-based managed access agreement with NICE/NHS England, so £2.6m is list, not net. Approx USD 3.3m at 2025 rates.",hemgenix
Hemgenix,list_price,2024,Germany/EU,3000000,EUR per treatment,"In Germany and other EU countries, the cost of treatment is upwards of €3 million","pharmaphorum, Germany will reimburse haemophilia gene therapy Hemgenix",https://pharmaphorum.com/news/germany-will-reimburse-haemophilia-gene-therapy-hemgenix,provisional-from-snippet,Reported ex-US price; Germany uses an outcomes-based reimbursement model so realised price is lower. Snippet only - full article not read.,hemgenix
Hemgenix,patients_cumulative,2023-06-20,US,1,patients,CSL Behring Announces the First Patient Has Received FDA-Approved HEMGENIX (etranacogene dezaparvovec-drlb) for Hemophilia B,CSL newsroom press release 20 Jun 2023,https://newsroom.csl.com/2023-06-20-CSL-Behring-Announces-the-First-Patient-Has-Received-FDA-Approved-HEMGENIX-R-etranacogene-dezaparvovec-drlb-for-Hemophilia-B,verified-from-source,"Start of US commercial dosing, ~7 months after FDA approval. Anchors the launch curve at zero for FY2023.",hemgenix
Hemgenix,patients_cumulative,2024-07-04,Europe,2,patients,CSL Behring Announces First Two Patients Treated with HEMGENIX (etranacogene dezaparvovec) Gene Therapy for Hemophilia B in Europe,CSL Behring press release 4 Jul 2024 (GlobeNewswire),https://www.globenewswire.com/news-release/2024/07/04/2908549/0/en/CSL-Behring-Announces-First-Two-Patients-Treated-with-HEMGENIX-etranacogene-dezaparvovec-Gene-Therapy-for-Hemophilia-B-in-Europe.html,verified-from-source,"First EU commercial patients, ~15 months after EU approval. Confirms EU contribution to FY2024 revenue was essentially nil.",hemgenix
Hemgenix,patients_cumulative,2024-06-30,Global,12,patients,Hemgenix only treated 12 patients during the 12 months that ended in June 2024,FiercePharma (Pfizer backs out of hemophilia gene therapy space),https://www.fiercepharma.com/pharma/pfizer-backs-out-hemophilia-gene-therapy-csl-hopes-hemgenix-here-stay,provisional-from-snippet,"Period count for CSL FY2024, not strictly cumulative. Article body returned HTTP 403; figure captured from search-engine snippet only. 12 x $3.5m = $42m vs derived FY2024 revenue ~$32m - consistent order of magnitude, discrepancy plausibly net-vs-list price and ex-US pricing.",hemgenix
Hemgenix,patients_cumulative,2024-08,Global,20,patients (fewer than),less than 20 patients through August 2024,"Recon Strategy, Commercial performance of AAV gene therapies, 5 Feb 2025",https://reconstrategy.com/2025/02/commercial-performance-of-aav-gene-therapies-market-review-and-future-implications/,provisional-from-snippet,Analyst estimate; article read in full. Upper bound on cumulative commercial patients ~21 months after US launch.,hemgenix
Hemgenix,patients_cumulative,2025-11,US,50,patients (more than),"In the U.S., more than 50 patients have been treated, more than 65 administration sites have been trained, and major payers now cover more than 80% of U.S. commercial lives.",Cell & Gene interview with Diego Sacristan SVP Head of U.S. CSL (published 12 Dec 2025),https://www.cellandgene.com/doc/csl-s-hemgenix-shows-durable-benefit-a-new-future-for-gene-therapy-in-hemophilia-b-0001,provisional-from-snippet,"Statement by a named CSL executive but carried in trade press, not a CSL filing. US-only cumulative commercial count. Page read in full.",hemgenix
Hemgenix,centres,2025-11,US,65,administration sites (more than),more than 65 administration sites have been trained,Cell & Gene interview with Diego Sacristan SVP Head of U.S. CSL (published 12 Dec 2025),https://www.cellandgene.com/doc/csl-s-hemgenix-shows-durable-benefit-a-new-future-for-gene-therapy-in-hemophilia-b-0001,provisional-from-snippet,Same CSL executive statement. Trained sites - not all have dosed a patient.,hemgenix
Hemgenix,centres,2025-12,US,64,centers trained,Sixty-four centers have so far been trained on Hemgenix administration in the U.S.,FiercePharma ASH coverage Dec 2025,https://www.fiercepharma.com/pharma/ash-csl-proves-hemophilia-b-gene-therapy-hemgenix-holds-after-5-years-post-dosing,provisional-from-snippet,Article body returned HTTP 403; figure from search-engine snippet. Broadly agrees with the 'more than 65' CSL executive figure.,hemgenix
Hemgenix,patients_cumulative,2026-03-23,US,52,patients,"In the U.S., Steve is the 52nd patient treated after clinical studies.",Karmanos Cancer Institute press release 23 Mar 2026 (PR Newswire),https://www.prnewswire.com/news-releases/karmanos-cancer-institute-becomes-first-and-only-free-standing-cancer-center-to-treat-hemophilia-b-with-new-gene-therapy-302720315.html,provisional-from-snippet,"Strongest single US calibration point: exact cumulative US commercial patient ordinal. Third-party (treating hospital) press release, read in full, not a CSL/uniQure document. 52 x $3.5m = $182m cumulative US list-price value.",hemgenix
Hemgenix,patients_cumulative,2026-07-28,Global,100,patients (more than),More than 100 people with hemophilia B have now received commercial treatment with HEMGENIX globally since approval.,CSL letter to the hemophilia B community reproduced by Hemophilia Federation of America 28 Jul 2026,https://www.hemophiliafed.org/csl-provides-update-on-hemgenix-supply-and-patient-access/,verified-from-source,"KEY CALIBRATION TARGET. Cumulative global COMMERCIAL patients since Nov 2022 approval. Cumulative CSL-reported/derived revenue to 30 Jun 2026 is ~$242m (FY23 ~0 + FY24 derived 31.8 + FY25 92 + FY26 118). $242m / $3.5m US list = ~69 implied patients vs >=100 actually treated, i.e. revenue-divided-by-US-list-price recovers only about 65-70% of the true count. Implied realised revenue per patient <=$2.4m, well below $3.5m list - consistent with confidential discounts, outcomes-based instalment payments and lower ex-US prices.",hemgenix
Hemgenix,patients_cumulative,2026-07-28,Global,22,patients,"Since reestablishing limited supply in April 2026, HEMGENIX has been delivered to support treatment for 22 people living with hemophilia B in commercial and clinical trial settings.",CSL letter to the hemophilia B community reproduced by Hemophilia Federation of America 28 Jul 2026,https://www.hemophiliafed.org/csl-provides-update-on-hemgenix-supply-and-patient-access/,verified-from-source,"Apr-Jul 2026 period count. MIXES commercial and clinical-trial patients, so it is not directly comparable to revenue. Follows the Mar 2026 global stockout.",hemgenix
Hemgenix,centres,2026-07-28,Global,,treatment centres,continued experience across new and established treatment centers,CSL letter to the hemophilia B community reproduced by Hemophilia Federation of America 28 Jul 2026,https://www.hemophiliafed.org/csl-provides-update-on-hemgenix-supply-and-patient-access/,verified-from-source,No number given - qualitative only. Recorded to show CSL does not publish a global centre count.,hemgenix
Luxturna,list_price,2018-01-03,US,425000,USD per eye,"In the U.S., the price of Luxturna is $850,000 USD per injection or $425,000 per eye.","Roche Media Relations, ""Key Messages and Q&A: Roche / Spark Therapeutics transaction"", 25 Feb 2019, filed as Exhibit 99.02 to SC TO-C",https://www.sec.gov/Archives/edgar/data/1609351/000095010319002292/dp102644_ex9902.htm,verified-from-source,"Wholesale acquisition cost set by Spark at US launch on 3 Jan 2018; unchanged as quoted by Roche in Feb 2019. ""per injection"" here means per bilateral treatment.",luxturna
Luxturna,list_price,2018-01-03,US,850000,USD per patient (both eyes),"In the U.S., the price of Luxturna is $850,000 USD per injection or $425,000 per eye.","Roche Media Relations, ""Key Messages and Q&A: Roche / Spark Therapeutics transaction"", 25 Feb 2019, Exhibit 99.02 to SC TO-C",https://www.sec.gov/Archives/edgar/data/1609351/000095010319002292/dp102644_ex9902.htm,verified-from-source,Same source. Spark's own 3 Jan 2018 press release announced the access programmes but does not itself state the price.,luxturna
Luxturna,list_price,2019-10-01,England (NHS),613410,GBP per patient,"The list price of voretigene neparvovec is £613,410 per patient (excluding VAT; company submission).","NICE Highly Specialised Technologies guidance HST11, voretigene neparvovec for treating inherited retinal dystrophies caused by RPE65 gene mutations",https://www.nice.org.uk/guidance/hst11,verified-from-source,"Novartis holds ex-US rights. A confidential commercial discount to NHS England applies, so the net price paid is undisclosed. ~GBP 306,705 per eye.",luxturna
Luxturna,list_price,2020-08-10,Germany,410550,EUR per eye,"€410,550 per eye","Zimmermann M et al., Cost Effectiveness of Voretigene Neparvovec for RPE65-Mediated Inherited Retinal Degeneration in Germany (PMC7442871)",https://pmc.ncbi.nlm.nih.gov/articles/PMC7442871/,provisional-from-snippet,"Academic cost-effectiveness study, not a Novartis document; the paper gives no external citation for the figure. Implies ~EUR 821,100 per bilateral patient.",luxturna
Luxturna,list_price,2019-01-01,France,290000,EUR per eye,"The liste en sus price for Luxturna has been set at €290,000.00 (excluding VAT)","NAVLIN Daily, ""Luxturna Costs €290,000 in France""",https://www.navlindaily.com/article/8353/luxturna-costs-290-000-in-france,provisional-from-snippet,Trade press headline only; article body paywalled. Not confirmed against a Novartis or French HAS/CEPS document.,luxturna
Luxturna,patients_cumulative,2018-03-31,US,3,patients,"Launched LUXTURNA in U.S., with three patients treated at different treatment centers - Massachusetts Eye and Ear in Boston, Bascom Palmer Eye Institute in Miami and The Vision Center at Children's Hospital of Los Angeles","Spark Therapeutics 8-K Ex 99.1, Q1 2018 results (2018-05-08)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000042/spark-exhibit991q12018.htm,verified-from-source,"Only Spark disclosure that counts patients rather than vials. Also: ""We are pleased that three patients were treated with LUXTURNA in the first quarter"".",luxturna
Luxturna,patients_cumulative,2018-06-30,US,12,vials shipped in Q2 2018,"Continued strong execution of LUXTURNA launch in U.S., with 12 vials shipped in the second quarter of 2018 and patients now treated in six treatment centers","Spark Therapeutics 8-K Ex 99.1, Q2 2018 results (2018-08-07)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000069/spark-exhibit991q22018.htm,verified-from-source,"Vials, not patients. One vial per eye; bilateral treatment = 2 vials, so 12 vials is at most 12 and at least 6 patients.",luxturna
Luxturna,patients_cumulative,2018-09-30,US,24,vials shipped in Q3 2018,Shipped 24 vials of LUXTURNA in the U.S. in the third quarter of 2018,"Spark Therapeutics 8-K Ex 99.1, Q3 2018 results (2018-11-06)",https://www.sec.gov/Archives/edgar/data/1609351/000160935118000074/spark-exhibit991q32018.htm,verified-from-source,"Same release: ""Treated first two patients under the Spark PATH (Pioneering Access To Healthcare) outcomes-based contracting model"".",luxturna
Luxturna,patients_cumulative,2018-12-31,US,75,vials shipped in FY2018,Shipped 75 vials of LUXTURNA in the U.S.,"Spark Therapeutics 8-K Ex 99.1, FY2018 results (2019-02-19)",https://www.sec.gov/Archives/edgar/data/1609351/000160935119000035/spark-exhibit991fullyear20.htm,verified-from-source,"Cumulative for launch year. 75 vials x $425,000 = $31.9m gross vs $27.0m net product sales, i.e. ~15% gross-to-net. Implies roughly 38-40 patients if nearly all were bilateral.",luxturna
Luxturna,patients_cumulative,2021-11-15,Worldwide,,not disclosed,A Spark spokesperson told BioPharma Dive the company does not disclose that information.,"BioPharma Dive, ""Years later, a first-of-its-kind treatment shows the power, and limits, of gene therapy""",https://www.biopharmadive.com/news/luxturna-gene-therapy-eye-leber-lca/609832/,provisional-from-snippet,"Explicit refusal by Spark/Roche to disclose the cumulative number of patients treated. No Roche or Novartis ""more than X patients treated"" statement was found for 2020-2026.",luxturna
Luxturna,patients_cumulative,2021-08-31,Ex-US (mainly Europe),103,patients dosed,"A total of 106 patients were enrolled in the study until August 2021 (data cut-off). Of them, 103 patients (183 eyes) received VN and were included in the FAS","Real-World Safety and Effectiveness of Voretigene Neparvovec: Results up to 2 Years from the Prospective, Registry-Based PERCEIVE Study (PMC10813228)",https://pmc.ncbi.nlm.nih.gov/articles/PMC10813228/,verified-from-source,"Novartis Pharma AG-sponsored post-authorisation registry (published Jan 2024), not a corporate financial disclosure. Registry enrolment is a lower bound on ex-US patients treated. 183 eyes / 103 patients = 1.78 vials per patient.",luxturna
